"drug","cell_line","tissue_type","ic50","source"
"17AAG","FUOV1","OVARY","0.373221964","CCLE"
"17AAG","G361","SKIN","0.089309976","CCLE"
"17AAG","G401","SOFT:TISSUE","0.085478991","CCLE"
"17AAG","G402","SOFT:TISSUE","0.073431857","CCLE"
"17AAG","GAMG","CENTRAL:NERVOUS:SYSTEM","0.109149978","CCLE"
"17AAG","GB1","CENTRAL:NERVOUS:SYSTEM","0.768663943","CCLE"
"17AAG","GCIY","STOMACH","0.793316543","CCLE"
"17AAG","GCT","SOFT:TISSUE","0.330548614","CCLE"
"17AAG","GI1","CENTRAL:NERVOUS:SYSTEM","0.198652357","CCLE"
"17AAG","GLC82","LUNG","0.052810453","CCLE"
"17AAG","GMS10","CENTRAL:NERVOUS:SYSTEM","0.245301753","CCLE"
"17AAG","GRANTA519","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.010983705","CCLE"
"17AAG","H4","CENTRAL:NERVOUS:SYSTEM","0.150771588","CCLE"
"17AAG","HARA","LUNG","0.212432846","CCLE"
"17AAG","HCC1187","BREAST","1.531470418","CCLE"
"17AAG","HCC1395","BREAST","8","CCLE"
"17AAG","HCC1569","BREAST","0.201155081","CCLE"
"17AAG","HCC15","LUNG","0.038541321","CCLE"
"17AAG","HCC1806","BREAST","0.06748455","CCLE"
"17AAG","HCC1954","BREAST","0.048323501","CCLE"
"17AAG","HCC2935","LUNG","0.018270468","CCLE"
"17AAG","HCC4006","LUNG","0.044439085","CCLE"
"17AAG","HCC44","LUNG","0.065585621","CCLE"
"17AAG","HCC70","BREAST","0.065257996","CCLE"
"17AAG","HCC78","LUNG","0.80337292","CCLE"
"17AAG","HCC827","LUNG","0.18870239","CCLE"
"17AAG","HCT116","LARGE:INTESTINE","0.202989653","CCLE"
"17AAG","HCT15","LARGE:INTESTINE","0.592416525","CCLE"
"17AAG","HDMYZ","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.1518711","CCLE"
"17AAG","HDQP1","BREAST","0.122433454","CCLE"
"17AAG","HEC151","ENDOMETRIUM","0.182358727","CCLE"
"17AAG","HEC1A","ENDOMETRIUM","0.155032128","CCLE"
"17AAG","HEC1B","ENDOMETRIUM","0.061065979","CCLE"
"17AAG","HEC251","ENDOMETRIUM","0.90558356","CCLE"
"17AAG","HEC265","ENDOMETRIUM","0.044854023","CCLE"
"17AAG","HEC59","ENDOMETRIUM","0.236760587","CCLE"
"17AAG","HEC6","ENDOMETRIUM","0.561491907","CCLE"
"17AAG","HEL9217","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","1.616860271","CCLE"
"17AAG","HEP3B217","LIVER","0.209670588","CCLE"
"17AAG","HEPG2","LIVER","0.022530433","CCLE"
"17AAG","HEYA8","OVARY","0.08386872","CCLE"
"17AAG","HGC27","STOMACH","0.199818447","CCLE"
"17AAG","HH","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.316189826","CCLE"
"17AAG","HLE","LIVER","0.63138473","CCLE"
"17AAG","HLF","LIVER","0.233836412","CCLE"
"17AAG","HMC18","BREAST","0.105055355","CCLE"
"17AAG","HMCB","SKIN","0.034340765","CCLE"
"17AAG","HOS","BONE","0.136840746","CCLE"
"17AAG","HPAC","PANCREAS","0.090494916","CCLE"
"17AAG","HPAFII","PANCREAS","0.151630998","CCLE"
"17AAG","HS229T","LUNG","0.13832441","CCLE"
"17AAG","HS294T","SKIN","0.229678199","CCLE"
"17AAG","HS578T","BREAST","0.062882334","CCLE"
"17AAG","HS683","CENTRAL:NERVOUS:SYSTEM","0.143921196","CCLE"
"17AAG","HS695T","SKIN","0.095518604","CCLE"
"17AAG","HS729","SOFT:TISSUE","0.066169545","CCLE"
"17AAG","HS739T","BREAST","0.560182333","CCLE"
"17AAG","HS746T","STOMACH","0.146164864","CCLE"
"17AAG","HS766T","PANCREAS","0.208693713","CCLE"
"17AAG","HS840T","UPPER:AERODIGESTIVE:TRACT","0.042208713","CCLE"
"17AAG","HS852T","SKIN","0.043077972","CCLE"
"17AAG","HS895T","SKIN","0.568269014","CCLE"
"17AAG","HS936T","SKIN","0.061651316","CCLE"
"17AAG","HS939T","SKIN","0.030074231","CCLE"
"17AAG","HS944T","SKIN","0.128760532","CCLE"
"17AAG","HSC2","UPPER:AERODIGESTIVE:TRACT","0.499589235","CCLE"
"17AAG","HT1080","SOFT:TISSUE","0.113508768","CCLE"
"17AAG","HT1197","URINARY:TRACT","1.937179565","CCLE"
"17AAG","HT1376","URINARY:TRACT","0.365140706","CCLE"
"17AAG","HT144","SKIN","0.07971938","CCLE"
"17AAG","HT29","LARGE:INTESTINE","0.016734079","CCLE"
"17AAG","HT","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.200726017","CCLE"
"17AAG","HUCCT1","BILIARY:TRACT","0.091983378","CCLE"
"17AAG","HUH1","LIVER","0.033526562","CCLE"
"17AAG","HUPT3","PANCREAS","0.300195903","CCLE"
"17AAG","HUPT4","PANCREAS","0.010569213","CCLE"
"17AAG","HUT78","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.250834763","CCLE"
"17AAG","IALM","LUNG","8","CCLE"
"17AAG","IGR37","SKIN","8","CCLE"
"17AAG","IGR39","SKIN","8","CCLE"
"17AAG","IGROV1","OVARY","0.491089851","CCLE"
"17AAG","IM95","STOMACH","0.03782573","CCLE"
"17AAG","IMR32","AUTONOMIC:GANGLIA","1.724061966","CCLE"
"17AAG","IPC298","SKIN","0.08109536","CCLE"
"17AAG","ISHIKAWAHERAKLIO02ER","ENDOMETRIUM","0.097911984","CCLE"
"17AAG","ISTMES1","PLEURA","0.707256138","CCLE"
"17AAG","ISTMES2","PLEURA","0.133910671","CCLE"
"17AAG","J82","URINARY:TRACT","0.286560714","CCLE"
"17AAG","JHH2","LIVER","8","CCLE"
"17AAG","JHH4","LIVER","8","CCLE"
"17AAG","JHH5","LIVER","0.018158266","CCLE"
"17AAG","JHH6","LIVER","0.223785281","CCLE"
"17AAG","JHH7","LIVER","0.088164933","CCLE"
"17AAG","JHOS2","OVARY","0.145015299","CCLE"
"17AAG","JHOS4","OVARY","1.570977688","CCLE"
"17AAG","JHUEM2","ENDOMETRIUM","0.04826415","CCLE"
"17AAG","JM1","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","1.119323969","CCLE"
"17AAG","JMSU1","URINARY:TRACT","0.044885039","CCLE"
"17AAG","JURKAT","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.829291582","CCLE"
"17AAG","JVM3","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.076346688","CCLE"
"17AAG","K029AX","SKIN","0.119215205","CCLE"
"17AAG","KALS1","CENTRAL:NERVOUS:SYSTEM","0.089755602","CCLE"
"17AAG","KARPAS299","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.209358394","CCLE"
"17AAG","KARPAS422","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.204620793","CCLE"
"17AAG","KARPAS620","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.556562603","CCLE"
"17AAG","KASUMI2","HAEMATOPOIETIC:AND:LYMPHOID:TISSUE","0.027120752","CCLE"
