"drug","cell_line","tissue_type","ic50","source"
"AZD6244","H4","CENTRAL:NERVOUS:SYSTEM","26.12","COSMIC"
"AZD6244","H9","BLOOD","0.02","COSMIC"
"AZD6244","HAL01","BLOOD","1.69","COSMIC"
"AZD6244","HCC1187","BREAST","25.19","COSMIC"
"AZD6244","HCC1395","BREAST","198.82","COSMIC"
"AZD6244","HCC1419","BREAST","17.46","COSMIC"
"AZD6244","HCC1569","BREAST","160.06","COSMIC"
"AZD6244","HCC1806","BREAST","27.07","COSMIC"
"AZD6244","HCC1937","BREAST","69.06","COSMIC"
"AZD6244","HCC1954","BREAST","13.17","COSMIC"
"AZD6244","HCC2157","BREAST","40.31","COSMIC"
"AZD6244","HCC2218","BREAST","2.48","COSMIC"
"AZD6244","HCC2998","GI:TRACT","0.27","COSMIC"
"AZD6244","HCC38","BREAST","529.70","COSMIC"
"AZD6244","HCC70","BREAST","6.65","COSMIC"
"AZD6244","HCE4","UPPER:AERODIGESTIVE:TRACT","233.16","COSMIC"
"AZD6244","HCET","UPPER:AERODIGESTIVE:TRACT","0.97","COSMIC"
"AZD6244","HCT116","GI:TRACT","1.06","COSMIC"
"AZD6244","HDLM2","BLOOD","44.74","COSMIC"
"AZD6244","HDMYZ","BLOOD","186.49","COSMIC"
"AZD6244","HEC1","UTERUS","256.73","COSMIC"
"AZD6244","HEL","BLOOD","194.39","COSMIC"
"AZD6244","HEMCSS","BONE","0.29","COSMIC"
"AZD6244","HGC27","GI:TRACT","89.07","COSMIC"
"AZD6244","HH","BLOOD","10.73","COSMIC"
"AZD6244","HL60","BLOOD","0.02","COSMIC"
"AZD6244","HLE","LIVER","79.72","COSMIC"
"AZD6244","HN","UPPER:AERODIGESTIVE:TRACT","1.00","COSMIC"
"AZD6244","HO1N1","UPPER:AERODIGESTIVE:TRACT","0.74","COSMIC"
"AZD6244","HOP92","LUNG","4.18","COSMIC"
"AZD6244","HOS","BONE","33.36","COSMIC"
"AZD6244","HPAFII","PANCREAS","3.33","COSMIC"
"AZD6244","Hs578T","BREAST","310.49","COSMIC"
"AZD6244","HSC2","UPPER:AERODIGESTIVE:TRACT","18.79","COSMIC"
"AZD6244","HSC3","UPPER:AERODIGESTIVE:TRACT","1.19","COSMIC"
"AZD6244","HT1080","SOFT:TISSUE","2.42","COSMIC"
"AZD6244","HT1197","BLADDER","78.75","COSMIC"
"AZD6244","HT1376","BLADDER","20.39","COSMIC"
"AZD6244","HT144","SKIN","0.09","COSMIC"
"AZD6244","HT29","GI:TRACT","0.87","COSMIC"
"AZD6244","HT3","UTERUS","424.95","COSMIC"
"AZD6244","HT55","GI:TRACT","647.67","COSMIC"
"AZD6244","HT","BLOOD","189.85","COSMIC"
"AZD6244","HTCC3","THYROID","0.22","COSMIC"
"AZD6244","HuCCT1","GI:TRACT","1.30","COSMIC"
"AZD6244","HuH7","OTHER","10.50","COSMIC"
"AZD6244","HuO3N1","BONE","159.04","COSMIC"
"AZD6244","HuO9","BONE","14.94","COSMIC"
"AZD6244","HuPT3","PANCREAS","4.80","COSMIC"
"AZD6244","HuPT4","PANCREAS","0.20","COSMIC"
"AZD6244","IALM","LUNG","233.20","COSMIC"
"AZD6244","IGR1","SKIN","8.13","COSMIC"
"AZD6244","IGROV1","OVARY","18.49","COSMIC"
"AZD6244","ISTMEL1","SKIN","30.83","COSMIC"
"AZD6244","ISTMES1","LUNG","56.45","COSMIC"
"AZD6244","ISTSL1","LUNG","187.05","COSMIC"
"AZD6244","JAR","OTHER","131.22","COSMIC"
"AZD6244","JEG3","OTHER","144.33","COSMIC"
"AZD6244","JRT3T35","BLOOD","45.91","COSMIC"
"AZD6244","JVM2","BLOOD","23.19","COSMIC"
"AZD6244","JVM3","BLOOD","0.70","COSMIC"
"AZD6244","K562","BLOOD","395.72","COSMIC"
"AZD6244","KARPAS299","BLOOD","94.71","COSMIC"
"AZD6244","KARPAS45","BLOOD","2.08","COSMIC"
"AZD6244","KE37","BLOOD","266.43","COSMIC"
"AZD6244","KG1","BLOOD","0.90","COSMIC"
"AZD6244","KGN","OVARY","10.33","COSMIC"
"AZD6244","KINGS1","CENTRAL:NERVOUS:SYSTEM","16.55","COSMIC"
"AZD6244","KLE","UTERUS","140.21","COSMIC"
"AZD6244","KM12","GI:TRACT","2.53","COSMIC"
"AZD6244","KMH2","BLOOD","26.65","COSMIC"
"AZD6244","KNS42","CENTRAL:NERVOUS:SYSTEM","96.57","COSMIC"
"AZD6244","KNS62","LUNG","114.84","COSMIC"
"AZD6244","KNS81FD","CENTRAL:NERVOUS:SYSTEM","12.97","COSMIC"
"AZD6244","KOSC2","UPPER:AERODIGESTIVE:TRACT","12.45","COSMIC"
"AZD6244","KPNYN","CENTRAL:NERVOUS:SYSTEM","173.39","COSMIC"
"AZD6244","KPNYS","CENTRAL:NERVOUS:SYSTEM","41.59","COSMIC"
"AZD6244","KS1","CENTRAL:NERVOUS:SYSTEM","32.78","COSMIC"
"AZD6244","KU1919","BLADDER","3.41","COSMIC"
"AZD6244","KU812","BLOOD","0.21","COSMIC"
"AZD6244","KURAMOCHI","OVARY","156.67","COSMIC"
"AZD6244","KY821","BLOOD","0.11","COSMIC"
"AZD6244","KYSE140","UPPER:AERODIGESTIVE:TRACT","12.07","COSMIC"
"AZD6244","KYSE150","UPPER:AERODIGESTIVE:TRACT","8.17","COSMIC"
"AZD6244","KYSE180","UPPER:AERODIGESTIVE:TRACT","172.44","COSMIC"
"AZD6244","KYSE270","UPPER:AERODIGESTIVE:TRACT","52.25","COSMIC"
"AZD6244","KYSE410","UPPER:AERODIGESTIVE:TRACT","50.62","COSMIC"
"AZD6244","KYSE450","UPPER:AERODIGESTIVE:TRACT","12.94","COSMIC"
"AZD6244","KYSE510","UPPER:AERODIGESTIVE:TRACT","102.70","COSMIC"
"AZD6244","KYSE520","UPPER:AERODIGESTIVE:TRACT","60.27","COSMIC"
"AZD6244","KYSE70","UPPER:AERODIGESTIVE:TRACT","34.47","COSMIC"
"AZD6244","L363","BLOOD","12.50","COSMIC"
"AZD6244","L428","BLOOD","266.16","COSMIC"
"AZD6244","LAMA84","BLOOD","0.46","COSMIC"
"AZD6244","LAN6","CENTRAL:NERVOUS:SYSTEM","2.82","COSMIC"
"AZD6244","LB1047RCC","KIDNEY","172.75","COSMIC"
"AZD6244","LB2241RCC","KIDNEY","0.79","COSMIC"
"AZD6244","LB2518MEL","SKIN","0.09","COSMIC"
"AZD6244","LB771HNC","UPPER:AERODIGESTIVE:TRACT","93.49","COSMIC"
"AZD6244","LB831BLC","BLADDER","531.60","COSMIC"
"AZD6244","LB996RCC","KIDNEY","3.93","COSMIC"
"AZD6244","LC2ad","LUNG","93.60","COSMIC"
"AZD6244","LCLC103H","LUNG","108.76","COSMIC"
"AZD6244","LCLC97TM1","LUNG","1.03","COSMIC"
"AZD6244","LK2","LUNG","355.29","COSMIC"
"AZD6244","LN405","CENTRAL:NERVOUS:SYSTEM","31.46","COSMIC"
"AZD6244","LNCaPCloneFGC","OTHER","388.21","COSMIC"
"AZD6244","LoVo","GI:TRACT","1.06","COSMIC"
"AZD6244","LOXIMVI","SKIN","0.86","COSMIC"
"AZD6244","LS1034","GI:TRACT","8.90","COSMIC"
"AZD6244","LS123","GI:TRACT","3.60","COSMIC"
"AZD6244","LS411N","GI:TRACT","10.75","COSMIC"
"AZD6244","LS513","GI:TRACT","1.42","COSMIC"
"AZD6244","LU134A","LUNG","63.33","COSMIC"
"AZD6244","LU135","LUNG","90.66","COSMIC"
"AZD6244","LU139","LUNG","20.00","COSMIC"
"AZD6244","LU65","LUNG","10.84","COSMIC"
"AZD6244","LU99A","LUNG","143.78","COSMIC"
"AZD6244","LXF289","LUNG","101.55","COSMIC"
"AZD6244","M059J","CENTRAL:NERVOUS:SYSTEM","97.39","COSMIC"
"AZD6244","M14","SKIN","0.04","COSMIC"
"AZD6244","MC116","BLOOD","328.67","COSMIC"
"AZD6244","MCF7","BREAST","239.45","COSMIC"
"AZD6244","MCIXC","CENTRAL:NERVOUS:SYSTEM","404.53","COSMIC"
"AZD6244","MDAMB157","BREAST","141.10","COSMIC"
"AZD6244","MDAMB175VII","BREAST","440.22","COSMIC"
"AZD6244","MDAMB231","BREAST","5.54","COSMIC"
"AZD6244","MDAMB361","BREAST","8.13","COSMIC"
"AZD6244","MDAMB415","BREAST","362.98","COSMIC"
"AZD6244","MDAMB453","BREAST","527.96","COSMIC"
"AZD6244","ME180","UTERUS","4.24","COSMIC"
"AZD6244","MEG01","BLOOD","1.63","COSMIC"
"AZD6244","MELHO","SKIN","0.14","COSMIC"
"AZD6244","Mewo","SKIN","0.52","COSMIC"
"AZD6244","MFE280","UTERUS","68.14","COSMIC"
"AZD6244","MFM223","BREAST","265.29","COSMIC"
"AZD6244","MG63","BONE","10.66","COSMIC"
"AZD6244","MHHES1","BONE","193.75","COSMIC"
"AZD6244","MHHNB11","CENTRAL:NERVOUS:SYSTEM","17.98","COSMIC"
"AZD6244","MHHPREB1","BLOOD","45.98","COSMIC"
"AZD6244","MIAPaCa2","PANCREAS","0.90","COSMIC"
"AZD6244","MKN7","GI:TRACT","25.54","COSMIC"
"AZD6244","ML2","BLOOD","0.29","COSMIC"
"AZD6244","MLMA","BLOOD","126.06","COSMIC"
"AZD6244","MN60","BLOOD","12.28","COSMIC"
"AZD6244","MOLT13","BLOOD","4.02","COSMIC"
"AZD6244","MOLT16","BLOOD","12.02","COSMIC"
"AZD6244","MOLT4","BLOOD","13.74","COSMIC"
"AZD6244","MoT","BLOOD","12.95","COSMIC"
"AZD6244","MPP89","LUNG","79.09","COSMIC"
"AZD6244","MS1","LUNG","24.81","COSMIC"
"AZD6244","MSTO211H","LUNG","6.36","COSMIC"
"AZD6244","MV411","BLOOD","0.58","COSMIC"
"AZD6244","MZ1PC","PANCREAS","3.30","COSMIC"
"AZD6244","MZ2MEL","SKIN","0.40","COSMIC"
"AZD6244","MZ7mel","SKIN","4.43","COSMIC"
"AZD6244","NB10","CENTRAL:NERVOUS:SYSTEM","6.29","COSMIC"
"AZD6244","NB12","CENTRAL:NERVOUS:SYSTEM","489.24","COSMIC"
"AZD6244","NB13","CENTRAL:NERVOUS:SYSTEM","283.50","COSMIC"
"AZD6244","NB14","CENTRAL:NERVOUS:SYSTEM","84.92","COSMIC"
"AZD6244","NB17","CENTRAL:NERVOUS:SYSTEM","363.67","COSMIC"
"AZD6244","NB5","CENTRAL:NERVOUS:SYSTEM","2.56","COSMIC"
"AZD6244","NB69","CENTRAL:NERVOUS:SYSTEM","1.05","COSMIC"
"AZD6244","NB6","CENTRAL:NERVOUS:SYSTEM","449.49","COSMIC"
"AZD6244","NB7","CENTRAL:NERVOUS:SYSTEM","287.34","COSMIC"
"AZD6244","NBsusSR","CENTRAL:NERVOUS:SYSTEM","23.87","COSMIC"
"AZD6244","NCIH1048","LUNG","231.77","COSMIC"
"AZD6244","NCIH1092","LUNG","7.11","COSMIC"
"AZD6244","NCIH1155","LUNG","12.21","COSMIC"
"AZD6244","NCIH1299","LUNG","97.83","COSMIC"
"AZD6244","NCIH1304","LUNG","71.40","COSMIC"
"AZD6244","NCIH1355","LUNG","37.68","COSMIC"
"AZD6244","NCIH1395","LUNG","136.79","COSMIC"
"AZD6244","NCIH1437","LUNG","0.35","COSMIC"
"AZD6244","NCIH1563","LUNG","65.42","COSMIC"
"AZD6244","NCIH1573","LUNG","5.25","COSMIC"
"AZD6244","NCIH1581","LUNG","61.38","COSMIC"
"AZD6244","NCIH1623","LUNG","18.47","COSMIC"
"AZD6244","NCIH1650","LUNG","45.97","COSMIC"
"AZD6244","NCIH1651","LUNG","6.61","COSMIC"
"AZD6244","NCIH1693","LUNG","22.71","COSMIC"
"AZD6244","NCIH1755","LUNG","50.13","COSMIC"
"AZD6244","NCIH1770","LUNG","63.47","COSMIC"
"AZD6244","NCIH1792","LUNG","21.65","COSMIC"
"AZD6244","NCIH1793","LUNG","28.02","COSMIC"
"AZD6244","NCIH1993","LUNG","426.61","COSMIC"
"AZD6244","NCIH2029","LUNG","172.56","COSMIC"
"AZD6244","NCIH2052","LUNG","314.85","COSMIC"
"AZD6244","NCIH2087","LUNG","1.37","COSMIC"
"AZD6244","NCIH209","LUNG","33.10","COSMIC"
"AZD6244","NCIH2122","LUNG","38.90","COSMIC"
"AZD6244","NCIH2170","LUNG","130.50","COSMIC"
"AZD6244","NCIH2228","LUNG","30.71","COSMIC"
"AZD6244","NCIH226","LUNG","28.97","COSMIC"
"AZD6244","NCIH2291","LUNG","0.76","COSMIC"
"AZD6244","NCIH2342","LUNG","192.27","COSMIC"
"AZD6244","NCIH2347","LUNG","10.77","COSMIC"
"AZD6244","NCIH23","LUNG","49.48","COSMIC"
"AZD6244","NCIH2405","LUNG","155.28","COSMIC"
"AZD6244","NCIH2452","LUNG","298.50","COSMIC"
"AZD6244","NCIH28","LUNG","67.86","COSMIC"
"AZD6244","NCIH292","LUNG","1.12","COSMIC"
"AZD6244","NCIH441","LUNG","4.54","COSMIC"
"AZD6244","NCIH446","LUNG","172.08","COSMIC"
"AZD6244","NCIH460","LUNG","2.79","COSMIC"
"AZD6244","NCIH520","LUNG","66.11","COSMIC"
"AZD6244","NCIH522","LUNG","29.53","COSMIC"
"AZD6244","NCIH526","LUNG","33.71","COSMIC"
"AZD6244","NCIH596","LUNG","195.95","COSMIC"
"AZD6244","NCIH630","GI:TRACT","15.04","COSMIC"
"AZD6244","NCIH650","LUNG","185.81","COSMIC"
"AZD6244","NCIH661","LUNG","12.76","COSMIC"
"AZD6244","NCIH69","LUNG","57.83","COSMIC"
"AZD6244","NCIH720","LUNG","11.31","COSMIC"
"AZD6244","NCIH727","LUNG","25.79","COSMIC"
"AZD6244","NCIH747","GI:TRACT","0.35","COSMIC"
"AZD6244","NCIH810","LUNG","413.50","COSMIC"
"AZD6244","NCIH82","LUNG","367.39","COSMIC"
"AZD6244","NCIN87","GI:TRACT","415.98","COSMIC"
"AZD6244","NCISNU1","GI:TRACT","1.77","COSMIC"
"AZD6244","NCISNU5","GI:TRACT","3.60","COSMIC"
"AZD6244","NEC8","OTHER","171.51","COSMIC"
"AZD6244","NH12","CENTRAL:NERVOUS:SYSTEM","8.37","COSMIC"
"AZD6244","NKM1","BLOOD","0.39","COSMIC"
"AZD6244","NMCG1","CENTRAL:NERVOUS:SYSTEM","28.81","COSMIC"
"AZD6244","no10","CENTRAL:NERVOUS:SYSTEM","23.14","COSMIC"
"AZD6244","no11","CENTRAL:NERVOUS:SYSTEM","51.41","COSMIC"
"AZD6244","NOMO1","BLOOD","0.03","COSMIC"
"AZD6244","NOS1","BONE","83.01","COSMIC"
"AZD6244","NTERASclD1","OTHER","141.72","COSMIC"
"AZD6244","NUGC3","GI:TRACT","1.20","COSMIC"
"AZD6244","NY","BONE","110.70","COSMIC"
"AZD6244","OAW28","OVARY","1.74","COSMIC"
"AZD6244","OAW42","OVARY","288.40","COSMIC"
"AZD6244","OC314","OVARY","18.20","COSMIC"
"AZD6244","OCIAML2","BLOOD","16.52","COSMIC"
"AZD6244","OCUBM","BREAST","12.22","COSMIC"
"AZD6244","OE19","UPPER:AERODIGESTIVE:TRACT","87.39","COSMIC"
"AZD6244","OE33","UPPER:AERODIGESTIVE:TRACT","30.48","COSMIC"
"AZD6244","OMC1","UTERUS","506.15","COSMIC"
"AZD6244","ONS76","CENTRAL:NERVOUS:SYSTEM","0.25","COSMIC"
"AZD6244","OSRC2","KIDNEY","2.40","COSMIC"
"AZD6244","OVCAR3","OVARY","100.23","COSMIC"
"AZD6244","OVCAR4","OVARY","36.81","COSMIC"
"AZD6244","OVCAR5","OVARY","262.00","COSMIC"
"AZD6244","OVCAR8","OVARY","37.56","COSMIC"
"AZD6244","P12ICHIKAWA","BLOOD","1.16","COSMIC"
"AZD6244","P30OHK","BLOOD","16.76","COSMIC"
"AZD6244","PA1","OVARY","22.65","COSMIC"
"AZD6244","PANC0327","PANCREAS","4.52","COSMIC"
"AZD6244","PANC0813","PANCREAS","78.54","COSMIC"
"AZD6244","PANC1005","PANCREAS","6.17","COSMIC"
"AZD6244","PC14","LUNG","496.41","COSMIC"
"AZD6244","PC3","OTHER","23.35","COSMIC"
"AZD6244","PFSK1","CENTRAL:NERVOUS:SYSTEM","536.23","COSMIC"
"AZD6244","PSN1","PANCREAS","0.37","COSMIC"
"AZD6244","QIMRWIL","BLOOD","1.34","COSMIC"
"AZD6244","Ramos2G64C10","BLOOD","6.24","COSMIC"
"AZD6244","RCC10RGB","KIDNEY","41.54","COSMIC"
"AZD6244","RCM1","GI:TRACT","0.49","COSMIC"
"AZD6244","RD","SOFT:TISSUE","4.17","COSMIC"
"AZD6244","RERFLCMS","LUNG","33.67","COSMIC"
"AZD6244","RH18","SOFT:TISSUE","114.96","COSMIC"
"AZD6244","RH1","SOFT:TISSUE","459.00","COSMIC"
"AZD6244","RKO","GI:TRACT","0.25","COSMIC"
"AZD6244","RMGI","OVARY","18.96","COSMIC"
"AZD6244","RO82W1","THYROID","12.29","COSMIC"
"AZD6244","RPMI2650","UPPER:AERODIGESTIVE:TRACT","34.06","COSMIC"
"AZD6244","RPMI7951","SKIN","9.19","COSMIC"
"AZD6244","RPMI8226","BLOOD","0.74","COSMIC"
"AZD6244","RPMI8866","BLOOD","64.15","COSMIC"
"AZD6244","RS411","BLOOD","10.21","COSMIC"
"AZD6244","RT112","BLADDER","2.25","COSMIC"
"AZD6244","RVH421","SKIN","0.28","COSMIC"
"AZD6244","RXF393","KIDNEY","4.00","COSMIC"
"AZD6244","S117","SOFT:TISSUE","27.48","COSMIC"
"AZD6244","Saos2","BONE","39.26","COSMIC"
"AZD6244","SAS","UPPER:AERODIGESTIVE:TRACT","73.07","COSMIC"
"AZD6244","SBC1","LUNG","11.02","COSMIC"
"AZD6244","SBC5","LUNG","372.66","COSMIC"
"AZD6244","SCC15","UPPER:AERODIGESTIVE:TRACT","55.03","COSMIC"
"AZD6244","SCC25","UPPER:AERODIGESTIVE:TRACT","5.94","COSMIC"
"AZD6244","SCC4","UPPER:AERODIGESTIVE:TRACT","12.15","COSMIC"
"AZD6244","SCC9","UPPER:AERODIGESTIVE:TRACT","20.94","COSMIC"
"AZD6244","SCH","GI:TRACT","494.73","COSMIC"
"AZD6244","SF126","CENTRAL:NERVOUS:SYSTEM","13.81","COSMIC"
"AZD6244","SF268","CENTRAL:NERVOUS:SYSTEM","370.70","COSMIC"
"AZD6244","SF295","CENTRAL:NERVOUS:SYSTEM","47.95","COSMIC"
"AZD6244","SF539","CENTRAL:NERVOUS:SYSTEM","13.84","COSMIC"
"AZD6244","SH4","SKIN","0.17","COSMIC"
"AZD6244","SHP77","LUNG","51.33","COSMIC"
"AZD6244","SiHa","UTERUS","381.69","COSMIC"
"AZD6244","SJRH30","SOFT:TISSUE","46.23","COSMIC"
"AZD6244","SJSA1","BONE","3.77","COSMIC"
"AZD6244","SKGIIIa","UTERUS","258.22","COSMIC"
"AZD6244","SKHEP1","LIVER","2.28","COSMIC"
"AZD6244","SKLU1","LUNG","3.85","COSMIC"
"AZD6244","SKMEL1","SKIN","9.13","COSMIC"
"AZD6244","SKMEL2","SKIN","0.41","COSMIC"
"AZD6244","SKMEL30","SKIN","0.78","COSMIC"
"AZD6244","SKMEL3","SKIN","1.95","COSMIC"
"AZD6244","SKMES1","LUNG","6.81","COSMIC"
"AZD6244","SKNAS","CENTRAL:NERVOUS:SYSTEM","0.09","COSMIC"
"AZD6244","SKNDZ","CENTRAL:NERVOUS:SYSTEM","80.06","COSMIC"
"AZD6244","SKNEP1","KIDNEY","23.30","COSMIC"
"AZD6244","SKNFI","CENTRAL:NERVOUS:SYSTEM","20.89","COSMIC"
"AZD6244","SKOV3","OVARY","22.52","COSMIC"
"AZD6244","SKPNDW","BONE","84.76","COSMIC"
"AZD6244","SN12C","KIDNEY","3.94","COSMIC"
"AZD6244","SNB75","CENTRAL:NERVOUS:SYSTEM","59.11","COSMIC"
"AZD6244","SNU387","LIVER","423.01","COSMIC"
"AZD6244","SNU423","LIVER","596.06","COSMIC"
"AZD6244","SNU449","LIVER","465.54","COSMIC"
"AZD6244","SNUC2B","GI:TRACT","17.58","COSMIC"
"AZD6244","SW1088","CENTRAL:NERVOUS:SYSTEM","67.00","COSMIC"
"AZD6244","SW1116","GI:TRACT","6.77","COSMIC"
"AZD6244","SW1417","GI:TRACT","5.25","COSMIC"
"AZD6244","SW1463","GI:TRACT","63.16","COSMIC"
"AZD6244","SW1573","LUNG","21.63","COSMIC"
"AZD6244","SW1710","BLADDER","5.01","COSMIC"
"AZD6244","SW1783","CENTRAL:NERVOUS:SYSTEM","310.11","COSMIC"
"AZD6244","SW1990","PANCREAS","4.15","COSMIC"
"AZD6244","SW48","GI:TRACT","29.62","COSMIC"
"AZD6244","SW620","GI:TRACT","0.30","COSMIC"
"AZD6244","SW626","OVARY","250.33","COSMIC"
"AZD6244","SW684","SOFT:TISSUE","76.14","COSMIC"
"AZD6244","SW756","UTERUS","21.02","COSMIC"
"AZD6244","SW780","BLADDER","0.67","COSMIC"
"AZD6244","SW872","SOFT:TISSUE","1.27","COSMIC"
"AZD6244","SW948","GI:TRACT","21.32","COSMIC"
"AZD6244","SW954","UTERUS","0.90","COSMIC"
"AZD6244","SW962","UTERUS","9.46","COSMIC"
"AZD6244","SW982","SOFT:TISSUE","20.49","COSMIC"
"AZD6244","T24","BLADDER","9.59","COSMIC"
"AZD6244","T47D","BREAST","165.52","COSMIC"
"AZD6244","T84","GI:TRACT","186.49","COSMIC"
"AZD6244","T98G","CENTRAL:NERVOUS:SYSTEM","42.19","COSMIC"
"AZD6244","TCCSUP","BLADDER","93.02","COSMIC"
"AZD6244","TE10","UPPER:AERODIGESTIVE:TRACT","27.36","COSMIC"
"AZD6244","TE11","UPPER:AERODIGESTIVE:TRACT","10.94","COSMIC"
"AZD6244","TE12","UPPER:AERODIGESTIVE:TRACT","5.11","COSMIC"
"AZD6244","TE1","UPPER:AERODIGESTIVE:TRACT","25.44","COSMIC"
"AZD6244","TE5","UPPER:AERODIGESTIVE:TRACT","15.48","COSMIC"
"AZD6244","TE6","UPPER:AERODIGESTIVE:TRACT","74.23","COSMIC"
"AZD6244","TE8","UPPER:AERODIGESTIVE:TRACT","5.04","COSMIC"
"AZD6244","TE9","UPPER:AERODIGESTIVE:TRACT","213.13","COSMIC"
"AZD6244","TGBC11TKB","GI:TRACT","9.05","COSMIC"
"AZD6244","TGBC1TKB","GI:TRACT","27.71","COSMIC"
"AZD6244","TGBC24TKB","GI:TRACT","11.04","COSMIC"
"AZD6244","TGW","CENTRAL:NERVOUS:SYSTEM","10.72","COSMIC"
"AZD6244","TI73","BONE","12.94","COSMIC"
"AZD6244","TK10","KIDNEY","7.31","COSMIC"
"AZD6244","TYKnu","OVARY","14.44","COSMIC"
"AZD6244","U118MG","CENTRAL:NERVOUS:SYSTEM","13.76","COSMIC"
"AZD6244","U251","CENTRAL:NERVOUS:SYSTEM","15.61","COSMIC"
"AZD6244","U266","BLOOD","0.49","COSMIC"
"AZD6244","U2OS","BONE","23.62","COSMIC"
"AZD6244","U87MG","CENTRAL:NERVOUS:SYSTEM","58.54","COSMIC"
"AZD6244","UACC257","SKIN","0.32","COSMIC"
"AZD6244","UACC62","SKIN","160.65","COSMIC"
"AZD6244","UMC11","LUNG","53.49","COSMIC"
"AZD6244","VAESBJ","SOFT:TISSUE","11.47","COSMIC"
"AZD6244","VMCUB1","BLADDER","3.95","COSMIC"
"AZD6244","VMRCRCZ","KIDNEY","40.83","COSMIC"
"AZD6244","WM115","SKIN","0.27","COSMIC"
"AZD6244","YAPC","PANCREAS","48.36","COSMIC"
"AZD6244","YH13","CENTRAL:NERVOUS:SYSTEM","91.61","COSMIC"
"AZD6244","YKG1","CENTRAL:NERVOUS:SYSTEM","4.51","COSMIC"
"AZD6244","ZR7530","BREAST","123.40","COSMIC"
"AZD6482","22RV1","PROSTATE","102.09","COSMIC"
"AZD6482","2313287","GI:TRACT","5.17","COSMIC"
"AZD6482","5637","BLADDER","145.93","COSMIC"
"AZD6482","639V","BLADDER","1.63","COSMIC"
"AZD6482","647V","BLADDER","35.75","COSMIC"
"AZD6482","697","BLOOD","4.58","COSMIC"
"AZD6482","769P","KIDNEY","37.69","COSMIC"
"AZD6482","7860","KIDNEY","1.31","COSMIC"
"AZD6482","8305C","THYROID","12.26","COSMIC"
"AZD6482","8505C","THYROID","94.24","COSMIC"
"AZD6482","8MGBA","CENTRAL:NERVOUS:SYSTEM","6.79","COSMIC"
"AZD6482","A101D","SKIN","3.20","COSMIC"
"AZD6482","A172","CENTRAL:NERVOUS:SYSTEM","36.56","COSMIC"
"AZD6482","A204","SOFT:TISSUE","5.28","COSMIC"
"AZD6482","A2058","SKIN","20.12","COSMIC"
"AZD6482","A253","OTHER","65.15","COSMIC"
"AZD6482","A2780","OVARY","8.30","COSMIC"
"AZD6482","A375","SKIN","72.83","COSMIC"
"AZD6482","A388","OTHER","25.72","COSMIC"
"AZD6482","A3KAW","GI:TRACT","55.87","COSMIC"
"AZD6482","A427","LUNG","1.00","COSMIC"
"AZD6482","A431","SKIN","5.58","COSMIC"
"AZD6482","A498","KIDNEY","0.12","COSMIC"
"AZD6482","A4Fuk","SKIN","3.07","COSMIC"
"AZD6482","A673","SOFT:TISSUE","19.16","COSMIC"
"AZD6482","A704","KIDNEY","33.98","COSMIC"
"AZD6482","ABC1","LUNG","14.63","COSMIC"
"AZD6482","ACHN","KIDNEY","18.43","COSMIC"
"AZD6482","ACN","CENTRAL:NERVOUS:SYSTEM","13.09","COSMIC"
"AZD6482","AGS","GI:TRACT","9.36","COSMIC"
"AZD6482","ALLPO","BLOOD","12.55","COSMIC"
"AZD6482","AM38","CENTRAL:NERVOUS:SYSTEM","42.38","COSMIC"
"AZD6482","AN3CA","UTERUS","3.58","COSMIC"
"AZD6482","ARH77","BLOOD","8.18","COSMIC"
"AZD6482","AsPC1","PANCREAS","173.96","COSMIC"
"AZD6482","ATN1","BLOOD","99.92","COSMIC"
"AZD6482","AU565","BREAST","16.89","COSMIC"
"AZD6482","BB30HNC","UPPER:AERODIGESTIVE:TRACT","4.87","COSMIC"
"AZD6482","BB49HNC","UPPER:AERODIGESTIVE:TRACT","54.83","COSMIC"
"AZD6482","BB65RCC","KIDNEY","14.74","COSMIC"
"AZD6482","BC1","BLOOD","46.20","COSMIC"
"AZD6482","BC3","BLOOD","12.20","COSMIC"
"AZD6482","BCPAP","THYROID","15.18","COSMIC"
"AZD6482","BE13","BLOOD","1347.55","COSMIC"
"AZD6482","Becker","CENTRAL:NERVOUS:SYSTEM","1.36","COSMIC"
"AZD6482","BEN","LUNG","295.71","COSMIC"
"AZD6482","BFTC905","BLADDER","15.00","COSMIC"
"AZD6482","BFTC909","KIDNEY","5.75","COSMIC"
"AZD6482","BHT101","THYROID","13.79","COSMIC"
"AZD6482","BHY","UPPER:AERODIGESTIVE:TRACT","5.97","COSMIC"
"AZD6482","BL41","BLOOD","8.49","COSMIC"
"AZD6482","BL70","BLOOD","4.84","COSMIC"
"AZD6482","BOKU","UTERUS","70.40","COSMIC"
"AZD6482","BPH1","OTHER","4.88","COSMIC"
"AZD6482","BT20","BREAST","0.59","COSMIC"
"AZD6482","BT474","BREAST","34.53","COSMIC"
"AZD6482","BV173","BLOOD","448.86","COSMIC"
"AZD6482","BxPC3","PANCREAS","3.44","COSMIC"
"AZD6482","C2BBe1","GI:TRACT","13.47","COSMIC"
"AZD6482","C32","SKIN","404.37","COSMIC"
"AZD6482","C33A","UTERUS","224.31","COSMIC"
"AZD6482","C3A","LIVER","57.99","COSMIC"
"AZD6482","C4II","UTERUS","123.61","COSMIC"
"AZD6482","C8166","BLOOD","26.48","COSMIC"
