"cell_line","drug","ref"
"CAL27","ATRA","298.824"
"CAL27","AUY922","0.082"
"CAL27","Axitinib","4.225"
"CAL27#","AZD0530","1.18050003"
"CAL27","AZD2281","90.118"
"CAL27#","AZD6244","0.43797701"
"CAL27","AZD6244","3.051"
"CAL27","AZD6482","13.396"
"CAL27","AZD7762","4.695"
"CAL27","AZD8055","15.256"
"CAL27","BAY613606","4.573"
"CAL27","Bexarotene","491.387"
"CAL27","BIBW2992","0.177"
"CAL27","Bicalutami","132.627"
"CAL27","BID1870","8.075"
"CAL27","BIRB0796","321.671"
"CAL27","Bleomycin","8.022"
"CAL27","BMS754807","28.193"
"CAL27","Bosutinib","0.929"
"CAL27","Bryostatin","0.222"
"CAL27","BX795","15.262"
"CAL27","Camptothec","0.002"
"CAL27","CEP701","0.438"
"CAL27","CHIR99021","249.238"
"CAL27","CI1040","2.386"
"CAL27","Cisplatin","6.648"
"CAL27","Cytarabine","1.925"
"CAL27","DMOG","7228.618"
"CAL27","Docetaxel","0.000"
"CAL27","Doxorubici","0.033"
"CAL27","Elesclomol","0.034"
"CAL27","Embelin","13.000"
"CAL27","Epothilone","0.001"
"CAL27#","Erlotinib","0.24757698"
"CAL27","Etoposide","10.370"
"CAL27","FH535","3.146"
"CAL27","FTI277","28.997"
"CAL27","GDC0449","47.163"
"CAL27","GDC0941","57.587"
"CAL27","Gefitinib","0.290"
"CAL27","Gemcitabin","0.036"
"CAL27","GSK650394","5.305"
"CAL27","GW441756","94.847"
"CAL27","IPA3","777.224"
"CAL27","JNK9L","0.067"
"CAL27","JNKInhibit","263.339"
"CAL27","KU55933","291.759"
"CAL27#","L685458","8"
"CAL27#","Lapatinib","0.68877124"
"CAL27#","LBW242","8"
"CAL27","Lenalidomi","207.425"
"CAL27","LFMA13","696.637"
"CAL27","Metformin","45396.011"
"CAL27","Methotrexa","9.578"
"CAL27","Midostauri","72.305"
"CAL27","MitomycinC","0.042"
"CAL27","MK2206","5.435"
"CAL27","Nilotinib","86.139"
"CAL27","NSC87877","35.438"
"CAL27","NU7441","13.959"
"CAL27#","Nutlin3","8"
"CAL27","Nutlin3a","37.309"
"CAL27","NVPBEZ235","0.218"
"CAL27","ObatoclaxM","0.065"
"CAL27","OSI906","398.725"
"CAL27","PAC1","160.382"
"CAL27#","Paclitaxel","0.00267777"
"CAL27#","Panobinost","0.05182117"
"CAL27","Pazopanib","1023.707"
"CAL27","PD0325901","0.045"
"CAL27#","PD0325901","0.13389010"
"CAL27","PD0332991","0.496"
"CAL27#","PD0332991","8"
"CAL27","PD173074","136.164"
"CAL27#","PF2341066","5.07764530"
"CAL27","PF562271","12.045"
"CAL27#","PHA665752","8"
"CAL27","PLX4720","339.530"
"CAL27#","PLX4720","8"
"CAL27","QS11","17.866"
"CAL27#","RAF265","2.65646076"
"CAL27","RDEA119","5.712"
"CAL27","RO3306","12.072"
"CAL27","SB216763","43.500"
"CAL27","SB590885","336.095"
"CAL27","Shikonin","82.155"
"CAL27","SL01011","139.893"
"CAL27#","Sorafenib","8"
"CAL27#","TAE684","3.84633898"
"CAL27","Temsirolim","0.352"
"CAL27","Thapsigarg","0.000"
"CAL27","Tipifarnib","3.087"
"CAL27#","TKI258","7.20964098"
"CAL27#","Topotecan","0.11951409"
"CAL27","Vinblastin","0.002"
"CAL27","Vinorelbin","0.032"
"CAL27","Vorinostat","1.703"
"CAL27","VX702","132.521"
"CAL27#","ZD6474","0.46547600"
"CAL27","ZM447439","18.633"
"CAL33","17AAG","7.949"
"CAL33","681640","3.860"
"CAL33","A769662","80.389"
"CAL33","ABT263","95.645"
"CAL33","ABT888","10.360"
"CAL33","AICAR","1284.713"
"CAL33","AKTinhibit","3.418"
"CAL33","AMG706","155.238"
"CAL33","AP24534","18.117"
"CAL33","AS601245","18.386"
"CAL33","ATRA","132.482"
"CAL33","AUY922","0.044"
"CAL33","Axitinib","145.121"
"CAL33","AZD2281","306.335"
"CAL33","AZD6244","1.545"
"CAL33","AZD6482","1.487"
"CAL33","AZD7762","0.984"
"CAL33","AZD8055","0.865"
"CAL33","BAY613606","13.470"
"CAL33","Bexarotene","110.179"
"CAL33","BIBW2992","0.203"
"CAL33","Bicalutami","85.668"
"CAL33","BID1870","3.520"
"CAL33","BIRB0796","912.636"
"CAL33","Bleomycin","2.141"
"CAL33","BMS754807","4.825"
"CAL33","Bosutinib","1.192"
"CAL33","Bryostatin","0.177"
"CAL33","BX795","29.540"
"CAL33","Camptothec","0.006"
"CAL33","CEP701","0.731"
"CAL33","CHIR99021","91.778"
"CAL33","CI1040","5.098"
"CAL33","Cisplatin","40.819"
"CAL33","Cytarabine","1.176"
"CAL33","DMOG","237.877"
"CAL33","Docetaxel","0.001"
"CAL33","Doxorubici","0.068"
"CAL33","Elesclomol","0.022"
"CAL33","Embelin","22.684"
"CAL33","Epothilone","0.002"
"CAL33","Etoposide","0.687"
"CAL33","FH535","3.545"
"CAL33","FTI277","27.590"
"CAL33","GDC0449","472.413"
"CAL33","GDC0941","4.504"
"CAL33","Gefitinib","0.372"
"CAL33","Gemcitabin","0.002"
"CAL33","GSK650394","9.895"
"CAL33","GW441756","6.393"
"CAL33","IPA3","1900.727"
"CAL33","JNK9L","0.827"
"CAL33","JNKInhibit","999.902"
"CAL33","KU55933","42.188"
"CAL33","Lenalidomi","77.950"
"CAL33","LFMA13","518.463"
"CAL33","Metformin","41749.211"
"CAL33","Methotrexa","7.629"
"CAL33","Midostauri","11.905"
"CAL33","MitomycinC","0.538"
"CAL33","MK2206","7.615"
"CAL33","Nilotinib","6.278"
"CAL33","NSC87877","932.781"
"CAL33","NU7441","95.569"
"CAL33","Nutlin3a","66.749"
"CAL33","NVPBEZ235","0.086"
"CAL33","ObatoclaxM","0.509"
"CAL33","OSI906","139.865"
"CAL33","PAC1","264.154"
"CAL33","Pazopanib","160.943"
"CAL33","PD0325901","0.158"
"CAL33","PD0332991","6.257"
"CAL33","PD173074","45.387"
"CAL33","PF562271","1.129"
"CAL33","PLX4720","636.091"
"CAL33","QS11","12.686"
"CAL33","RDEA119","1.562"
"CAL33","RO3306","13.544"
"CAL33","SB216763","796.601"
"CAL33","SB590885","434.679"
"CAL33","Shikonin","1.996"
"CAL33","SL01011","462.302"
"CAL33","Temsirolim","0.276"
"CAL33","Thapsigarg","0.031"
"CAL33","Tipifarnib","3.662"
"CAL33","Vinblastin","0.006"
"CAL33","Vinorelbin","0.005"
"CAL33","Vorinostat","4.212"
"CAL33","VX702","212.067"
"CAL33","ZM447439","1.723"
"CAL39","17AAG","0.078"
"CAL39","681640","3.481"
"CAL39","ABT263","71.260"
"CAL39","ABT888","235.940"
"CAL39","AICAR","2666.323"
"CAL39","AMG706","164.069"
"CAL39","ATRA","362.695"
"CAL39","Axitinib","61.467"
"CAL39","AZD2281","609.399"
"CAL39","AZD6244","0.333"
"CAL39","AZD7762","2.855"
"CAL39","AZD8055","0.524"
"CAL39","BIBW2992","0.119"
"CAL39","BID1870","4.916"
"CAL39","BIRB0796","585.050"
"CAL39","Bosutinib","2.140"
"CAL39","BX795","4.291"
"CAL39","Camptothec","0.019"
"CAL39","CEP701","0.482"
"CAL39","CI1040","2.891"
"CAL39","Cisplatin","281.979"
"CAL39","Cytarabine","0.998"
"CAL39","Docetaxel","0.002"
"CAL39","Elesclomol","0.013"
"CAL39","GDC0449","639.908"
"CAL39","GDC0941","2.028"
"CAL39","Gefitinib","0.597"
"CAL39","GW441756","142.156"
"CAL39","JNKInhibit","989.786"
"CAL39","KU55933","512.910"
"CAL39","Lenalidomi","408.055"
"CAL39","Metformin","34338.893"
"CAL39","Methotrexa","17.256"
"CAL39","MK2206","4.699"
"CAL39","Nilotinib","107.896"
"CAL39","NU7441","177.054"
"CAL39","Nutlin3a","406.512"
"CAL39","NVPBEZ235","0.038"
"CAL39","PD0325901","0.039"
"CAL39","PD0332991","1.075"
"CAL39","PD173074","85.421"
"CAL39","PLX4720","856.822"
"CAL39","RDEA119","0.416"
"CAL39","RO3306","7.308"
"CAL39","SB216763","1014.259"
"CAL39","SB590885","454.080"
"CAL39","SL01011","933.246"
"CAL39","Temsirolim","0.041"
"CAL39","Vinblastin","0.005"
"CAL39","Vorinostat","2.231"
"CAL39","VX702","132.139"
"CAL39","ZM447439","13.944"
"CAL51","17AAG","0.014"
"CAL51","681640","23.161"
"CAL51","A769662","22.868"
"CAL51","ABT263","164.889"
"CAL51","ABT888","259.430"
"CAL51","AICAR","185696.321"
"CAL51","AKTinhibit","7.581"
"CAL51","AMG706","133.742"
"CAL51","AP24534","5.599"
"CAL51","AS601245","5.275"
"CAL51","ATRA","47.041"
"CAL51","AUY922","0.003"
"CAL51","Axitinib","43.064"
"CAL51","AZD2281","34.693"
"CAL51","AZD6244","118.994"
"CAL51","AZD6482","73.820"
"CAL51","AZD7762","0.515"
"CAL51","AZD8055","0.197"
"CAL51","BAY613606","3.013"
"CAL51","Bexarotene","46.644"
"CAL51","BIBW2992","31.236"
"CAL51","Bicalutami","54.743"
"CAL51","BID1870","4.845"
"CAL51","BIRB0796","1186.584"
"CAL51","Bleomycin","0.000"
"CAL51","BMS754807","0.404"
"CAL51","Bosutinib","144.644"
"CAL51","Bryostatin","0.149"
"CAL51","BX795","1.221"
"CAL51","Camptothec","0.030"
"CAL51","CEP701","0.279"
"CAL51","CHIR99021","315.793"
"CAL51","CI1040","337.304"
"CAL51","Cisplatin","16.284"
"CAL51","Cytarabine","0.572"
"CAL51","DMOG","234.112"
"CAL51","Docetaxel","0.003"
"CAL51","Doxorubici","0.018"
"CAL51","Elesclomol","0.000"
"CAL51","Embelin","5.341"
"CAL51","Epothilone","0.002"
"CAL51","Etoposide","1.084"
"CAL51","FH535","2.737"
"CAL51","FTI277","108.804"
"CAL51","GDC0449","34.342"
"CAL51","GDC0941","4.689"
"CAL51","Gefitinib","10.017"
"CAL51","Gemcitabin","0.192"
"CAL51","GSK650394","5.329"
"CAL51","GW441756","160.911"
"CAL51","IPA3","3.532"
"CAL51","JNK9L","0.220"
"CAL51","JNKInhibit","957.753"
"CAL51","KU55933","39.612"
"CAL51","Lenalidomi","529.326"
"CAL51","LFMA13","1210.360"
"CAL51","Metformin","158001.888"
"CAL51","Methotrexa","4.512"
"CAL51","Midostauri","0.108"
"CAL51","MitomycinC","0.031"
"CAL51","MK2206","11.981"
"CAL51","Nilotinib","97.717"
"CAL51","NSC87877","9.297"
"CAL51","NU7441","4.230"
"CAL51","Nutlin3a","9.041"
"CAL51","NVPBEZ235","0.024"
"CAL51","ObatoclaxM","0.040"
"CAL51","OSI906","102.558"
"CAL51","PAC1","78.332"
"CAL51","Pazopanib","172.112"
"CAL51","PD0325901","13.997"
"CAL51","PD0332991","1.746"
"CAL51","PD173074","141.280"
"CAL51","PF562271","3.562"
"CAL51","PLX4720","200.412"
"CAL51","QS11","2.224"
"CAL51","RDEA119","8.048"
"CAL51","RO3306","306.977"
"CAL51","SB216763","45.062"
"CAL51","SB590885","395.360"
"CAL51","Shikonin","0.021"
"CAL51","SL01011","63.916"
"CAL51","Temsirolim","0.427"
"CAL51","Thapsigarg","0.001"
"CAL51","Tipifarnib","3.513"
"CAL51","Vinblastin","0.017"
"CAL51","Vinorelbin","0.009"
"CAL51","Vorinostat","2.162"
"CAL51","VX702","97.280"
"CAL51","ZM447439","1.835"
"CAL54","17AAG","4.042"
"CAL54","681640","3.404"
"CAL54","ABT263","31.392"
"CAL54","ABT888","37.547"
"CAL54","AICAR","7309.055"
"CAL54","AMG706","150.454"
"CAL54","ATRA","229.742"
"CAL54","Axitinib","29.241"
"CAL54","AZD2281","272.011"
"CAL54","AZD6244","1.491"
"CAL54","AZD7762","0.741"
"CAL54","AZD8055","1.830"
"CAL54","BIBW2992","0.617"
"CAL54","BID1870","5.901"
"CAL54","BIRB0796","421.240"
"CAL54","Bosutinib","1.655"
"CAL54","BX795","85.642"
"CAL54","Camptothec","0.005"
"CAL54","CEP701","0.179"
"CAL54","CI1040","5.002"
"CAL54","Cisplatin","12.097"
"CAL54","Cytarabine","0.941"
"CAL54","Docetaxel","0.101"
"CAL54","Elesclomol","1.280"
"CAL54","GDC0449","607.095"
"CAL54","GDC0941","1.071"
"CAL54","Gefitinib","0.312"
"CAL54","GW441756","20.772"
"CAL54","JNKInhibit","351.622"
"CAL54","KU55933","97.037"
"CAL54","Lenalidomi","190.534"
"CAL54","Metformin","3275.827"
"CAL54","Methotrexa","2.783"
"CAL54","MK2206","1.710"
"CAL54","Nilotinib","151.885"
"CAL54","NU7441","11.396"
"CAL54","Nutlin3a","4.510"
"CAL54","NVPBEZ235","0.240"
"CAL54","PD0325901","1.453"
"CAL54","PD0332991","2.199"
"CAL54","PD173074","81.689"
"CAL54","PLX4720","58.864"
"CAL54","RDEA119","5.525"
"CAL54","RO3306","479.148"
"CAL54","SB216763","93.785"
"CAL54","SB590885","478.193"
"CAL54","SL01011","53.449"
"CAL54","Temsirolim","0.119"
"CAL54","Vinblastin","0.061"
"CAL54","Vorinostat","4.205"
"CAL54","VX702","16.587"
"CAL54","ZM447439","23.531"
"CAL62","17AAG","0.163"
"CAL62","681640","19.833"
"CAL62","A769662","79.409"
"CAL62","ABT263","113.400"
"CAL62","ABT888","530.594"
"CAL62","AICAR","2359.559"
"CAL62","AKTinhibit","102.119"
"CAL62","AMG706","77.903"
"CAL62","AP24534","22.535"
"CAL62","AS601245","5.860"
"CAL62","ATRA","114.959"
"CAL62","AUY922","0.026"
"CAL62","Axitinib","106.369"
"CAL62","AZD2281","255.197"
"CAL62","AZD6244","1.521"
"CAL62","AZD6482","132.574"
"CAL62","AZD7762","0.572"
"CAL62","AZD8055","0.800"
"CAL62","BAY613606","23.848"
"CAL62","Bexarotene","28.278"
"CAL62","BIBW2992","42.905"
"CAL62","Bicalutami","123.355"
"CAL62","BID1870","0.882"
"CAL62","BIRB0796","809.248"
"CAL62","Bleomycin","3.328"
"CAL62","BMS754807","2.654"
"CAL62","Bosutinib","176.931"
"CAL62","Bryostatin","0.059"
"CAL62","BX795","35.679"
"CAL62","Camptothec","0.001"
"CAL62","CEP701","0.255"
"CAL62","CHIR99021","160.111"
"CAL62","CI1040","4.057"
"CAL62","Cisplatin","296.214"
"CAL62","Cytarabine","0.711"
"CAL62","DMOG","1025.035"
"CAL62","Docetaxel","0.000"
"CAL62","Doxorubici","0.033"
"CAL62","Elesclomol","0.056"
"CAL62","Embelin","23.048"
"CAL62","Epothilone","0.001"
"CAL62","Etoposide","0.852"
"CAL62","FH535","2.646"
"CAL62","FTI277","20.036"
"CAL62","GDC0449","815.484"
"CAL62","GDC0941","5.157"
"CAL62","Gefitinib","7.354"
"CAL62","Gemcitabin","0.001"
"CAL62","GSK650394","4.743"
"CAL62","GW441756","85.548"
"CAL62","IPA3","160.654"
"CAL62","JNK9L","0.893"
"CAL62","JNKInhibit","921.504"
"CAL62","KU55933","210.992"
"CAL62","Lenalidomi","569.626"
"CAL62","LFMA13","520.586"
"CAL62","Metformin","56641.778"
"CAL62","Methotrexa","3.164"
"CAL62","Midostauri","0.933"
"CAL62","MitomycinC","0.243"
"CAL62","MK2206","79.030"
"CAL62","Nilotinib","147.410"
"CAL62","NSC87877","31.099"
"CAL62","NU7441","46.853"
"CAL62","Nutlin3a","481.302"
"CAL62","NVPBEZ235","0.037"
"CAL62","ObatoclaxM","0.026"
"CAL62","OSI906","51.544"
"CAL62","PAC1","229.079"
"CAL62","Pazopanib","68.858"
"CAL62","PD0325901","0.101"
"CAL62","PD0332991","1.606"
"CAL62","PD173074","181.523"
"CAL62","PF562271","1.318"
"CAL62","PLX4720","118.686"
"CAL62","QS11","9.374"
"CAL62","RDEA119","0.683"
"CAL62","RO3306","331.635"
"CAL62","SB216763","604.679"
"CAL62","SB590885","474.442"
"CAL62","Shikonin","1.279"
"CAL62","SL01011","148.220"
"CAL62","Temsirolim","0.118"
"CAL62","Thapsigarg","0.072"
"CAL62","Tipifarnib","1.784"
"CAL62","Vinblastin","0.010"
"CAL62","Vinorelbin","0.008"
"CAL62","Vorinostat","3.532"
"CAL62","VX702","123.330"
"CAL62","ZM447439","5.945"
"CAL72","17AAG","8.150"
"CAL72","681640","1.820"
"CAL72","A769662","37.305"
"CAL72","ABT263","101.470"
"CAL72","ABT888","100.453"
"CAL72","AICAR","315.132"
"CAL72","AKTinhibit","74.123"
"CAL72","AMG706","7.834"
"CAL72","AP24534","19.496"
"CAL72","AS601245","9.901"
"CAL72","ATRA","39.451"
"CAL72","AUY922","0.167"
"CAL72","Axitinib","49.018"
"CAL72","AZD2281","75.895"
"CAL72","AZD6244","83.044"
"CAL72","AZD6482","32.698"
"CAL72","AZD7762","31.161"
"CAL72","AZD8055","4.335"
"CAL72","BAY613606","488.895"
"CAL72","Bexarotene","44.802"
"CAL72","BIBW2992","10.859"
"CAL72","Bicalutami","99.675"
"CAL72","BID1870","28.266"
"CAL72","BIRB0796","41.554"
"CAL72","Bleomycin","569.115"
"CAL72","BMS754807","17.978"
"CAL72","Bosutinib","18.916"
"CAL72","Bryostatin","0.114"
"CAL72","BX795","4.205"
"CAL72","Camptothec","0.151"
"CAL72","CEP701","25.959"
"CAL72","CHIR99021","8.703"
"CAL72","CI1040","31.242"
"CAL72","Cisplatin","23.201"
"CAL72","Cytarabine","3.134"
"CAL72","DMOG","479.005"
"CAL72","Docetaxel","0.029"
"CAL72","Doxorubici","0.841"
"CAL72","Elesclomol","0.003"
"CAL72","Embelin","10.303"
"CAL72","Epothilone","0.124"
"CAL72","Etoposide","53.844"
"CAL72","FH535","42.717"
"CAL72","FTI277","45.614"
"CAL72","GDC0449","122.338"
"CAL72","GDC0941","14.658"
"CAL72","Gefitinib","0.270"
"CAL72","Gemcitabin","124.206"
"CAL72","GSK650394","377.413"
"CAL72","GW441756","18.777"
"CAL72","IPA3","24.496"
"CAL72","JNK9L","219.685"
"CAL72","JNKInhibit","37.510"
"CAL72","KU55933","5.453"
"CAL72","Lenalidomi","90.758"
"CAL72","LFMA13","816.704"
"CAL72","Metformin","6107.781"
"CAL72","Methotrexa","0.417"
"CAL72","Midostauri","19.994"
"CAL72","MitomycinC","46.190"
"CAL72","MK2206","182.121"
"CAL72","Nilotinib","70.021"
"CAL72","NSC87877","314.348"
"CAL72","NU7441","10.731"
"CAL72","Nutlin3a","186.959"
"CAL72","NVPBEZ235","0.294"
"CAL72","ObatoclaxM","0.535"
"CAL72","OSI906","124.417"
"CAL72","PAC1","96.728"
"CAL72","Pazopanib","5.906"
"CAL72","PD0325901","10.956"
"CAL72","PD0332991","20.723"
"CAL72","PD173074","4.398"
"CAL72","PF562271","14.076"
"CAL72","PLX4720","6.417"
"CAL72","QS11","29.390"
"CAL72","RDEA119","178.793"
"CAL72","RO3306","199.058"
"CAL72","SB216763","37.697"
"CAL72","SB590885","20.657"
"CAL72","Shikonin","1.013"
"CAL72","SL01011","3.869"
"CAL72","Temsirolim","0.266"
"CAL72","Thapsigarg","0.002"
"CAL72","Tipifarnib","4.930"
"CAL72","Vinblastin","0.648"
"CAL72","Vinorelbin","0.619"
"CAL72","Vorinostat","87.716"
"CAL72","VX702","55.429"
"CAL72","ZM447439","14.489"
"CAL78#","17AAG","0.09958667"
"CAL78#","AEW541","5.52190589"
"CAL78#","AZD0530","8"
"CAL78#","AZD6244","8"
"CAL78#","Erlotinib","8"
"CAL78#","Irinotecan","0.28571239"
"CAL78#","L685458","8"
"CAL78#","Lapatinib","8"
"CAL78#","LBW242","8"
"CAL78#","Nilotinib","8"
"CAL78#","Nutlin3","8"
"CAL78#","Paclitaxel","0.00558513"
"CAL78#","Panobinost","0.08087267"
"CAL78#","PD0325901","8"
"CAL78#","PD0332991","8"
"CAL78#","PF2341066","7.80582571"
"CAL78#","PHA665752","8"
"CAL78#","PLX4720","8"
"CAL78#","RAF265","8"
"CAL78#","Sorafenib","8"
"CAL78#","TAE684","3.53416943"
"CAL78#","TKI258","2.73984861"
"CAL78#","Topotecan","0.52385950"
"CAL78#","ZD6474","8"
"CAL851#","17AAG","0.17533990"
"CAL851","17AAG","34.901"
"CAL851","681640","61.872"
"CAL851","A769662","7.410"
"CAL851","ABT263","66.133"
"CAL851","ABT888","434.462"
"CAL851#","AEW541","2.28115654"
"CAL851","AICAR","169084.652"
"CAL851","AKTinhibit","5.921"
"CAL851","AMG706","137.186"
"CAL851","AP24534","0.180"
"CAL851","AS601245","1.502"
"CAL851","ATRA","443.565"
"CAL851","AUY922","0.012"
"CAL851","Axitinib","198.424"
"CAL851#","AZD0530","1.58066070"
"CAL851","AZD2281","398.089"
"CAL851#","AZD6244","3.01427960"
"CAL851","AZD6244","4.771"
"CAL851","AZD6482","2.275"
"CAL851","AZD7762","2.654"
"CAL851","AZD8055","1.524"
"CAL851","BAY613606","3.321"
"CAL851","Bexarotene","42.803"
"CAL851","BIBW2992","9.805"
"CAL851","Bicalutami","63.980"
"CAL851","BID1870","24.907"
"CAL851","BIRB0796","388.639"
"CAL851","Bleomycin","0.000"
"CAL851","BMS754807","0.168"
"CAL851","Bosutinib","106.698"
"CAL851","Bryostatin","0.006"
"CAL851","BX795","10.684"
"CAL851","Camptothec","7.874"
"CAL851","CEP701","14.309"
"CAL851","CHIR99021","6.571"
"CAL851","CI1040","18.021"
"CAL851","Cisplatin","717.143"
"CAL851","Cytarabine","176.931"
"CAL851","DMOG","106.816"
"CAL851","Docetaxel","0.907"
"CAL851","Doxorubici","0.045"
"CAL851","Elesclomol","0.073"
"CAL851","Embelin","7.762"
"CAL851","Epothilone","0.001"
"CAL851#","Erlotinib","0.87051445"
"CAL851","Etoposide","2.154"
"CAL851","FH535","3.597"
"CAL851","FTI277","5.884"
"CAL851","GDC0449","392.807"
"CAL851","GDC0941","26.940"
"CAL851","Gefitinib","21.725"
"CAL851","Gemcitabin","0.145"
"CAL851","GSK650394","16.951"
"CAL851","GW441756","211.097"
"CAL851","IPA3","7.328"
"CAL851#","Irinotecan","0.26240697"
"CAL851","JNK9L","0.881"
"CAL851","JNKInhibit","305.146"
"CAL851","KU55933","233.926"
"CAL851#","L685458","8"
"CAL851#","Lapatinib","1.89954817"
"CAL851#","LBW242","5.11734676"
"CAL851","Lenalidomi","58.135"
"CAL851","LFMA13","147.498"
"CAL851","Metformin","533725.287"
"CAL851","Methotrexa","10.861"
"CAL851","Midostauri","0.566"
"CAL851","MitomycinC","0.066"
"CAL851","MK2206","18.075"
"CAL851","Nilotinib","25.207"
"CAL851#","Nilotinib","8"
"CAL851","NSC87877","19.161"
"CAL851","NU7441","170.727"
"CAL851#","Nutlin3","8"
"CAL851","Nutlin3a","263.496"
"CAL851","NVPBEZ235","0.093"
"CAL851","ObatoclaxM","0.019"
"CAL851","OSI906","1.231"
"CAL851","PAC1","10.201"
"CAL851#","Paclitaxel","0.01636847"
"CAL851#","Panobinost","0.02865007"
"CAL851","Pazopanib","16.442"
"CAL851","PD0325901","0.248"
"CAL851#","PD0325901","0.67953324"
"CAL851","PD0332991","4.007"
"CAL851#","PD0332991","8"
"CAL851","PD173074","143.095"
"CAL851#","PF2341066","8"
"CAL851","PF562271","1.802"
"CAL851#","PHA665752","8"
"CAL851","PLX4720","314.442"
"CAL851#","PLX4720","8"
"CAL851","QS11","4.432"
"CAL851#","RAF265","0.65069425"
"CAL851","RDEA119","3.555"
"CAL851","RO3306","381.232"
"CAL851","SB216763","307.743"
"CAL851","SB590885","105.798"
"CAL851","Shikonin","0.162"
"CAL851","SL01011","305.329"
"CAL851#","Sorafenib","8"
"CAL851#","TAE684","8"
"CAL851","Temsirolim","4.523"
"CAL851","Thapsigarg","0.006"
"CAL851","Tipifarnib","1.245"
"CAL851#","TKI258","8"
"CAL851#","Topotecan","0.60953158"
"CAL851","Vinblastin","6.047"
"CAL851","Vinorelbin","0.005"
"CAL851","Vorinostat","13.333"
"CAL851","VX702","68.366"
"CAL851#","ZD6474","0.82725578"
"CAL851","ZM447439","23.252"
"CALU1#","17AAG","0.10349358"
"CALU1#","AEW541","8"
"CALU1#","AZD0530","8"
"CALU1#","AZD6244","8"
"CALU1#","Erlotinib","8"
"CALU1#","Irinotecan","1.86531078"
"CALU1#","L685458","8"
"CALU1#","Lapatinib","8"
"CALU1#","LBW242","8"
"CALU1#","Nilotinib","8"
"CALU1#","Nutlin3","8"
"CALU1#","Paclitaxel","0.02068818"
"CALU1#","Panobinost","0.15430507"
"CALU1#","PD0325901","8"
"CALU1#","PD0332991","8"
"CALU1#","PF2341066","8"
"CALU1#","PHA665752","8"
"CALU1#","PLX4720","8"
"CALU1#","RAF265","1.67619264"
"CALU1#","Sorafenib","8"
"CALU1#","TAE684","6.91863727"
"CALU1#","TKI258","7.99428749"
"CALU1#","Topotecan","2.01946544"
"CALU1#","ZD6474","8"
"CALU3#","17AAG","1.68885743"
"Calu3","17AAG","4.763"
"Calu3","681640","144.557"
"Calu3","ABT263","1.704"
"Calu3","ABT888","227.237"
"CALU3#","AEW541","7.72471046"
"Calu3","AICAR","1872.515"
"Calu3","AMG706","205.450"
"Calu3","ATRA","324.020"
"Calu3","Axitinib","101.571"
"CALU3#","AZD0530","0.85342043"
"Calu3","AZD2281","420.485"
"Calu3","AZD6244","325.412"
"CALU3#","AZD6244","8"
"Calu3","AZD7762","8.235"
"Calu3","AZD8055","1.650"
"Calu3","BIBW2992","0.815"
"Calu3","BID1870","14.752"
"Calu3","BIRB0796","814.915"
"Calu3","Bosutinib","245.588"
"Calu3","BX795","13.510"
"Calu3","Camptothec","0.033"
"Calu3","CEP701","2.624"
"Calu3","CI1040","19.249"
"Calu3","Cisplatin","570.763"
"Calu3","Cytarabine","5.429"
"Calu3","Docetaxel","0.139"
"Calu3","Elesclomol","3.151"
"CALU3#","Erlotinib","3.22565841"
"Calu3","GDC0449","722.165"
"Calu3","GDC0941","3.698"
"Calu3","Gefitinib","6.617"
"Calu3","GW441756","89.661"
"Calu3","JNKInhibit","838.234"
"Calu3","KU55933","1013.956"
"CALU3#","L685458","8"
"CALU3#","Lapatinib","0.4945876"
"CALU3#","LBW242","8"
"Calu3","Lenalidomi","493.252"
"Calu3","Metformin","21080.996"
"Calu3","Methotrexa","15.172"
"Calu3","MK2206","4.225"
"Calu3","Nilotinib","179.114"
"CALU3#","Nilotinib","8"
"Calu3","NU7441","71.474"
"CALU3#","Nutlin3","8"
"Calu3","Nutlin3a","375.274"
"Calu3","NVPBEZ235","0.073"
"CALU3#","Paclitaxel","8"
"CALU3#","Panobinost","0.04634737"
"Calu3","PD0325901","10.296"
"CALU3#","PD0325901","3.06451749"
"Calu3","PD0332991","213.829"
"CALU3#","PD0332991","8"
"Calu3","PD173074","181.758"
"CALU3#","PF2341066","8"
"CALU3#","PHA665752","8"
"CALU3#","PLX4720","8"
"Calu3","PLX4720","828.679"
"CALU3#","RAF265","8"
"Calu3","RDEA119","4.878"
"Calu3","RO3306","82.171"
"Calu3","SB216763","834.981"
"Calu3","SB590885","631.731"
"Calu3","SL01011","257.344"
"CALU3#","Sorafenib","8"
"CALU3#","TAE684","5.71829748"
"Calu3","Temsirolim","0.403"
"CALU3#","TKI258","8"
"CALU3#","Topotecan","0.45912712"
"Calu3","Vinblastin","0.552"
"Calu3","Vorinostat","5.040"
"Calu3","VX702","46.398"
"CALU3#","ZD6474","2.22334528"
"Calu3","ZM447439","59.715"
"CALU6#","17AAG","0.18347708"
"Calu6","17AAG","19.316"
"Calu6","681640","20.468"
"Calu6","A443654","0.138"
"Calu6","A769662","72.298"
"Calu6","A770041","57.078"
"Calu6","ABT263","4.260"
"Calu6","ABT888","438.946"
"CALU6#","AEW541","2.47643995"
"Calu6","AICAR","717.858"
"Calu6","AKTinhibit","52.824"
"Calu6","AMG706","251.861"
"Calu6","AP24534","9.432"
"Calu6","AS601245","8.475"
