"cell_line","drug","ref"
"5637","A769662","94.009"
"5637","ABT263","3.597"
"5637","ABT888","539.125"
"5637#","AEW541","5.00231409"
"5637","AICAR","5703.461"
"5637","AKTinhibit","223.998"
"5637","AMG706","39.806"
"5637","AP24534","4.881"
"5637","AS601245","75.751"
"5637","ATRA","448.546"
"5637","AUY922","0.029"
"5637","Axitinib","29.337"
"5637#","AZD0530","3.19223666"
"5637","AZD2281","7.879"
"5637","AZD6244","151.553"
"5637#","AZD6244","8"
"5637","AZD6482","145.933"
"5637","AZD7762","0.194"
"5637","AZD8055","1.770"
"5637","BAY613606","11.734"
"5637","Bexarotene","222.507"
"5637","BIBW2992","1.015"
"5637","Bicalutami","106.221"
"5637","BID1870","4.593"
"5637","BIRB0796","718.574"
"5637","Bleomycin","0.029"
"5637","BMS754807","0.602"
"5637","Bosutinib","1.138"
"5637","Bryostatin","0.232"
"5637","BX795","8.028"
"5637","Camptothec","0.004"
"5637","CEP701","0.083"
"5637","CHIR99021","229.171"
"5637","CI1040","75.345"
"5637","Cisplatin","4.498"
"5637","Cytarabine","0.503"
"5637","DMOG","839.070"
"5637","Docetaxel","0.000"
"5637","Doxorubici","0.032"
"5637","Elesclomol","0.036"
"5637","Embelin","13.126"
"5637","Epothilone","0.001"
"5637#","Erlotinib","2.43951249"
"5637","Etoposide","0.867"
"5637","FH535","7.209"
"5637","FTI277","21.960"
"5637","GDC0449","589.500"
"5637","GDC0941","2.702"
"5637","Gefitinib","8.257"
"5637","Gemcitabin","2.098"
"5637","GSK650394","3.195"
"5637","GW441756","180.494"
"5637","IPA3","417.519"
"5637#","Irinotecan","0.06704437"
"5637","JNK9L","5.014"
"5637","JNKInhibit","251.911"
"5637","KU55933","69.113"
"5637#","L685458","8"
"5637#","Lapatinib","2.30776763"
"5637#","LBW242","8"
"5637","Lenalidomi","453.899"
"5637","LFMA13","488.359"
"5637","Metformin","5162.280"
"5637","Methotrexa","0.294"
"5637","Midostauri","1.771"
"5637","MitomycinC","0.032"
"5637","MK2206","9.782"
"5637","Nilotinib","216.338"
"5637#","Nilotinib","7.47535467"
"5637","NSC87877","849.169"
