"gene","uni_id","pdb_id"
"RAC1","P63000","2WKQ"
"RAC1","P63000","2WKR"
"RAC1","P63000","2YIN"
"RAC1","P63000","3B13"
"RAC1","P63000","3BJI"
"RAC1","P63000","3RYT"
"RAC1","P63000","3SU8"
"RAC1","P63000","3SUA"
"MCL1","Q07820","2KBW"
"MCL1","Q07820","2NL9"
"MCL1","Q07820","2NLA"
"MCL1","Q07820","2PQK"
"MCL1","Q07820","3D7V"
"MCL1","Q07820","3IO9"
"MCL1","Q07820","3KJ0"
"MCL1","Q07820","3KJ1"
"MCL1","Q07820","3KJ2"
"MCL1","Q07820","3KZ0"
"MCL1","Q07820","3MK8"
"MCL1","Q07820","3PK1"
"MCL1","Q07820","3TWU"
"ITK","Q08881","1SM2"
"ITK","Q08881","1SNU"
"ITK","Q08881","1SNX"
"ITK","Q08881","2E6I"
"ITK","Q08881","2YUQ"
"ITK","Q08881","3MIY"
"ITK","Q08881","3MJ1"
"ITK","Q08881","3MJ2"
"ITK","Q08881","3QGW"
"ITK","Q08881","3QGY"
"ITK","Q08881","3T9T"
"ITK","Q08881","3V5J"
"ITK","Q08881","3V5L"
"ITK","Q08881","3V8T"
"ITK","Q08881","3V8W"
"CDK7","P50613","1LG3"
"CDK7","P50613","1PA8"
"CDK7","P50613","1UA2"
"CDK7","P50613","2HIC"
"DHFR","P00374","1BOZ"
"DHFR","P00374","1DHF"
"DHFR","P00374","1DLR"
"DHFR","P00374","1DLS"
"DHFR","P00374","1DRF"
"DHFR","P00374","1HFP"
"DHFR","P00374","1HFQ"
"DHFR","P00374","1HFR"
"DHFR","P00374","1KMS"
"DHFR","P00374","1KMV"
"DHFR","P00374","1MVS"
"DHFR","P00374","1MVT"
"DHFR","P00374","1OHJ"
"DHFR","P00374","1OHK"
"DHFR","P00374","1PD8"
"DHFR","P00374","1PD9"
"DHFR","P00374","1PDB"
"DHFR","P00374","1S3U"
"DHFR","P00374","1S3V"
"DHFR","P00374","1S3W"
"DHFR","P00374","1U71"
"DHFR","P00374","1U72"
"DHFR","P00374","1YHO"
"DHFR","P00374","2C2S"
"DHFR","P00374","2C2T"
"DHFR","P00374","2DHF"
"DHFR","P00374","2W3A"
"DHFR","P00374","2W3B"
"DHFR","P00374","2W3M"
"DHFR","P00374","3EIG"
"DHFR","P00374","3F8Y"
"DHFR","P00374","3F8Z"
"DHFR","P00374","3F91"
"DHFR","P00374","3FS6"
"DHFR","P00374","3GHC"
"DHFR","P00374","3GHV"
"DHFR","P00374","3GHW"
"DHFR","P00374","3GI2"
"DHFR","P00374","3GYF"
"DHFR","P00374","3L3R"
"DHFR","P00374","3N0H"
"DHFR","P00374","3NTZ"
"DHFR","P00374","3NU0"
"DHFR","P00374","3NXO"
"DHFR","P00374","3NXR"
"DHFR","P00374","3NXT"
"DHFR","P00374","3NXV"
"DHFR","P00374","3NXX"
"DHFR","P00374","3NXY"
"DHFR","P00374","3NZD"
"DHFR","P00374","3OAF"
"DHFR","P00374","3S3V"
"DHFR","P00374","3S7A"
