"gene","uni_id","pdb_id"
"EGFR","P00533","1YY9"
"EGFR","P00533","1Z9I"
"EGFR","P00533","2EB2"
"EGFR","P00533","2EB3"
"EGFR","P00533","2EXP"
"EGFR","P00533","2EXQ"
"EGFR","P00533","2GS2"
"EGFR","P00533","2GS6"
"EGFR","P00533","2GS7"
"EGFR","P00533","2ITN"
"EGFR","P00533","2ITO"
"EGFR","P00533","2ITP"
"EGFR","P00533","2ITQ"
"EGFR","P00533","2ITT"
"EGFR","P00533","2ITU"
"EGFR","P00533","2ITV"
"EGFR","P00533","2ITW"
"EGFR","P00533","2ITX"
"EGFR","P00533","2ITY"
"EGFR","P00533","2ITZ"
"EGFR","P00533","2J5E"
"EGFR","P00533","2J5F"
"EGFR","P00533","2J6M"
"EGFR","P00533","2JIT"
"EGFR","P00533","2JIU"
"EGFR","P00533","2JIV"
"EGFR","P00533","2KS1"
"EGFR","P00533","2RF9"
"EGFR","P00533","2RFD"
"EGFR","P00533","2RFE"
"EGFR","P00533","2RGP"
"EGFR","P00533","3B2U"
"EGFR","P00533","3B2V"
"EGFR","P00533","3BEL"
"EGFR","P00533","3BUO"
"EGFR","P00533","3C09"
"EGFR","P00533","3G5V"
"EGFR","P00533","3G5Y"
"EGFR","P00533","3GOP"
"EGFR","P00533","3GT8"
