"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"HCT116","0","0","0","5","9","6","7","0"
"HCT15","0","0","0","0","12","11","9","3"
"HDLM2","0","0","0","0","1","1","3","0"
"HDMYZ","0","0","0","1","0","2","7","1"
"HEC151","0","0","1","0","2","3","0","0"
"HEC1A","0","0","0","0","0","9","0","0"
"HEC1B","0","0","0","0","1","4","0","0"
"HEC251","0","0","0","0","0","23","0","0"
"HEC265","0","0","0","2","0","8","0","0"
"HEC59","0","0","0","0","3","25","0","0"
"HEC6","0","0","0","1","2","10","0","0"
"HEL","0","0","1","0","1","1","1","0"
"HEPG2","0","0","1","0","0","3","0","0"
"HGC27","0","0","1","0","1","3","3","1"
"HH","0","0","0","0","0","1","2","1"
"HMC18","0","0","0","0","0","2","0","0"
"HPAFII","0","0","0","0","0","0","1","0"
"HS229T","0","0","0","0","1","0","0","0"
"HS578T","0","0","0","0","0","3","0","0"
"HS683","0","0","0","0","1","6","0","0"
"HS695T","0","0","0","0","0","2","0","0"
"HS729","0","0","0","0","0","2","0","0"
"HS739T","0","0","0","0","1","0","0","0"
"HS746T","0","0","0","1","0","3","0","0"
"HS766T","0","0","0","0","0","2","0","0"
"HS840T","0","0","0","0","0","1","0","0"
"HS936T","0","0","0","2","1","3","0","0"
"HSC2","0","0","0","1","0","4","4","0"
"HSC3","0","0","2","0","2","5","3","0"
"HSC4","0","0","0","0","0","1","0","0"
"HT","0","0","2","3","1","5","5","3"
"HT1080","0","0","0","0","1","1","1","0"
"HT1376","0","0","0","0","1","0","2","1"
"HT144","0","0","1","0","2","1","2","0"
"HT29","0","0","1","2","0","3","6","0"
"HT55","0","0","0","0","1","5","4","3"
"HUCCT1","0","0","0","1","0","3","0","0"
"IALM","0","0","0","0","0","6","4","0"
"IGR37","0","0","0","0","0","2","0","0"
"IGR39","0","0","0","0","0","2","0","0"
"IGROV1","0","0","0","0","8","14","4","4"
"IM95","0","0","0","1","0","3","0","0"
"IMR32","0","0","0","0","0","2","0","0"
"IPC298","0","0","0","0","1","1","0","1"
"ISHIKAWAHERAKLIO02ER","0","0","1","0","0","8","0","0"
"ISTMES1","0","0","0","0","0","0","1","0"
"ISTMES2","0","0","0","0","0","1","0","0"
"J82","0","0","0","0","3","5","3","0"
"JHH4","0","0","0","0","0","1","0","0"
"JHH5","0","0","1","1","2","0","0","0"
"JHH7","0","0","0","1","0","0","0","0"
"JHOS4","0","0","0","0","0","2","0","0"
"JHUEM2","0","0","0","2","0","0","0","0"
"JM1","0","0","1","0","0","0","0","0"
"JMSU1","0","0","0","1","0","4","0","0"
"JVM2","0","0","0","0","1","0","1","0"
"JVM3","0","0","0","0","0","5","1","1"
"K029AX","0","0","0","1","0","3","0","0"
"K562","0","0","0","0","2","4","6","2"
"KALS1","0","0","2","1","1","4","8","0"
"KARPAS299","0","0","0","0","0","3","0","0"
"KASUMI1","0","0","3","1","0","0","2","5"
"KASUMI2","0","0","0","1","0","0","0","0"
"KCL22","0","0","1","1","1","2","0","0"
"KE37","0","0","0","1","1","3","3","0"
"KELLY","0","0","0","0","0","4","0","0"
"KG1","0","0","0","0","0","1","0","0"
"KLE","0","0","0","0","1","3","1","0"
"KM12","0","0","2","2","2","13","9","2"
"KMBC2","0","0","0","1","0","2","0","0"
"KMH2","0","0","0","0","1","3","6","1"
"KMM1","0","0","0","0","2","4","0","0"
"KMRC1","0","0","0","0","1","2","0","0"
"KMRC2","0","0","0","0","0","4","0","0"
"KMS11","0","0","0","1","0","0","0","0"
"KNS42","0","0","0","0","1","2","3","0"
"KNS60","0","0","0","0","0","8","0","0"
"KNS62","0","0","0","0","0","1","2","0"
"KP2","0","0","0","0","0","3","0","0"
"KP3","0","0","0","0","0","5","0","0"
"KP4","0","0","0","3","1","0","2","0"
"KPNRTBM1","0","0","0","0","1","1","0","0"
"KPNSI9S","0","0","0","1","0","1","0","0"
"KPNYN","0","0","0","0","0","0","2","0"
"KS1","0","0","2","0","0","0","1","0"
"KU1919","0","0","0","1","0","1","5","0"
"KU812","0","0","0","0","1","0","1","0"
"KURAMOCHI","0","0","0","0","0","1","3","0"
"KYSE140","0","0","0","0","0","2","5","1"
"KYSE150","0","0","0","3","1","3","5","0"
"KYSE180","0","0","1","2","0","0","1","0"
"KYSE270","0","0","0","0","0","1","1","0"
"KYSE30","0","0","0","0","0","2","0","0"
"KYSE410","0","0","0","0","1","6","5","1"
"KYSE450","0","0","0","1","1","7","2","0"
"KYSE510","0","0","1","2","3","5","8","0"
"KYSE520","0","0","0","0","0","2","1","0"
"KYSE70","0","0","0","0","1","11","7","0"
"L33","0","0","0","0","0","2","0","0"
"L363","0","0","1","0","5","3","2","0"
"L428","0","0","0","0","1","0","2","0"
"L540","0","0","1","0","2","2","5","0"
"LCLC103H","0","0","0","0","0","3","2","0"
"LCLC97TM1","0","0","0","1","0","2","0","0"
"LK2","0","0","1","0","0","0","2","1"
"LN229","0","0","0","0","0","2","0","0"
"LOUCY","0","0","0","0","1","0","0","0"
"LOUNH91","0","0","0","0","0","4","0","0"
"LOXIMVI","0","0","0","0","0","5","5","0"
"LS1034","0","0","0","1","1","4","4","0"
"LS123","0","0","0","0","1","0","2","0"
"LS411N","0","0","4","1","16","40","31","6"
"LS513","0","0","0","1","1","3","3","3"
"LU65","0","0","0","0","2","2","0","0"
"LU99","0","0","0","0","0","4","0","0"
"LXF289","0","0","0","0","0","3","2","0"
"MALME3M","0","0","0","0","1","0","0","0"
"MC116","0","0","0","0","1","3","3","0"
"MCF7","0","0","0","1","0","1","1","0"
"MDAMB231","0","0","0","0","0","0","5","1"
"MDAMB361","0","0","0","3","6","1","4","0"
"MDAMB415","0","0","0","0","0","4","0","2"
"MDAMB435S","0","0","0","0","0","3","0","0"
"MDAMB436","0","0","0","0","0","2","0","0"
"MDAMB453","0","0","0","0","0","6","5","2"
"MDAMB468","0","0","0","0","0","1","0","0"
"MEC1","0","0","0","0","1","0","0","0"
"MEG01","0","0","0","0","0","2","2","0"
"MELHO","0","0","0","1","2","2","1","0"
"MELJUSO","0","0","0","0","2","3","4","1"
"MEWO","0","0","0","0","0","9","0","0"
"MFE280","0","0","1","0","4","0","1","0"
"MFE296","0","0","1","0","1","2","3","0"
"MFE319","0","0","0","1","0","15","0","0"
"MG63","0","0","0","0","0","1","0","0"
"MHHES1","0","0","1","0","3","3","2","0"
"MHHNB11","0","0","0","0","1","2","1","0"
"MJ","0","0","0","1","0","2","0","0"
"MKN1","1","0","0","1","1","1","1","0"
"MKN7","0","0","0","0","0","0","2","0"
"MKN74","0","0","0","0","0","2","0","0"
"MOLP8","0","0","0","0","1","0","0","0"
"MOLT13","0","0","0","1","1","1","0","0"
"MOLT16","0","0","7","1","5","21","17","2"
"MONOMAC1","0","0","1","0","0","0","0","0"
"MONOMAC6","1","0","0","2","0","0","0","0"
"MORCPR","0","0","0","1","0","0","0","0"
"MPP89","0","0","0","0","0","0","1","0"
"MSTO211H","0","0","0","0","0","2","3","0"
"MV411","0","0","0","0","0","1","0","0"
"NALM6","1","0","1","0","0","2","2","0"
"NCIH1048","0","0","0","2","0","3","2","1"
"NCIH1092","0","0","0","0","1","9","7","0"
"NCIH1299","0","0","0","0","0","0","1","0"
"NCIH1339","0","0","0","0","0","4","0","0"
"NCIH1355","0","0","0","1","0","9","4","0"
"NCIH1373","0","0","0","0","0","5","0","0"
"NCIH1436","0","0","0","0","0","2","0","0"
"NCIH1437","0","0","0","3","1","3","0","0"
"NCIH1563","0","0","0","0","1","5","2","0"
"NCIH1568","0","0","0","0","0","3","0","0"
"NCIH1573","1","0","0","0","0","7","6","0"
"NCIH1581","0","0","0","1","1","2","2","2"
"NCIH1618","0","0","0","0","0","0","1","0"
"NCIH1623","0","0","0","0","0","0","5","2"
"NCIH1648","0","0","0","1","0","1","1","0"
"NCIH1650","0","0","0","0","0","6","2","1"
"NCIH1651","0","0","0","0","0","5","0","2"
"NCIH1666","0","0","0","0","0","4","5","0"
"NCIH1693","0","0","0","0","1","2","3","1"
"NCIH1694","0","0","0","0","1","1","0","1"
"NCIH1703","0","0","0","0","0","0","3","0"
"NCIH1755","0","0","0","0","1","1","2","0"
"NCIH1792","0","0","0","0","0","3","4","0"
"NCIH1793","0","0","0","0","0","11","5","2"
"NCIH1838","0","0","0","0","0","1","2","1"
"NCIH1869","0","0","0","1","0","2","0","0"
"NCIH1915","0","0","0","0","0","2","0","0"
"NCIH1975","0","0","0","0","2","9","2","0"
"NCIH2009","0","0","0","1","1","1","1","1"
"NCIH2023","0","0","0","0","0","6","0","0"
"NCIH2029","0","0","0","0","0","0","2","0"
"NCIH2030","0","0","0","0","0","3","0","0"
"NCIH2087","0","0","0","0","0","4","5","0"
"NCIH211","0","0","0","0","1","2","0","0"
"NCIH2122","0","0","1","3","0","3","3","1"
"NCIH2126","0","0","0","1","0","3","6","3"
"NCIH2141","0","0","0","0","1","0","2","0"
"NCIH2170","0","0","0","1","0","0","2","0"
"NCIH2172","0","0","0","2","0","5","0","0"
"NCIH2196","0","0","0","0","0","1","0","0"
"NCIH2227","0","0","0","0","0","0","3","3"
"NCIH2228","0","0","0","0","0","0","2","0"
"NCIH226","0","0","0","0","0","0","1","0"
"NCIH2286","0","0","0","0","0","6","0","0"
"NCIH2291","0","0","0","0","0","2","3","0"
"NCIH23","0","0","0","2","1","8","8","2"
"NCIH2342","0","0","1","1","1","2","4","2"
"NCIH2347","0","0","0","2","2","2","1","1"
"NCIH2405","0","0","0","1","1","0","1","0"
"NCIH2444","0","0","0","0","0","2","0","0"
"NCIH2452","0","0","0","0","0","0","1","0"
"NCIH3255","0","0","0","2","1","1","0","0"
"NCIH358","0","0","0","0","0","5","3","0"
"NCIH441","0","0","0","0","0","0","1","0"
"NCIH446","0","0","0","0","2","3","6","3"
"NCIH460","0","0","2","3","1","8","2","0"
"NCIH520","0","0","0","0","1","0","1","0"
"NCIH522","0","0","0","0","0","2","1","0"
"NCIH524","0","0","0","0","0","1","1","1"
"NCIH526","1","0","0","0","1","4","1","0"
"NCIH596","0","0","0","0","2","5","1","1"
"NCIH650","0","0","0","4","3","21","13","3"
"NCIH661","0","0","0","0","0","1","2","0"
"NCIH69","0","0","0","0","2","1","0","0"
"NCIH716","0","0","0","0","0","0","2","0"
"NCIH727","0","0","0","0","0","0","1","0"
"NCIH747","0","0","0","0","0","5","6","2"
"NCIH810","0","0","0","0","1","2","1","0"
"NCIH82","0","0","0","0","0","2","4","1"
"NCIH889","0","0","0","0","0","0","1","0"
"NCIN87","0","0","1","2","0","0","1","1"
"NCO2","0","0","0","1","0","1","0","0"
"NMCG1","0","0","0","0","0","1","2","0"
"NUGC3","0","0","0","0","1","2","3","1"
"OAW28","0","0","0","0","0","0","2","0"
"OAW42","0","0","0","1","0","1","0","0"
"OC316","0","0","0","0","0","4","0","0"
"OCIAML2","0","0","0","0","0","3","1","0"
"OCILY10","0","0","0","0","0","3","0","0"
"OCUM1","0","0","1","1","0","0","0","0"
"OE19","0","0","0","0","0","0","4","0"
"OE21","0","0","0","0","1","1","0","0"
"OE33","0","0","0","0","1","3","1","0"
"ONS76","0","0","0","1","0","3","1","0"
"OPM2","0","0","0","0","2","1","0","0"
"OSRC2","0","0","0","2","1","1","2","0"
"OV90","0","0","1","0","0","0","0","0"
"OVCAR4","0","0","0","0","0","1","1","0"
"OVCAR8","0","0","0","0","0","3","3","0"
"OVSAHO","0","0","0","0","0","1","0","0"
"OVTOKO","0","0","0","0","0","3","0","0"
"P12ICHIKAWA","0","0","0","0","2","4","1","0"
"P31FUJ","0","0","0","0","0","1","0","2"
"PANC0327","0","0","0","0","1","0","3","0"
"PANC0403","0","0","0","1","0","0","0","0"
"PANC0813","0","0","0","0","0","1","1","0"
"PATU8902","0","0","0","0","0","1","0","0"
"PC14","0","0","1","4","3","3","4","0"
"PC3","0","0","0","0","1","1","0","0"
"PF382","0","0","0","2","2","2","3","2"
"PK1","0","0","0","1","0","0","0","0"
"PK45H","0","0","0","0","0","1","0","0"
"PK59","0","0","0","0","0","6","0","0"
"PSN1","1","0","0","1","1","1","2","0"
"RCC10RGB","0","0","0","0","1","1","3","0"
"RCM1","0","0","0","0","1","1","2","0"
"RD","0","0","0","0","0","0","2","0"
"REH","0","0","0","1","0","12","5","2"
"RERFGC1B","0","0","0","0","0","1","0","0"
"RERFLCAI","0","0","0","1","0","0","0","0"
"RERFLCMS","0","0","0","0","2","1","1","0"
"RKO","0","0","2","7","4","11","18","1"
"RL","0","0","0","0","1","0","0","0"
"RL952","0","0","0","0","0","8","4","0"
"RMGI","0","0","0","0","0","0","1","0"
"RPMI7951","0","0","0","0","1","5","3","0"
"RPMI8226","0","0","0","0","0","2","1","1"
"RPMI8402","0","0","0","0","0","1","0","0"
"RS411","0","0","0","0","4","8","3","0"
"RT112","0","0","2","2","2","0","1","0"
"RT4","0","0","0","0","0","1","0","0"
"S117","0","0","0","0","0","1","1","0"
"SAOS2","0","0","0","0","0","2","0","0"
"SBC5","0","0","0","1","2","1","1","0"
"SCC15","0","0","0","0","0","0","1","0"
"SCC25","0","0","0","0","0","0","2","0"
"SCC4","0","0","0","0","0","0","1","0"
"SCC9","0","0","0","0","0","0","1","0"
"SCLC21H","0","0","0","0","1","1","0","1"
"SF126","0","0","0","0","0","2","1","0"
"SF295","0","0","0","0","0","1","2","1"
"SH10TC","0","0","0","0","1","0","0","0"
"SH4","1","0","0","2","1","2","3","0"
"SHP77","0","0","0","0","0","4","10","0"
"SIGM5","2","0","1","1","2","0","0","0"
"SIMA","0","0","0","0","0","0","1","0"
"SJRH30","0","0","0","0","0","0","1","0"
"SJSA1","0","0","0","0","0","4","1","0"
"SKBR3","0","0","0","0","0","2","0","0"
"SKCO1","0","0","0","0","1","1","1","0"
"SKHEP1","1","0","0","0","1","3","2","0"
"SKLMS1","0","0","0","1","0","0","1","0"
"SKLU1","0","0","0","1","0","0","2","0"
"SKM1","0","0","0","0","0","0","1","0"
"SKMEL1","0","0","0","0","1","3","3","0"
"SKMEL2","0","0","0","1","1","4","7","3"
"SKMEL24","0","0","0","0","1","3","4","0"
"SKMEL28","0","0","0","0","1","4","1","0"
"SKMEL3","0","0","0","0","1","3","0","0"
"SKMEL30","0","0","0","0","0","11","0","0"
"SKMEL5","0","0","0","0","1","2","0","0"
"SKMES1","0","0","0","0","0","0","2","0"
"SKNAS","0","0","0","0","4","2","0","0"
"SKNDZ","0","0","0","1","1","2","2","0"
"SKNFI","0","0","0","0","0","0","2","0"
"SKNSH","0","0","0","0","1","0","0","0"
"SKOV3","0","0","1","2","1","1","2","0"
"SKUT1","0","0","2","2","0","7","11","4"
"SNGM","0","0","1","0","1","8","4","0"
"SNU1","0","0","0","1","0","5","0","0"
"SNU182","0","0","0","0","0","3","0","0"
"SNU387","0","0","0","1","2","2","2","0"
"SNU423","0","0","1","0","0","4","0","0"
"SNU449","0","0","0","0","0","3","1","0"
"SNUC2A","0","0","0","0","0","9","0","0"
"SUDHL1","0","0","0","0","0","0","1","1"
"SUDHL4","1","0","0","0","0","0","0","0"
"SUDHL6","1","0","0","2","0","0","0","0"
"SUDHL8","0","0","0","0","0","1","0","0"
"SUPM2","0","0","0","0","0","1","0","0"
"SW1088","0","0","0","0","0","0","1","0"
"SW1116","0","0","0","0","0","0","1","0"
"SW1271","0","0","0","0","0","2","0","0"
"SW1353","0","0","0","0","0","2","0","0"
"SW1417","0","0","0","0","0","1","3","1"
"SW1463","0","0","0","0","0","0","2","0"
"SW1573","0","0","0","0","0","1","3","0"
"SW1710","0","0","0","1","0","0","1","0"
"SW1783","0","0","0","1","0","1","2","1"
"SW1990","0","0","0","0","0","0","0","1"
"SW48","0","0","3","7","6","33","17","1"
"SW480","0","0","0","0","0","1","0","0"
"SW620","0","0","0","0","0","0","4","0"
"SW780","0","0","0","0","0","3","1","0"
"SW837","0","0","0","1","0","1","1","0"
"SW900","0","0","0","0","0","4","4","0"
"SW948","0","0","0","0","0","1","3","1"
