"drug_name","Pubchem_id","drug_targets","number_of_drug_targets","Chemical_formula","molecular_weight","polarizability","pI","volume","h_bond_acceptor","h_bond_donor","drug_class"
"CI1040","6918454","MAP2K1, MAP2K2","2","C17H14ClF2IN2O2","478.66","39.33","3.89","308.32","3","2","Ser Thr Kinase"
"Cisplatin","84691","DNAdamage","1","Cl2H6N2Pt","300.051","1.99","","","1","1","Replication"
"CMK","NA","RPS6KA1, RPS6KA2, RPS6KA3, RPS6KA4, RPS6","6","C17H17ClN4O2","344.795","35.76","11.08","292.08","5","2","Ser Thr Kinase"
"Cyclopamine","442972","SMO","1","C27H41NO2","411.6199","50.64","","418.22","3","2","Angiogenesis"
"Cytarabine","6253","DNAsynthesis","1","C9H13N3O5","243.2166","22.21","6.64","201.26","7","4","Metabolism"
"Dasatinib","3062316","ABL1, ABL2, PDGFRB, FYN, ","4","C22H26ClN7O2S","488.006","51.58","7.83","416.47","8","3","Receptor Tyrosine kinase"
"DMOG","560326","P4HB","1","C6H9NO5","175.1394","15.83","","149.48","3","1","Transcription"
"Docetaxel","148124","Microtubules","1","C43H53NO14","807.8792","82.06","4.04","734.12","10","5","Mitosis"
"Doxorubicin","31703","DNAintercalating","1","C27H29NO11","543.5193","53.87","9.06","462.89","12","6","DNA repair"
"EHT1864","NA","RAC1","1","C25H27F3N2O4S","508.553","50.33","","433.79","6","0","Cell cycle, Cytoskelton"
"Elesclomol","300471","HSP70","1","C19H20N4O2S2","400.518","40.64","3.88","348.09","2","2","Stress pathway"
"Embelin","3218","XIAP","1","C17H26O4","294.3859","34.36","2.63","294.64","4","2","Apoptosis"
"EpothiloneB","448013","Microtubules","1","C27H41NO6S","507.683","56.42","8.37","489.34","6","2","Cytoskelton, Cell cycle"
"Erlotinib","176870","EGFR","1","C22H23N3O4","393.4357","43.48","10.36","358.74","7","1","Receptor Tyrosine kinase"
"Etoposide","36462","TOP2","1","C29H32O13","588.5566","58.77","2.99","496.33","12","3","DNA repair"
"FH535","3463933","CTNNB1","1","C13H10Cl2N2O4S","361.201","32.69","","267.94","4","1","Transcription"
"FTI277","3005532","FNTA","1","C22H29N3O3S2","447.614","49.75","9.65","408.39","4","4","Cell cycle"
