"gene","cell_line"
"ABL1","HS840T"
"ABL1","HS852T"
"ABL1","HS863T"
"ABL1","HS888T"
"ABL1","HS895T"
"ABL1","HS934T"
"ABL1","HS936T"
"ABL1","HS940T"
"ABL1","HS944T"
"ABL1","HSC2"
"ABL1","HSC4"
"ABL1","HT"
"ABL1","HT1080"
"ABL1","HT115"
"ABL1","HT1376"
"ABL1","HT144"
"ABL1","HT29"
"ABL1","HT55"
"ABL1","HTK"
"ABL1","HUCCT1"
"ABL1","HUG1N"
"ABL1","HUH28"
"ABL1","HUH6"
"ABL1","HUH7"
"ABL1","HUPT3"
"ABL1","HUPT4"
"ABL1","HUT102"
"ABL1","HUT78"
"ABL1","IALM"
"ABL1","IGR37"
"ABL1","IGR39"
"ABL1","IMR32"
"ABL1","IPC298"
"ABL1","ISHIKAWAHERAKLIO02ER"
"ABL1","ISTMES1"
"ABL1","ISTMES2"
"ABL1","J82"
"ABL1","JEKO1"
"ABL1","JHH1"
"ABL1","JHH2"
"ABL1","JHH4"
"ABL1","JHH5"
"ABL1","JHH6"
"ABL1","JHH7"
"ABL1","JHOC5"
"ABL1","JHOM1"
"ABL1","JHOM2B"
"ABL1","JHOS2"
"ABL1","JHOS4"
"ABL1","JHUEM1"
"ABL1","JHUEM7"
"ABL1","JIMT1"
"ABL1","JJN3"
"ABL1","JK1"
"ABL1","JL1"
"ABL1","JM1"
"ABL1","JVM2"
"ABL1","JVM3"
"ABL1","K029AX"
"ABL1","K562"
"ABL1","KALS1"
"ABL1","KARPAS299"
"ABL1","KARPAS620"
"ABL1","KASUMI1"
"ABL1","KASUMI2"
"ABL1","KASUMI6"
"ABL1","KATOIII"
"ABL1","KE37"
"ABL1","KE39"
"ABL1","KE97"
"ABL1","KELLY"
"ABL1","KG1"
"ABL1","KHM1B"
"ABL1","KIJK"
"ABL1","KLE"
"ABL1","KM12"
"ABL1","KMBC2"
"ABL1","KMH2"
"ABL1","KMM1"
"ABL1","KMRC1"
"ABL1","KMRC2"
"ABL1","KMRC20"
"ABL1","KMRC3"
"ABL1","KMS11"
"ABL1","KMS12BM"
"ABL1","KMS20"
"ABL1","KMS21BM"
"ABL1","KMS26"
"ABL1","KMS27"
"ABL1","KMS28BM"
"ABL1","KMS34"
"ABL1","KNS42"
"ABL1","KNS62"
"ABL1","KO52"
"ABL1","KOPN8"
"ABL1","KP1N"
"ABL1","KP1NL"
"ABL1","KP2"
"ABL1","KP3"
"ABL1","KP4"
"ABL1","KPL1"
"ABL1","KPNRTBM1"
"ABL1","KPNSI9S"
"ABL1","KPNYN"
"ABL1","KS1"
"ABL1","KU1919"
"ABL1","KU812"
"ABL1","KURAMOCHI"
"ABL1","KYM1"
"ABL1","KYSE140"
"ABL1","KYSE150"
"ABL1","KYSE180"
"ABL1","KYSE270"
"ABL1","KYSE30"
"ABL1","KYSE450"
"ABL1","KYSE510"
"ABL1","KYSE520"
"ABL1","KYSE70"
"ABL1","L1236"
"ABL1","L33"
"ABL1","L363"
"ABL1","L428"
"ABL1","LC1F"
"ABL1","LC1SQSF"
"ABL1","LCLC103H"
"ABL1","LCLC97TM1"
"ABL1","LI7"
"ABL1","LK2"
"ABL1","LMSU"
"ABL1","LN18"
"ABL1","LN229"
"ABL1","LNCAPCLONEFGC"
"ABL1","LOUCY"
"ABL1","LOUNH91"
"ABL1","LOVO"
"ABL1","LOXIMVI"
"ABL1","LP1"
"ABL1","LS1034"
"ABL1","LS123"
"ABL1","LS180"
"ABL1","LS411N"
"ABL1","LS513"
"ABL1","LU65"
"ABL1","LU99"
"ABL1","LUDLU1"
"ABL1","LXF289"
"ABL1","M059K"
"ABL1","M07E"
"ABL1","MALME3M"
"ABL1","MC116"
"ABL1","MCAS"
"ABL1","MCF7"
"ABL1","MDAMB134VI"
"ABL1","MDAMB231"
"ABL1","MDAMB361"
"ABL1","MDAMB415"
"ABL1","MDAMB435S"
"ABL1","MDAMB453"
"ABL1","MDAMB468"
"ABL1","MDAPCA2B"
"ABL1","MDST8"
"ABL1","ME1"
"ABL1","MEC1"
"ABL1","MEG01"
"ABL1","MELHO"
"ABL1","MELJUSO"
"ABL1","MEWO"
"ABL1","MFE280"
"ABL1","MFE296"
"ABL1","MFE319"
"ABL1","MG63"
"ABL1","MHHCALL2"
"ABL1","MHHCALL3"
"ABL1","MHHCALL4"
"ABL1","MHHES1"
"ABL1","MHHNB11"
"ABL1","MIAPACA2"
"ABL1","MINO"
"ABL1","MJ"
"ABL1","MKN1"
"ABL1","MKN7"
"ABL1","MKN74"
"ABL1","ML1"
"ABL1","MM1S"
"ABL1","MOGGCCM"
"ABL1","MOGGUVW"
"ABL1","MOLM13"
"ABL1","MOLM16"
"ABL1","MOLM6"
"ABL1","MOLP2"
"ABL1","MOLP8"
"ABL1","MOLT13"
"ABL1","MOLT16"
"ABL1","MONOMAC1"
"ABL1","MONOMAC6"
"ABL1","MORCPR"
"ABL1","MOTN1"
"ABL1","MPP89"
"ABL1","MSTO211H"
"ABL1","MUTZ3"
"ABL1","MUTZ5"
"ABL1","MV411"
"ABL1","NALM1"
"ABL1","NALM19"
"ABL1","NALM6"
"ABL1","NAMALWA"
"ABL1","NB1"
"ABL1","NB4"
"ABL1","NCCSTCK140"
"ABL1","NCIH1048"
"ABL1","NCIH1092"
"ABL1","NCIH1105"
"ABL1","NCIH1184"
"ABL1","NCIH1299"
"ABL1","NCIH1339"
"ABL1","NCIH1341"
"ABL1","NCIH1355"
"ABL1","NCIH1373"
"ABL1","NCIH1385"
"ABL1","NCIH1435"
"ABL1","NCIH1436"
"ABL1","NCIH1437"
"ABL1","NCIH146"
"ABL1","NCIH1563"
"ABL1","NCIH1568"
"ABL1","NCIH1573"
"ABL1","NCIH1581"
"ABL1","NCIH1618"
"ABL1","NCIH1623"
"ABL1","NCIH1648"
"ABL1","NCIH1650"
"ABL1","NCIH1651"
"ABL1","NCIH1666"
"ABL1","NCIH1693"
"ABL1","NCIH1694"
"ABL1","NCIH1703"
"ABL1","NCIH1734"
"ABL1","NCIH1755"
"ABL1","NCIH1781"
"ABL1","NCIH1792"
"ABL1","NCIH1793"
"ABL1","NCIH1836"
"ABL1","NCIH1838"
"ABL1","NCIH1869"
"ABL1","NCIH1876"
"ABL1","NCIH1930"
"ABL1","NCIH1944"
"ABL1","NCIH196"
"ABL1","NCIH1963"
"ABL1","NCIH1975"
"ABL1","NCIH2009"
"ABL1","NCIH2023"
"ABL1","NCIH2029"
"ABL1","NCIH2030"
"ABL1","NCIH2052"
"ABL1","NCIH2066"
"ABL1","NCIH2073"
"ABL1","NCIH2081"
"ABL1","NCIH2087"
"ABL1","NCIH209"
"ABL1","NCIH2106"
"ABL1","NCIH2122"
"ABL1","NCIH2126"
"ABL1","NCIH2141"
"ABL1","NCIH2170"
"ABL1","NCIH2171"
"ABL1","NCIH2172"
"ABL1","NCIH2196"
"ABL1","NCIH2227"
"ABL1","NCIH2228"
"ABL1","NCIH226"
"ABL1","NCIH2286"
"ABL1","NCIH2291"
"ABL1","NCIH23"
"ABL1","NCIH2342"
"ABL1","NCIH2347"
"ABL1","NCIH2405"
"ABL1","NCIH2444"
"ABL1","NCIH2452"
"ABL1","NCIH3255"
"ABL1","NCIH358"
"ABL1","NCIH441"
"ABL1","NCIH446"
"ABL1","NCIH460"
"ABL1","NCIH508"
"ABL1","NCIH510"
"ABL1","NCIH520"
"ABL1","NCIH522"
"ABL1","NCIH524"
"ABL1","NCIH526"
"ABL1","NCIH596"
"ABL1","NCIH647"
"ABL1","NCIH650"
"ABL1","NCIH660"
"ABL1","NCIH661"
"ABL1","NCIH684"
"ABL1","NCIH69"
"ABL1","NCIH716"
"ABL1","NCIH727"
"ABL1","NCIH747"
