"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"SW1573","0.015","39","36","35","30","29","28","23"
"SW1573XXX","0.01579805","20","18","18","17","17","17","15"
"SW1990","0.004","53","51","51","49","47","46","44"
"SW1990XXX","0.03416921","23","20","19","18","17","16","0"
"SW403XXX","0.00549298","24","22","21","17","17","17","15"
"SW48","0.001","90","88","86","84","83","80","77"
"SW48XXX","0.00359142","24","22","21","18","17","16","15"
"SW480XXX","0.01550377","24","23","22","18","18","18","15"
"SW579XXX","0.01549877","24","23","22","19","19","19","15"
"SW620","0.001","90","88","85","80","77","75","74"
"SW620XXX","0.00258354","24","23","22","19","17","17","17"
"SW626","0.002","40","38","38","35","33","32","31"
"SW684","0.001","130","129","129","127","126","125","123"
"SW756","0.013","38","37","33","30","29","28","25"
"SW780","0.001","66","64","64","61","58","57","56"
"SW780XXX","0.01078174","24","23","23","21","19","19","16"
"SW837","0.002","86","84","84","80","79","76","73"
"SW872","0.001","97","92","92","88","82","80","78"
"SW900","0.008","49","48","46","44","43","43","38"
"SW900XXX","0.0188492","23","22","22","21","21","20","18"
"SW948","0.060","52","50","49","48","47","43","37"
"SW962","0.001","116","115","114","107","102","97","93"
"T24","0.012","24","22","21","18","18","17","15"
"T24XXX","0.01821917","24","23","21","18","18","18","14"
"T3M10XXX","0.04096874","24","21","21","20","19","16","0"
"T47D","0.004","77","76","75","74","72","68","62"
"T47DXXX","0.06439659","23","22","22","22","20","20","0"
"T84","0.110","52","51","51","50","49","47","41"
"T84XXX","0.05736312","24","22","22","21","19","19","0"
"T98G","0.001","90","88","88","85","80","79","76"
"T98GXXX","0.00519857","24","23","23","23","21","21","20"
"TC71XXX","0.00424515","24","23","23","22","20","20","20"
"TCCSUP","0.005","91","88","87","80","79","77","72"
"TCCSUPXXX","0.00254261","24","23","23","21","21","21","21"
"TCYIK","0.782","7","6","6","4","4","3","3"
"TE1","0.001","130","127","127","121","118","116","111"
"TE1XXX","0.01780990","20","18","17","17","17","16","16"
"TE10","0.001","130","126","123","119","116","112","110"
"TE11","0.001","115","112","111","104","101","95","89"
"TE11XXX","0.00254261","17","15","15","14","13","11","11"
"TE12","0.004","116","113","111","104","99","94","79"
"TE15XXX","0.00552548","20","19","19","16","15","14","10"
"TE441T","0.039","35","34","34","31","30","28","25"
"TE5XXX","0.01217701","20","19","19","17","16","16","16"
"TE6","0.003","92","90","89","85","84","80","77"
"TE617TXXX","0.00305399","24","23","23","21","19","18","17"
"TE9XXX","0.00338949","24","23","23","23","21","19","19"
"TENXXX","0.03627276","24","23","22","21","21","19","0"
"TGBC11TKB","0.005","52","50","49","47","47","45","44"
"TGBC1TKB","0.002","106","103","102","96","92","89","89"
"TGBC24TKB","0.006","91","87","86","80","76","74","66"
"THP1","0.324","40","39","39","37","35","32","29"
"TI73","0.001","52","51","50","47","46","46","43"
"TK10","0.001","130","128","128","123","119","116","108"
"TOLEDOXXX","0.04572785","23","21","21","20","19","19","0"
"TOV112DXXX","0.00524993","24","23","23","21","20","19","19"
"TOV21GXXX","0.00394157","24","23","22","21","20","18","18"
"TT2609C02X","0.02356661","24","22","20","17","17","14","11"
"TUR","0.365","40","38","38","37","36","33","32"
"TYKNUXXX","0.00254261","24","23","23","22","19","19","19"
"U031","0.001","87","86","84","82","80","78","76"
"U118MG","0.015","91","85","84","81","78","75","68"
"U118MGXXX","0.00737692","24","23","23","21","19","19","19"
"U266","0.002","92","90","90","88","85","82","79"
"U2OS","0.002","90","89","89","83","81","78","77"
