"cell_line","tissue_type","No_of_drugs_tried","No_of_targets"
"COLO684","UTERUS","129","206"
"COLO699","LUNG","24","38"
"COLO741","GI TRACT","118","189"
"COLO741","SKIN","20","32"
"COLO792","SKIN","98","157"
"COLO800","SKIN","138","221"
"COLO824","BREAST","138","221"
"COLO829","SKIN","135","216"
"CORL105","LUNG","119","190"
"CORL105","LUNG","21","34"
"CORL23","LUNG","122","195"
"CORL23","LUNG","24","38"
"CORL279","LUNG","76","122"
"CORL88","LUNG","121","194"
"COV318","OVARY","24","38"
"COV504","OVARY","23","37"
"CP50MELB","SKIN","98","157"
"CP66MEL","SKIN","118","189"
"CP67MEL","SKIN","25","40"
"CPCN","LUNG","77","123"
"CROAP2","BLOOD","8","13"
"CTB1","BLOOD","129","206"
"CTV1","BLOOD","125","200"
"CW2","GI TRACT","138","221"
"Ca922","UPPER AERODIGESTIVE TRACT","98","157"
"CaR1","GI TRACT","98","157"
"CaSki","UTERUS","89","142"
"Calu1","LUNG","37","59"
"Calu3","LUNG","98","157"
"Calu6","LUNG","138","221"
"Caov3","OVARY","37","59"
"Caov4","OVARY","13","21"
"Capan2","PANCREAS","98","157"
"ChaGoK1","LUNG","97","155"
"D247MG","CENTRAL NERVOUS SYSTEM","114","182"
"D263MG","CENTRAL NERVOUS SYSTEM","138","221"
"D283MED","CENTRAL NERVOUS SYSTEM","138","221"
"D336MG","CENTRAL NERVOUS SYSTEM","105","168"
"D392MG","CENTRAL NERVOUS SYSTEM","113","181"
"D423MG","CENTRAL NERVOUS SYSTEM","61","98"
"D502MG","CENTRAL NERVOUS SYSTEM","138","221"
"D542MG","CENTRAL NERVOUS SYSTEM","93","149"
"D566MG","CENTRAL NERVOUS SYSTEM","61","98"
"DAOY","CENTRAL NERVOUS SYSTEM","24","38"
"DB","BLOOD","128","205"
"DBTRG05MG","CENTRAL NERVOUS SYSTEM","122","195"
"DBTRG05MG","CENTRAL NERVOUS SYSTEM","24","38"
"DEL","BLOOD","114","182"
"DEL","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"DETROIT562","UPPER AERODIGESTIVE TRACT","23","37"
"DG75","BLOOD","77","123"
"DJM1","SKIN","138","221"
"DKMG","CENTRAL NERVOUS SYSTEM","122","195"
"DKMG","CENTRAL NERVOUS SYSTEM","24","38"
"DMS114","LUNG","161","258"
"DMS114","LUNG","23","37"
"DMS153","LUNG","77","123"
"DMS273","LUNG","98","157"
"DMS53","LUNG","46","74"
"DMS79","LUNG","104","166"
"DOHH2","BLOOD","153","245"
"DOHH2","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"DOK","UPPER AERODIGESTIVE TRACT","98","157"
"DOV13","OVARY","24","38"
"DSH1","BLADDER","138","221"
"DU145","PROSTATE","122","195"
"DU145","PROSTATE","24","38"
"DU4475","BREAST","125","200"
"DV90","LUNG","57","91"
"DV90","LUNG","20","32"
"Daoy","CENTRAL NERVOUS SYSTEM","98","157"
"Daudi","BLOOD","77","123"
"DoTc24510","UTERUS","98","157"
"EB1","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"EB2","BLOOD","100","160"
"EB2","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"EB3","BLOOD","77","123"
"EBC1","LUNG","24","38"
"ECC10","GI TRACT","44","70"
"ECC12","GI TRACT","28","45"
"ECC4","GI TRACT","77","123"
"ECGI10","UPPER AERODIGESTIVE TRACT","113","181"
"EFE184","ENDOMETRIUM","61","98"
"EFE184","UTERUS","24","38"
"EFM19","BREAST","122","195"
"EFM19","BREAST","24","38"
"EFO21","OVARY","122","195"
"EFO21","OVARY","24","38"
"EFO27","OVARY","120","192"
"EFO27","OVARY","22","35"
"EGI1","GI TRACT","98","157"
"EHEB","BLOOD","68","109"
