"cell_line","tissue_type","No_of_drugs_tried","No_of_targets"
"MKN74","STOMACH","24","38"
"ML2","BLOOD","125","200"
"MLMA","BLOOD","138","221"
"MMACSF","SKIN","129","206"
"MN60","BLOOD","129","206"
"MOGGCCM","CENTRAL NERVOUS SYSTEM","23","37"
"MOLP8","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"MOLT13","BLOOD","60","96"
"MOLT16","BLOOD","153","245"
"MOLT16","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"MOLT4","BLOOD","129","206"
"MONOMAC1","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"MONOMAC6","BLOOD","77","123"
"MORCPR","LUNG","20","32"
"MPP89","LUNG","162","259"
"MPP89","PLEURA","24","38"
"MRKnu1","BREAST","77","123"
"MS1","LUNG","129","206"
"MSTO211H","LUNG","160","256"
"MSTO211H","PLEURA","23","37"
"MV411","BLOOD","128","205"
"MZ1PC","PANCREAS","138","221"
"MZ2MEL","SKIN","138","221"
"MZ7mel","SKIN","138","221"
"Mewo","SKIN","98","157"
"MoT","BLOOD","129","206"
"NALM6","BLOOD","76","122"
"NB1","CENTRAL NERVOUS SYSTEM","76","122"
"NB10","CENTRAL NERVOUS SYSTEM","138","221"
"NB12","CENTRAL NERVOUS SYSTEM","113","181"
"NB13","CENTRAL NERVOUS SYSTEM","138","221"
"NB14","CENTRAL NERVOUS SYSTEM","101","162"
"NB17","CENTRAL NERVOUS SYSTEM","101","162"
"NB5","CENTRAL NERVOUS SYSTEM","138","221"
"NB6","CENTRAL NERVOUS SYSTEM","138","221"
"NB69","CENTRAL NERVOUS SYSTEM","138","221"
"NB7","CENTRAL NERVOUS SYSTEM","101","162"
"NBsusSR","CENTRAL NERVOUS SYSTEM","52","83"
"NCCIT","OTHER","77","123"
"NCIH1048","LUNG","85","136"
"NCIH1048","LUNG","24","38"
"NCIH1092","LUNG","153","245"
"NCIH1092","LUNG","24","38"
"NCIH1155","LUNG","148","237"
"NCIH1155","LUNG","20","32"
"NCIH1184","LUNG","24","38"
"NCIH128","LUNG","40","64"
"NCIH1299","LUNG","134","214"
"NCIH1299","LUNG","21","34"
"NCIH1304","LUNG","128","205"
"NCIH1339","LUNG","24","38"
"NCIH1341","LUNG","24","38"
"NCIH1355","LUNG","161","258"
"NCIH1355","LUNG","23","37"
"NCIH1373","LUNG","24","38"
"NCIH1395","LUNG","138","221"
"NCIH1417","LUNG","77","123"
"NCIH1436","LUNG","76","122"
"NCIH1437","LUNG","98","157"
"NCIH1522","LUNG","76","122"
"NCIH1563","LUNG","121","194"
"NCIH1563","LUNG","23","37"
"NCIH1568","LUNG","23","37"
"NCIH1573","LUNG","108","173"
"NCIH1573","LUNG","23","37"
"NCIH1581","LUNG","161","258"
"NCIH1581","LUNG","23","37"
"NCIH1618","LUNG","37","59"
"NCIH1623","LUNG","98","157"
"NCIH1648","LUNG","157","251"
"NCIH1648","LUNG","23","37"
"NCIH1650","LUNG","158","253"
"NCIH1650","LUNG","23","37"
"NCIH1651","LUNG","121","194"
"NCIH1651","LUNG","23","37"
"NCIH1666","LUNG","82","131"
"NCIH1666","LUNG","24","38"
"NCIH1693","LUNG","122","195"
"NCIH1693","LUNG","24","38"
"NCIH1694","LUNG","101","162"
"NCIH1694","LUNG","24","38"
"NCIH1703","LUNG","101","162"
"NCIH1703","LUNG","20","32"
"NCIH1734","LUNG","37","59"
"NCIH1755","LUNG","98","157"
"NCIH1770","LUNG","129","206"
"NCIH1792","LUNG","121","194"
"NCIH1792","LUNG","23","37"
"NCIH1793","LUNG","120","192"
"NCIH1793","LUNG","22","35"
"NCIH1838","LUNG","135","216"
"NCIH1869","LUNG","24","38"
"NCIH187","LUNG","77","123"
"NCIH1882","LUNG","77","123"
"NCIH1915","LUNG","24","38"
"NCIH1944","LUNG","23","37"
"NCIH1963","LUNG","77","123"
"NCIH1975","LUNG","53","85"
"NCIH1975","LUNG","24","38"
"NCIH1993","LUNG","98","157"
"NCIH2009","LUNG","101","162"
"NCIH2009","LUNG","24","38"
"NCIH2023","LUNG","23","37"
"NCIH2029","LUNG","61","98"
"NCIH2030","LUNG","119","190"
"NCIH2030","LUNG","24","38"
"NCIH2052","LUNG","121","194"
"NCIH2052","PLEURA","23","37"
"NCIH2081","LUNG","77","123"
"NCIH2085","LUNG","23","37"
"NCIH2087","LUNG","121","194"
"NCIH2087","LUNG","23","37"
"NCIH209","LUNG","125","200"
"NCIH2107","LUNG","31","50"
"NCIH211","LUNG","24","38"
"NCIH2122","LUNG","122","195"
"NCIH2122","LUNG","24","38"
"NCIH2126","LUNG","135","216"
"NCIH2141","LUNG","77","123"
"NCIH2170","LUNG","122","195"
"NCIH2170","LUNG","24","38"
"NCIH2171","LUNG","77","123"
"NCIH2172","LUNG","23","37"
"NCIH2196","LUNG","77","123"
"NCIH2227","LUNG","52","83"
"NCIH2228","LUNG","122","195"
"NCIH2228","LUNG","24","38"
"NCIH226","LUNG","161","258"
"NCIH226","LUNG","23","37"
"NCIH2286","LUNG","24","38"
"NCIH2291","LUNG","61","98"
"NCIH23","LUNG","161","258"
"NCIH23","LUNG","23","37"
"NCIH2342","LUNG","94","150"
"NCIH2347","LUNG","98","157"
"NCIH2405","LUNG","98","157"
"NCIH2444","LUNG","24","38"
"NCIH2452","LUNG","122","195"
"NCIH2452","PLEURA","24","38"
"NCIH250","LUNG","1","2"
"NCIH28","LUNG","121","194"
"NCIH28","PLEURA","23","37"
"NCIH292","LUNG","98","157"
"NCIH322","LUNG","24","38"
"NCIH322M","LUNG","77","123"
"NCIH3255","LUNG","24","38"
"NCIH345","LUNG","77","123"
"NCIH358","LUNG","117","187"
"NCIH358","LUNG","23","37"
"NCIH378","LUNG","2","3"
"NCIH441","LUNG","121","194"
"NCIH441","LUNG","24","38"
"NCIH446","LUNG","129","206"
"NCIH460","LUNG","115","184"
"NCIH460","LUNG","21","34"
"NCIH510A","LUNG","104","166"
"NCIH520","LUNG","122","195"
"NCIH520","LUNG","24","38"
"NCIH522","LUNG","95","152"
"NCIH522","LUNG","24","38"
"NCIH524","LUNG","77","123"
"NCIH526","LUNG","129","206"
"NCIH596","LUNG","98","157"
"NCIH630","GI TRACT","74","118"
"NCIH64","LUNG","77","123"
"NCIH647","LUNG","23","37"
"NCIH650","LUNG","121","194"
"NCIH650","LUNG","23","37"
"NCIH661","LUNG","122","195"
"NCIH661","LUNG","24","38"
"NCIH69","LUNG","121","194"
"NCIH716","GI TRACT","77","123"
"NCIH719","LUNG","77","123"
"NCIH720","LUNG","121","194"
"NCIH727","LUNG","122","195"
"NCIH727","LUNG","24","38"
"NCIH747","GI TRACT","160","256"
"NCIH747","LARGE INTESTINE","23","37"
"NCIH748","LUNG","77","123"
"NCIH810","LUNG","122","195"
"NCIH810","LUNG","24","38"
"NCIH82","LUNG","129","206"
"NCIH838","LUNG","37","59"
"NCIH889","LUNG","76","122"
"NCIN87","GI TRACT","128","205"
"NCIN87","STOMACH","23","37"
"NCISNU1","GI TRACT","129","206"
"NCISNU16","GI TRACT","77","123"
"NCISNU5","GI TRACT","125","200"
"NCO2","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"NEC8","OTHER","136","218"
"NH12","CENTRAL NERVOUS SYSTEM","138","221"
"NIHOVCAR3","OVARY","24","38"
"NKM1","BLOOD","129","206"
"NMCG1","CENTRAL NERVOUS SYSTEM","138","221"
"NOMO1","BLOOD","129","206"
"NOS1","BONE","138","221"
"NTERASclD1","OTHER","138","221"
"NUGC3","GI TRACT","122","195"
"NUGC3","STOMACH","24","38"
"NUGC4","STOMACH","23","37"
"NY","BONE","98","157"
"OAW28","OVARY","98","157"
"OAW42","OVARY","97","155"
"OC314","OVARY","84","134"
"OC314","OVARY","23","37"
"OC315","OVARY","24","38"
"OC316","OVARY","24","38"
"OCIAML2","BLOOD","153","245"
"OCIAML2","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"OCIAML5","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"OCILY10","HAEMATOPOIETIC AND LYMPHOID TISSUE","21","34"
"OCUBM","BREAST","138","221"
"OCUM1","STOMACH","24","38"
"OE19","UPPER AERODIGESTIVE TRACT","98","157"
"OE21","OESOPHAGUS","24","38"
"OE33","OESOPHAGUS","122","195"
"OE33","UPPER AERODIGESTIVE TRACT","24","38"
"OMC1","UTERUS","134","214"
"ONCODG1","OVARY","24","38"
"ONS76","CENTRAL NERVOUS SYSTEM","161","258"
"ONS76","CENTRAL NERVOUS SYSTEM","23","37"
"OPM2","BLOOD","101","162"
"OPM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"OSRC2","KIDNEY","138","221"
"OV90","OVARY","24","38"
"OVCAR3","OVARY","98","157"
"OVCAR4","OVARY","161","258"
"OVCAR4","OVARY","24","38"
"OVCAR5","OVARY","97","155"
"OVCAR8","OVARY","122","195"
"OVCAR8","OVARY","24","38"
"OVMANA","OVARY","24","38"
"OVSAHO","OVARY","24","38"
"OVTOKO","OVARY","22","35"
"P12ICHIKAWA","BLOOD","113","181"
"P12ICHIKAWA","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"P30OHK","BLOOD","129","206"
"P31FUJ","BLOOD","101","162"
"P31FUJ","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"P3HR1","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"PA1","OVARY","98","157"
"PANC0203","PANCREAS","24","38"
"PANC0327","PANCREAS","122","195"
"PANC0327","PANCREAS","24","38"
"PANC0403","PANCREAS","24","38"
"PANC0813","PANCREAS","98","157"
"PANC1005","PANCREAS","122","195"
"PANC1005","PANCREAS","24","38"
"PATU8902","PANCREAS","20","32"
"PC14","LUNG","118","189"
"PC14","LUNG","20","32"
"PC3","OTHER","122","195"
"PC3","PROSTATE","24","38"
"PF382","BLOOD","77","123"
"PFEIFFER","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"PFSK1","CENTRAL NERVOUS SYSTEM","98","157"
"PK1","PANCREAS","24","38"
"PK45H","PANCREAS","24","38"
"PK59","PANCREAS","24","38"
"PL45","PANCREAS","24","38"
"PLCPRF5","LIVER","61","98"
"PLCPRF5","OTHER","24","38"
"PSN1","PANCREAS","158","253"
"PSN1","PANCREAS","20","32"
"QGP1","PANCREAS","20","32"
"QIMRWIL","BLOOD","129","206"
"RAJI","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"RCC10RGB","KIDNEY","138","221"
"RCM1","GI TRACT","98","157"
"RD","SOFT TISSUE","120","192"
"RD","SOFT TISSUE","22","35"
"REH","BLOOD","99","158"
"REH","HAEMATOPOIETIC AND LYMPHOID TISSUE","22","35"
"RERFGC1B","STOMACH","23","37"
"RERFLCAI","LUNG","24","38"
"RERFLCMS","LUNG","118","189"
"RERFLCMS","LUNG","20","32"
"RH1","SOFT TISSUE","138","221"
"RH18","SOFT TISSUE","61","98"
"RKN","OVARY","24","38"
"RKO","GI TRACT","162","259"
"RKO","LARGE INTESTINE","24","38"
"RL","BLOOD","77","123"
"RL952","ENDOMETRIUM","77","123"
"RL952","UTERUS","24","38"
"RMGI","OVARY","97","155"
"RO82W1","THYROID","98","157"
"RPMI2650","UPPER AERODIGESTIVE TRACT","98","157"
"RPMI6666","BLOOD","77","123"
"RPMI7951","SKIN","119","190"
"RPMI7951","SKIN","21","34"
"RPMI8226","BLOOD","128","205"
"RPMI8402","BLOOD","100","160"
"RPMI8402","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"RPMI8866","BLOOD","129","206"
"RS411","BLOOD","129","206"
"RT112","BLADDER","122","195"
"RT112","URINARY TRACT","24","38"
"RT4","BLADDER","70","112"
"RT4","URINARY TRACT","24","38"
"RVH421","SKIN","122","195"
"RVH421","SKIN","24","38"
"RXF393","KIDNEY","138","221"
"Raji","BLOOD","77","123"
"Ramos2G64C10","BLOOD","129","206"
"S117","SOFT TISSUE","98","157"
"SAOS2","BONE","24","38"
"SAS","UPPER AERODIGESTIVE TRACT","98","157"
"SBC1","LUNG","124","198"
"SBC5","LUNG","122","195"
"SBC5","LUNG","24","38"
"SCABER","URINARY TRACT","24","38"
"SCC15","UPPER AERODIGESTIVE TRACT","134","214"
"SCC25","UPPER AERODIGESTIVE TRACT","117","187"
"SCC25","UPPER AERODIGESTIVE TRACT","19","30"
"SCC3","BLOOD","77","123"
"SCC4","UPPER AERODIGESTIVE TRACT","98","157"
"SCC9","UPPER AERODIGESTIVE TRACT","119","190"
"SCC9","UPPER AERODIGESTIVE TRACT","21","34"
"SCH","GI TRACT","132","211"
"SCLC21H","LUNG","76","122"
"SF126","CENTRAL NERVOUS SYSTEM","162","259"
"SF126","CENTRAL NERVOUS SYSTEM","24","38"
"SF268","CENTRAL NERVOUS SYSTEM","138","221"
"SF295","CENTRAL NERVOUS SYSTEM","121","194"
"SF295","CENTRAL NERVOUS SYSTEM","24","38"
"SF539","CENTRAL NERVOUS SYSTEM","138","221"
"SF8657","SF8657","24","38"
"SH10TC","STOMACH","24","38"
"SH4","SKIN","138","221"
"SHP77","LUNG","162","259"
"SHP77","LUNG","24","38"
"SIGM5","BLOOD","101","162"
"SIGM5","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"SIMA","AUTONOMIC GANGLIA","110","176"
"SIMA","CENTRAL NERVOUS SYSTEM","24","38"
"SJRH30","SOFT TISSUE","111","178"
"SJRH30","SOFT TISSUE","23","37"
"SJSA1","BONE","160","256"
"SJSA1","BONE","22","35"
"SKBR3","BREAST","24","38"
"SKCO1","GI TRACT","60","96"
"SKCO1","LARGE INTESTINE","23","37"
"SKES1","BONE","24","38"
"SKGIIIa","UTERUS","97","155"
"SKHEP1","LIVER","122","195"
"SKHEP1","LIVER","24","38"
"SKLMS1","SOFT TISSUE","136","218"
"SKLMS1","SOFT TISSUE","19","30"
"SKLU1","LUNG","122","195"
"SKLU1","LUNG","24","38"
"SKM1","BLOOD","40","64"
"SKMEL1","SKIN","129","206"
"SKMEL2","SKIN","162","259"
"SKMEL2","SKIN","24","38"
"SKMEL24","SKIN","117","187"
"SKMEL24","SKIN","24","38"
"SKMEL28","SKIN","93","149"
"SKMEL3","SKIN","98","157"
"SKMEL30","SKIN","121","194"
"SKMEL30","SKIN","24","38"
"SKMEL31","SKIN","24","38"
"SKMEL5","SKIN","33","53"
"SKMEL5","SKIN","24","38"
"SKMES1","LUNG","117","187"
"SKMES1","LUNG","19","30"
"SKMG1","CENTRAL NERVOUS SYSTEM","9","14"
"SKMM2","BLOOD","101","162"
"SKMM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"SKNAS","AUTONOMIC GANGLIA","119","190"
"SKNAS","CENTRAL NERVOUS SYSTEM","21","34"
"SKNBE2","AUTONOMIC GANGLIA","24","38"
"SKNDZ","AUTONOMIC GANGLIA","160","256"
"SKNDZ","CENTRAL NERVOUS SYSTEM","22","35"
"SKNEP1","KIDNEY","129","206"
"SKNFI","AUTONOMIC GANGLIA","158","253"
"SKNFI","CENTRAL NERVOUS SYSTEM","21","34"
"SKNSH","AUTONOMIC GANGLIA","23","37"
"SKOV3","OVARY","119","190"
"SKOV3","OVARY","24","38"
"SKPNDW","BONE","129","206"
"SKUT1","SOFT TISSUE","129","206"
"SN12C","KIDNEY","98","157"
"SNB75","CENTRAL NERVOUS SYSTEM","133","213"
"SNGM","ENDOMETRIUM","61","98"
"SNGM","UTERUS","24","38"
"SNU1","STOMACH","23","37"
"SNU16","STOMACH","23","37"
"SNU182","LIVER","23","37"
"SNU387","LIVER","117","187"
"SNU387","LIVER","20","32"
"SNU398","LIVER","21","34"
"SNU423","LIVER","117","187"
"SNU423","LIVER","23","37"
"SNU449","LIVER","121","194"
"SNU449","LIVER","24","38"
"SNU475","LIVER","58","93"
"SNU475","OTHER","21","34"
"SNUC1","GI TRACT","77","123"
"SNUC2A","LARGE INTESTINE","23","37"
"SNUC2B","GI TRACT","146","234"
"SNUC2B","SNUC2B","23","37"
"SQ1","LUNG","20","32"
"SR","BLOOD","77","123"
"ST486","BLOOD","77","123"
"SU8686","PANCREAS","22","35"
"SUDHL1","BLOOD","77","123"
"SUDHL10","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"SUDHL4","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"SUDHL6","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"SUDHL8","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"SUIT2","PANCREAS","24","38"
"SUPM2","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"SUPT1","BLOOD","100","160"
"SUPT1","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"SW1088","CENTRAL NERVOUS SYSTEM","121","194"
"SW1088","CENTRAL NERVOUS SYSTEM","23","37"
"SW1116","GI TRACT","61","98"
"SW1271","LUNG","24","38"
"SW13","OTHER","94","150"
"SW1353","BONE","24","38"
"SW1417","GI TRACT","120","192"
"SW1417","LARGE INTESTINE","22","35"
"SW1463","GI TRACT","98","157"
"SW1573","LUNG","118","189"
"SW1573","LUNG","20","32"
"SW1710","BLADDER","98","157"
"SW1783","CENTRAL NERVOUS SYSTEM","98","157"
"SW1990","PANCREAS","121","194"
"SW1990","PANCREAS","23","37"
"SW403","LARGE INTESTINE","24","38"
"SW48","GI TRACT","122","195"
"SW48","LARGE INTESTINE","24","38"
"SW480","LARGE INTESTINE","24","38"
"SW579","THYROID","24","38"
"SW620","GI TRACT","122","195"
"SW620","LARGE INTESTINE","24","38"
"SW626","OVARY","97","155"
"SW684","SOFT TISSUE","138","221"
"SW756","UTERUS","96","154"
"SW780","BLADDER","122","195"
"SW780","URINARY TRACT","24","38"
"SW837","GI TRACT","94","150"
"SW872","SOFT TISSUE","138","221"
"SW900","LUNG","81","130"
"SW900","LUNG","23","37"
"SW948","GI TRACT","98","157"
"SW954","UTERUS","138","221"
"SW962","UTERUS","138","221"
"SW982","SOFT TISSUE","123","197"
"Saos2","BONE","98","157"
"SiHa","UTERUS","96","154"
"T24","BLADDER","122","195"
"T24","URINARY TRACT","24","38"
"T3M10","LUNG","24","38"
"T47D","BREAST","121","194"
"T47D","BREAST","23","37"
"T84","GI TRACT","122","195"
"T84","LARGE INTESTINE","24","38"
"T98G","CENTRAL NERVOUS SYSTEM","122","195"
"T98G","CENTRAL NERVOUS SYSTEM","24","38"
"TALL1","BLOOD","76","122"
"TC71","BONE","24","38"
"TCCSUP","BLADDER","122","195"
"TCCSUP","URINARY TRACT","24","38"
"TCYIK","UTERUS","7","11"
"TE1","OESOPHAGUS","158","253"
"TE1","UPPER AERODIGESTIVE TRACT","20","32"
"TE10","UPPER AERODIGESTIVE TRACT","138","221"
"TE11","OESOPHAGUS","140","224"
"TE11","UPPER AERODIGESTIVE TRACT","17","27"
"TE12","UPPER AERODIGESTIVE TRACT","129","206"
"TE15","OESOPHAGUS","97","155"
"TE15","UPPER AERODIGESTIVE TRACT","20","32"
"TE441T","SOFT TISSUE","77","123"
"TE5","OESOPHAGUS","158","253"
"TE5","UPPER AERODIGESTIVE TRACT","20","32"
"TE6","UPPER AERODIGESTIVE TRACT","138","221"
"TE617T","SOFT TISSUE","24","38"
"TE8","UPPER AERODIGESTIVE TRACT","138","221"
"TE9","OESOPHAGUS","162","259"
"TE9","UPPER AERODIGESTIVE TRACT","24","38"
"TEN","ENDOMETRIUM","24","38"
"TGBC11TKB","GI TRACT","52","83"
"TGBC1TKB","GI TRACT","138","221"
"TGBC24TKB","GI TRACT","123","197"
"TGW","CENTRAL NERVOUS SYSTEM","100","160"
"THP1","BLOOD","77","123"
"TI73","BONE","52","83"
"TK10","KIDNEY","138","221"
"TOLEDO","HAEMATOPOIETIC AND LYMPHOID TISSUE","23","37"
"TOV112D","OVARY","24","38"
"TOV21G","OVARY","24","38"
"TT","THYROID","37","59"
"TT2609C02","THYROID","24","38"
"TUR","BLOOD","77","123"
"TYKNU","OVARY","24","38"
"TYKnu","OVARY","97","155"
"U031","KIDNEY","95","152"
"U118MG","CENTRAL NERVOUS SYSTEM","122","195"
"U118MG","CENTRAL NERVOUS SYSTEM","24","38"
"U251","CENTRAL NERVOUS SYSTEM","98","157"
"U266","BLOOD","129","206"
"U2OS","BONE","122","195"
"U2OS","BONE","24","38"
"U698M","BLOOD","77","123"
"U87MG","CENTRAL NERVOUS SYSTEM","161","258"
"U87MG","CENTRAL NERVOUS SYSTEM","24","38"
"U937","HAEMATOPOIETIC AND LYMPHOID TISSUE","24","38"
"UACC257","SKIN","159","254"
"UACC257","SKIN","21","34"
"UACC62","SKIN","118","189"
"UACC62","SKIN","20","32"
"UACC812","BREAST","82","131"
"UACC812","BREAST","24","38"
"UACC893","BREAST","94","150"
"UMC11","LUNG","98","157"
"UMUC3","BLADDER","118","189"
"UMUC3","URINARY TRACT","24","38"
"VAESBJ","SOFT TISSUE","138","221"
"VMCUB1","BLADDER","89","142"
"VMRCLCD","LUNG","23","37"
"VMRCRCW","KIDNEY","24","38"
"VMRCRCZ","KIDNEY","122","195"
"VMRCRCZ","KIDNEY","24","38"
"WM115","SKIN","119","190"
"WM115","SKIN","21","34"
"WM1799","SKIN","24","38"
"WM2664","SKIN","21","34"
"WM793","SKIN","24","38"
"WM88","SKIN","24","38"
"WM983B","SKIN","24","38"
"WSUNHL","BLOOD","77","123"
"YAPC","PANCREAS","98","157"
"YH13","CENTRAL NERVOUS SYSTEM","61","98"
"YKG1","CENTRAL NERVOUS SYSTEM","121","194"
"YKG1","CENTRAL NERVOUS SYSTEM","23","37"
"YT","BLOOD","77","123"
"ZR751","BREAST","21","34"
"ZR7530","BREAST","84","134"
"ZR7530","BREAST","24","38"
"no10","CENTRAL NERVOUS SYSTEM","138","221"
"no11","CENTRAL NERVOUS SYSTEM","138","221"
