"cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"CHP212","9","0","8","11","8","43","30","10"
"CI1","0","1","0","3","3","17","0","0"
"CMK","4","0","3","8","8","26","25","3"
"CMK86","0","0","2","1","2","19","0","0"
"COLO201","0","0","2","3","1","17","0","0"
"COLO205","4","1","3","7","8","24","9","4"
"COLO320","0","0","0","1","5","18","0","0"
"COLO320HSR","1","0","1","6","15","25","68","13"
"COLO668","2","0","3","5","11","34","64","19"
"COLO677","0","0","0","1","3","20","0","0"
"COLO678","0","0","0","2","9","51","37","23"
"COLO679","3","0","7","8","12","43","35","14"
"COLO680N","0","0","3","8","8","20","45","14"
"COLO684","1","0","6","11","10","30","58","13"
"COLO699","0","0","0","2","3","19","0","0"
"COLO741","2","0","4","5","8","37","50","12"
"COLO792","0","0","1","6","9","20","44","18"
"COLO800","3","0","2","7","9","27","60","30"
"COLO824","0","0","2","4","4","32","67","29"
"COLO829","2","0","3","6","10","43","60","11"
"CORL105","0","0","5","5","15","45","39","10"
"CORL23","4","0","3","8","8","56","35","8"
"CORL279","0","0","3","8","5","15","39","6"
"CORL88","1","0","2","6","10","25","65","12"
"COV318","0","0","0","0","1","23","0","0"
"COV504","0","0","1","1","1","20","0","0"
"CP50MELB","1","0","6","8","3","21","42","17"
"CP66MEL","3","0","2","5","10","25","54","19"
"CP67MEL","0","0","0","4","4","6","11","0"
"CPCN","0","0","2","4","6","18","36","11"
"CROAP2","0","0","0","0","1","1","4","2"
"CTB1","4","0","7","6","18","40","50","4"
"CTV1","7","0","8","12","12","44","37","5"
"CW2","1","0","0","3","5","16","67","46"
"D247MG","2","0","2","4","5","39","50","12"
"D263MG","2","0","2","8","11","38","61","16"
"D283MED","2","0","1","4","11","37","62","21"
"D336MG","2","0","4","7","8","27","43","14"
"D392MG","1","0","3","5","9","30","53","12"
"D423MG","2","0","2","1","5","21","24","6"
"D502MG","1","0","4","4","5","40","67","17"
"D542MG","1","0","2","3","9","23","42","13"
"D566MG","4","0","3","2","2","24","21","5"
"Daoy","5","0","5","7","7","32","37","5"
"DAOY","0","0","1","2","2","19","0","0"
"Daudi","3","0","1","10","5","26","27","5"
"DB","6","0","3","3","14","38","51","13"
"DBTRG05MG","1","0","5","6","13","47","41","9"
"DEL","7","0","8","7","11","52","25","4"
"DETROIT562","0","0","1","1","1","20","0","0"
"DG75","0","0","1","6","2","19","26","23"
"DJM1","2","0","3","6","7","40","68","12"
"DKMG","0","0","4","6","8","47","40","17"
"DMS114","0","0","5","8","9","48","62","29"
"DMS153","0","0","1","3","2","20","43","8"
"DMS273","6","0","2","7","5","32","35","11"
"DMS53","0","0","0","2","2","9","27","6"
"DMS79","0","0","0","3","4","18","61","18"
"DOHH2","5","1","13","8","14","54","50","8"
"DOK","2","0","3","6","10","30","39","8"
"DoTc24510","4","0","3","3","10","29","43","6"
"DOV13","0","1","0","2","2","19","0","0"
"DSH1","2","0","5","9","12","41","54","15"
"DU145","2","0","7","5","15","52","33","8"
"DU4475","6","0","9","14","12","33","44","7"
"DV90","0","0","2","6","2","24","18","5"
"EB1","0","0","1","0","2","20","0","0"
"EB2","3","0","4","4","5","42","28","14"
"EB3","1","0","1","4","7","20","39","5"
"EBC1","0","0","1","5","1","17","0","0"
"ECC10","2","0","1","2","5","17","16","1"
"ECC12","2","0","0","2","3","9","10","2"
"ECC4","0","0","0","3","2","21","36","15"
"ECGI10","2","0","2","5","7","18","43","36"
"EFE184","0","0","0","2","6","35","14","4"
"EFM19","1","0","5","7","9","48","39","13"
"EFO21","0","0","5","4","10","48","44","11"
"EFO27","2","0","8","7","13","44","37","9"
"EGI1","1","0","5","3","7","26","46","10"
