"tissue_cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times","cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"PANCREAS_PANC0813","0.01","98","94","93","87","86","81","74","PANC0813","0","0","4","7","3","25","46","13"
"PANCREAS_PANC1005","0","NA","NA","NA","NA","NA","NA","NA","PANC1005","2","1","4","8","13","39","46","9"
"PANCREAS_PATU8902","0.0938633","20","19","19","17","15","0","0","PATU8902","0","0","0","1","0","19","0","0"
"PANCREAS_PK1","0.00877331","24","23","23","21","20","20","17","PK1","0","0","1","2","1","20","0","0"
"PANCREAS_PK45H","0.0158601","24","22","22","19","19","18","16","PK45H","0","0","1","2","2","19","0","0"
"PANCREAS_PK59","0.0181697","24","23","23","21","20","18","16","PK59","0","0","1","0","3","20","0","0"
"PANCREAS_PL45","0.00379505","24","23","23","21","21","20","18","PL45","0","1","0","2","3","18","0","0"
"PANCREAS_PSN1","0","NA","NA","NA","NA","NA","NA","NA","PSN1","12","0","6","9","15","49","55","12"
"PANCREAS_QGP1","0.00254261","20","19","19","18","16","15","15","QGP1","0","1","0","3","1","15","0","0"
"PANCREAS_SU8686","0.00254261","22","21","21","21","20","19","18","SU8686","0","1","0","1","2","18","0","0"
"PANCREAS_SUIT2","0.0554782","24","21","20","17","16","12","0","SUIT2","0","0","0","2","4","18","0","0"
"PANCREAS_SW1990","0","NA","NA","NA","NA","NA","NA","NA","SW1990","2","0","1","12","5","43","43","15"
"PANCREAS_YAPC","0.01","98","97","96","92","89","86","83","YAPC","0","0","1","5","4","16","50","22"
"PLEURA_ISTMES1","0.0575582","24","21","21","17","15","13","0","ISTMES1","0","0","0","2","2","20","0","0"
"PLEURA_ISTMES2","0.0059892","24","23","23","18","18","17","17","ISTMES2","0","0","1","3","3","17","0","0"
"PLEURA_MPP89","0.0558553","24","22","21","19","18","18","0","MPP89","0","0","0","2","3","19","0","0"
"PLEURA_MSTO211H","0.0134782","23","22","22","19","19","17","15","MSTO211H","0","0","1","1","2","19","0","0"
"PLEURA_NCIH2052","0.0440368","23","21","20","18","18","17","0","NCIH2052","0","0","0","2","2","19","0","0"
"PLEURA_NCIH2452","0.00710695","24","23","23","21","19","18","18","NCIH2452","0","0","1","0","4","19","0","0"
"PLEURA_NCIH28","0.0396","23","21","20","19","16","14","0","NCIH28","0","0","0","2","1","20","0","0"
"PROSTATE_22RV1","0","NA","NA","NA","NA","NA","NA","NA","22RV1","2","0","7","6","6","44","45","12"
"PROSTATE_DU145","0","NA","NA","NA","NA","NA","NA","NA","DU145","2","0","7","5","15","52","33","8"
"PROSTATE_PC3","0.0179745","24","23","22","20","20","19","18","PC3","0","0","1","1","2","20","0","0"
"SALIVARY:GLAND_A253","0.0035669","23","22","22","20","20","19","19","A253","0","1","0","2","1","19","0","0"
"SKIN_A101D","0","NA","NA","NA","NA","NA","NA","NA","A101D","4","0","10","13","14","46","41","10"
"SKIN_A2058","0","NA","NA","NA","NA","NA","NA","NA","A2058","6","1","2","10","10","44","37","8"
"SKIN_A375","0","NA","NA","NA","NA","NA","NA","NA","A375","8","0","6","7","17","38","36","7"
"SKIN_A431","0","NA","NA","NA","NA","NA","NA","NA","A431","4","0","2","7","6","35","37","7"
"SKIN_A4Fuk","0","NA","NA","NA","NA","NA","NA","NA","A4Fuk","8","0","8","13","10","36","43","11"
"SKIN_C32","0","NA","NA","NA","NA","NA","NA","NA","C32","2","0","3","8","10","45","37","17"
"SKIN_CHL1","0","NA","NA","NA","NA","NA","NA","NA","CHL1","5","0","11","4","15","47","32","8"
"SKIN_COLO679","0","NA","NA","NA","NA","NA","NA","NA","COLO679","3","0","7","8","12","43","35","14"
"SKIN_COLO741","0.0200558","20","19","19","16","16","15","12","COLO741","0","0","1","1","2","16","0","0"
"SKIN_COLO792","0.02","98","94","91","82","81","77","71","COLO792","0","0","1","6","9","20","44","18"
"SKIN_COLO800","0","NA","NA","NA","NA","NA","NA","NA","COLO800","3","0","2","7","9","27","60","30"
"SKIN_COLO829","0","NA","NA","NA","NA","NA","NA","NA","COLO829","2","0","3","6","10","43","60","11"
"SKIN_CP50MELB","0","NA","NA","NA","NA","NA","NA","NA","CP50MELB","1","0","6","8","3","21","42","17"
"SKIN_CP66MEL","0","NA","NA","NA","NA","NA","NA","NA","CP66MEL","3","0","2","5","10","25","54","19"
"SKIN_CP67MEL","0.04","25","22","21","15","15","14","13","CP67MEL","0","0","0","4","4","6","11","0"
"SKIN_DJM1","0","NA","NA","NA","NA","NA","NA","NA","DJM1","2","0","3","6","7","40","68","12"
"SKIN_G361","0","NA","NA","NA","NA","NA","NA","NA","G361","3","0","6","7","16","40","19","11"
"SKIN_GAK","0.01","132","129","128","115","112","107","99","GAK","0","0","3","7","12","22","66","22"
"SKIN_HMCB","0.00836273","24","23","22","21","18","18","16","HMCB","0","0","1","2","3","18","0","0"
"SKIN_HMVII","0","NA","NA","NA","NA","NA","NA","NA","HMVII","5","0","4","8","6","28","30","8"
"SKIN_HS294T","0.00757048","24","23","23","22","20","19","19","HS294T","0","0","1","1","2","20","0","0"
"SKIN_HS695T","0.0370471","24","21","21","18","18","18","0","HS695T","0","0","0","3","2","19","0","0"
"SKIN_HS852T","0.025222","24","21","21","21","19","18","15","HS852T","0","0","0","3","0","21","0","0"
"SKIN_HS895T","0.072238","23","21","21","16","15","11","0","HS895T","0","0","0","1","3","19","0","0"
"SKIN_HS936T","0.00254261","24","23","23","20","20","20","19","HS936T","0","1","0","3","1","19","0","0"
"SKIN_HS939T","0.0300742","23","19","19","18","18","16","11","HS939T","0","0","0","4","1","18","0","0"
"SKIN_HS944T","0.00384717","24","23","23","21","17","16","16","HS944T","0","1","0","2","5","16","0","0"
"SKIN_HT144","0","NA","NA","NA","NA","NA","NA","NA","HT144","9","0","13","8","20","50","52","10"
"SKIN_IGR1","0","NA","NA","NA","NA","NA","NA","NA","IGR1","3","0","5","3","7","31","38","11"
"SKIN_IGR37","0.00761656","24","22","22","20","18","17","15","IGR37","0","0","2","1","3","18","0","0"
"SKIN_IGR39","0.0185895","24","22","22","21","20","18","17","IGR39","0","0","1","1","2","20","0","0"
"SKIN_IPC298","0.00627071","61","58","57","50","48","46","44","IPC298","0","0","4","5","6","29","10","7"
"SKIN_ISTMEL1","0","NA","NA","NA","NA","NA","NA","NA","ISTMEL1","9","0","5","6","12","44","51","11"
"SKIN_K029AX","0.00254261","24","23","23","22","20","20","18","K029AX","0","1","0","3","2","18","0","0"
"SKIN_LB2518MEL","0","NA","NA","NA","NA","NA","NA","NA","LB2518MEL","2","0","4","10","16","27","63","16"
"SKIN_LB373MELD","0","NA","NA","NA","NA","NA","NA","NA","LB373MELD","1","0","3","6","12","23","58","15"
"SKIN_LOXIMVI","0","NA","NA","NA","NA","NA","NA","NA","LOXIMVI","5","1","3","8","22","51","56","13"
"SKIN_M14","0","NA","NA","NA","NA","NA","NA","NA","M14","3","0","4","8","9","19","40","15"
"SKIN_MALME3M","0.00415483","24","23","22","19","19","17","17","MALME3M","0","1","1","3","2","17","0","0"
"SKIN_MDAMB435S","0.00319568","24","23","23","20","20","19","17","MDAMB435S","0","1","0","3","3","17","0","0"
"SKIN_MELHO","0","NA","NA","NA","NA","NA","NA","NA","MELHO","3","0","9","11","10","52","25","12"
"SKIN_MELJUSO","0","NA","NA","NA","NA","NA","NA","NA","MELJUSO","4","0","6","8","8","21","27","7"
"SKIN_Mewo","0.01","98","93","92","88","85","79","74","Mewo","0","0","5","3","7","24","52","7"
"SKIN_MEWO","0.0232427","24","23","22","22","22","21","21","MEWO","0","0","1","1","0","22","0","0"
"SKIN_MMACSF","0","NA","NA","NA","NA","NA","NA","NA","MMACSF","1","0","4","13","4","34","57","16"
"SKIN_MZ2MEL","0","NA","NA","NA","NA","NA","NA","NA","MZ2MEL","3","0","3","14","12","38","56","12"
"SKIN_MZ7mel","0","NA","NA","NA","NA","NA","NA","NA","MZ7mel","2","0","6","12","14","30","59","15"
"SKIN_RPMI7951","0","NA","NA","NA","NA","NA","NA","NA","RPMI7951","6","0","5","4","10","51","36","7"
"SKIN_RVH421","0","NA","NA","NA","NA","NA","NA","NA","RVH421","3","0","6","7","10","47","39","10"
"SKIN_SF8657","0.0270475","24","23","21","20","20","20","16","SF8657","0","0","0","1","3","20","0","0"
"SKIN_SH4","0","NA","NA","NA","NA","NA","NA","NA","SH4","5","0","6","11","16","33","52","15"
"SKIN_SKMEL1","0.04","129","125","125","117","109","104","95","SKMEL1","0","0","0","4","6","32","60","27"
"SKIN_SKMEL2","0","NA","NA","NA","NA","NA","NA","NA","SKMEL2","2","0","2","11","14","54","48","31"
"SKIN_SKMEL24","0.03","117","112","109","99","91","86","73","SKMEL24","0","0","0","7","11","45","48","6"
"SKIN_SKMEL28","0","NA","NA","NA","NA","NA","NA","NA","SKMEL28","2","0","2","4","7","23","38","17"
"SKIN_SKMEL3","0","NA","NA","NA","NA","NA","NA","NA","SKMEL3","1","0","3","3","8","41","32","10"
"SKIN_SKMEL30","0","NA","NA","NA","NA","NA","NA","NA","SKMEL30","4","0","4","5","8","55","37","8"
"SKIN_SKMEL31","0.0265013","24","22","22","22","22","21","16","SKMEL31","0","0","0","2","0","22","0","0"
"SKIN_SKMEL5","0.0134392","33","31","31","27","24","24","24","SKMEL5","0","0","1","2","6","17","7","0"
"SKIN_UACC257","0","NA","NA","NA","NA","NA","NA","NA","UACC257","1","0","3","13","12","54","64","12"
"SKIN_UACC62","0","NA","NA","NA","NA","NA","NA","NA","UACC62","1","0","4","8","9","35","42","19"
"SKIN_WM115","0.01","119","116","113","106","102","96","91","WM115","0","0","3","8","8","42","45","13"
"SKIN_WM1799","0.0205495","24","22","21","18","18","15","15","WM1799","0","0","1","2","3","18","0","0"
"SKIN_WM2664","0.0105648","21","18","17","15","15","15","13","WM2664","0","0","3","1","2","15","0","0"
"SKIN_WM793","0.00988329","24","23","23","18","18","17","16","WM793","0","0","1","3","2","18","0","0"
"SKIN_WM88","0.00339465","24","22","22","20","19","16","15","WM88","0","1","1","3","3","16","0","0"
"SKIN_WM983B","0.00641442","24","22","22","18","18","13","12","WM983B","0","0","2","4","5","13","0","0"
"SOFT:TISSUE_A204","0","NA","NA","NA","NA","NA","NA","NA","A204","3","0","13","7","14","43","35","7"
"SOFT:TISSUE_A673","0","NA","NA","NA","NA","NA","NA","NA","A673","3","0","4","3","4","25","50","9"
"SOFT:TISSUE_G401","0.00548632","24","22","22","20","19","19","18","G401","0","0","2","2","1","19","0","0"
"SOFT:TISSUE_G402","0","NA","NA","NA","NA","NA","NA","NA","G402","3","1","5","12","6","52","34","6"
"SOFT:TISSUE_GCT","0","NA","NA","NA","NA","NA","NA","NA","GCT","2","1","5","5","8","56","35","10"
"SOFT:TISSUE_HS729","0.0164395","21","20","19","17","17","17","17","HS729","0","0","1","2","1","17","0","0"
"SOFT:TISSUE_HT1080","0","NA","NA","NA","NA","NA","NA","NA","HT1080","6","0","7","8","13","47","30","9"
"SOFT:TISSUE_KYM1","0.00464489","20","18","18","16","16","16","14","KYM1","0","1","1","2","1","15","0","0"
"SOFT:TISSUE_MESSA","0","NA","NA","NA","NA","NA","NA","NA","MESSA","5","0","1","6","5","32","14","6"
"SOFT:TISSUE_MFHino","0","NA","NA","NA","NA","NA","NA","NA","MFHino","7","0","3","10","12","24","38","15"
"SOFT:TISSUE_RD","0","NA","NA","NA","NA","NA","NA","NA","RD","3","0","4","5","10","43","48","7"
"SOFT:TISSUE_RH1","0","NA","NA","NA","NA","NA","NA","NA","RH1","5","0","3","7","13","27","55","28"
"SOFT:TISSUE_RH18","0.04","61","58","58","56","53","48","42","RH18","0","0","0","3","2","16","32","8"
"SOFT:TISSUE_S117","0","NA","NA","NA","NA","NA","NA","NA","S117","1","0","3","6","6","25","41","16"
"SOFT:TISSUE_SJRH30","0.00764951","111","108","106","97","92","88","84","SJRH30","0","0","3","7","11","43","37","10"
"SOFT:TISSUE_SKLMS1","0","NA","NA","NA","NA","NA","NA","NA","SKLMS1","8","0","2","6","14","48","41","17"
"SOFT:TISSUE_SKUT1","0","NA","NA","NA","NA","NA","NA","NA","SKUT1","7","0","9","9","8","36","44","16"
"SOFT:TISSUE_SW684","0","NA","NA","NA","NA","NA","NA","NA","SW684","1","0","2","3","5","27","74","26"
"SOFT:TISSUE_SW872","0","NA","NA","NA","NA","NA","NA","NA","SW872","5","0","5","10","10","38","51","19"
"SOFT:TISSUE_SW982","0","NA","NA","NA","NA","NA","NA","NA","SW982","5","0","7","14","15","37","36","9"
"SOFT:TISSUE_TE441T","0","NA","NA","NA","NA","NA","NA","NA","TE441T","1","0","0","6","5","18","35","12"
"SOFT:TISSUE_TE617T","0.003054","24","23","23","21","19","18","17","TE617T","0","1","1","3","2","17","0","0"
"SOFT:TISSUE_VAESBJ","0","NA","NA","NA","NA","NA","NA","NA","VAESBJ","8","0","7","10","13","41","49","10"
"STOMACH_AZ521","0.00332498","24","23","23","21","21","19","17","AZ521","0","1","0","2","4","17","0","0"
"STOMACH_BGC823","0.0286888","24","22","22","22","20","19","16","BGC823","0","0","0","2","0","22","0","0"
"STOMACH_FU97","0.0139909","21","19","18","18","17","17","13","FU97","0","0","2","1","1","17","0","0"
"STOMACH_GCIY","0.0392138","23","21","21","19","18","16","0","GCIY","0","0","0","2","0","21","0","0"
"STOMACH_HGC27","0.0389137","24","23","23","21","19","16","0","HGC27","0","0","0","1","2","21","0","0"
"STOMACH_HS746T","0.0127592","23","22","21","19","19","18","17","HS746T","0","0","1","2","1","19","0","0"
"STOMACH_IM95","0.0173348","23","20","20","19","18","16","16","IM95","0","0","1","2","1","19","0","0"
"STOMACH_KE39","0.00670509","23","22","22","20","20","20","19","KE39","0","0","1","1","1","20","0","0"
"STOMACH_MKN45","0.0178598","24","22","20","16","15","14","13","MKN45","0","0","1","4","3","16","0","0"
"STOMACH_MKN7","0.139955","24","22","21","20","19","0","0","MKN7","0","0","0","0","3","21","0","0"
"STOMACH_MKN74","0.0224403","24","23","23","21","20","19","16","MKN74","0","0","1","0","2","21","0","0"
"STOMACH_NCIN87","0.00628035","23","21","21","18","18","17","17","NCIN87","0","0","2","2","2","17","0","0"
"STOMACH_NUGC3","0.0511576","24","20","20","19","16","13","0","NUGC3","0","0","0","4","0","20","0","0"
"STOMACH_NUGC4","0.00330415","23","21","20","18","17","15","13","NUGC4","0","1","3","2","3","14","0","0"
"STOMACH_OCUM1","0.00833682","24","21","21","18","17","17","17","OCUM1","0","0","3","2","2","17","0","0"
"STOMACH_RERFGC1B","0.0229757","23","21","21","20","20","16","15","RERFGC1B","0","0","1","1","1","20","0","0"
"STOMACH_SH10TC","0.0195941","24","23","23","21","21","20","19","SH10TC","0","0","1","1","1","21","0","0"
"STOMACH_SNU1","0.0059226","23","22","22","19","18","18","18","SNU1","0","0","1","3","1","18","0","0"
"STOMACH_SNU16","0.00254261","23","22","22","18","18","17","16","SNU16","0","1","1","3","2","16","0","0"
"THYROID_8305C","0","NA","NA","NA","NA","NA","NA","NA","8305C","4","0","3","6","12","52","34","11"
"THYROID_8505C","0","NA","NA","NA","NA","NA","NA","NA","8505C","7","0","4","6","10","52","34","8"
"THYROID_BCPAP","0","NA","NA","NA","NA","NA","NA","NA","BCPAP","8","0","1","7","12","49","38","7"
"THYROID_BHT101","0","NA","NA","NA","NA","NA","NA","NA","BHT101","4","0","3","7","13","30","33","8"
"THYROID_CAL62","0","NA","NA","NA","NA","NA","NA","NA","CAL62","4","0","2","9","5","25","40","13"
"THYROID_CGTHW1","0","NA","NA","NA","NA","NA","NA","NA","CGTHW1","8","0","8","13","10","34","55","10"
"THYROID_FTC133","0","NA","NA","NA","NA","NA","NA","NA","FTC133","2","0","1","6","7","29","40","13"
"THYROID_HTCC3","0","NA","NA","NA","NA","NA","NA","NA","HTCC3","2","0","3","9","7","30","42","5"
"THYROID_K5","0","NA","NA","NA","NA","NA","NA","NA","K5","5","0","4","7","14","39","47","13"
"THYROID_RO82W1","0.01","98","95","94","93","89","86","79","RO82W1","0","0","3","2","5","32","43","13"
"THYROID_SW579","0.0154988","24","23","22","19","19","19","15","SW579","0","0","1","2","2","19","0","0"
"THYROID_TT","0.01","37","36","36","35","35","35","33","TT","0","0","1","0","1","10","19","6"
"THYROID_TT2609C02","0.0235666","24","22","20","17","17","14","11","TT2609C02","0","0","1","3","3","17","0","0"
"UPPER:AERODIGESTIVE:TRACT_BB30HNC","0","NA","NA","NA","NA","NA","NA","NA","BB30HNC","7","0","5","13","13","45","46","9"
"UPPER:AERODIGESTIVE:TRACT_BB49HNC","0","NA","NA","NA","NA","NA","NA","NA","BB49HNC","2","0","3","4","12","40","60","17"
"UPPER:AERODIGESTIVE:TRACT_BHY","0","NA","NA","NA","NA","NA","NA","NA","BHY","5","0","4","4","7","34","35","9"
"UPPER:AERODIGESTIVE:TRACT_Ca922","0","NA","NA","NA","NA","NA","NA","NA","Ca922","6","0","3","6","8","30","36","9"
"UPPER:AERODIGESTIVE:TRACT_CAL27","0","NA","NA","NA","NA","NA","NA","NA","CAL27","5","1","0","11","14","39","40","10"
"UPPER:AERODIGESTIVE:TRACT_CAL33","0","NA","NA","NA","NA","NA","NA","NA","CAL33","3","0","4","4","7","39","29","12"
"UPPER:AERODIGESTIVE:TRACT_COLO680N","0.01","98","95","93","85","81","77","75","COLO680N","0","0","3","8","8","20","45","14"
"UPPER:AERODIGESTIVE:TRACT_DETROIT562","0.0133003","23","22","22","20","20","20","16","DETROIT562","0","0","1","1","1","20","0","0"
"UPPER:AERODIGESTIVE:TRACT_DOK","0","NA","NA","NA","NA","NA","NA","NA","DOK","2","0","3","6","10","30","39","8"
"UPPER:AERODIGESTIVE:TRACT_ECGI10","0","NA","NA","NA","NA","NA","NA","NA","ECGI10","2","0","2","5","7","18","43","36"
"UPPER:AERODIGESTIVE:TRACT_FADU","0","NA","NA","NA","NA","NA","NA","NA","FADU","2","0","5","7","9","49","35","14"
"UPPER:AERODIGESTIVE:TRACT_HCE4","0","NA","NA","NA","NA","NA","NA","NA","HCE4","5","0","6","5","12","35","49","11"
"UPPER:AERODIGESTIVE:TRACT_HCET","0","NA","NA","NA","NA","NA","NA","NA","HCET","4","0","4","6","13","40","55","16"
"UPPER:AERODIGESTIVE:TRACT_HN","0","NA","NA","NA","NA","NA","NA","NA","HN","3","0","3","4","9","26","44","9"
"UPPER:AERODIGESTIVE:TRACT_HO1N1","0","NA","NA","NA","NA","NA","NA","NA","HO1N1","4","0","4","5","9","29","39","8"
"UPPER:AERODIGESTIVE:TRACT_HS840T","0.0100915","24","23","21","20","20","19","18","HS840T","0","0","1","2","1","20","0","0"
"UPPER:AERODIGESTIVE:TRACT_HSC2","0","NA","NA","NA","NA","NA","NA","NA","HSC2","5","0","5","5","12","49","35","11"
"UPPER:AERODIGESTIVE:TRACT_HSC3","0","NA","NA","NA","NA","NA","NA","NA","HSC3","6","0","6","4","9","28","38","7"
"UPPER:AERODIGESTIVE:TRACT_HSC4","0","NA","NA","NA","NA","NA","NA","NA","HSC4","6","0","1","4","8","21","22","11"
"UPPER:AERODIGESTIVE:TRACT_KOSC2","0","NA","NA","NA","NA","NA","NA","NA","KOSC2","4","0","1","3","10","25","42","13"
"UPPER:AERODIGESTIVE:TRACT_KYSE140","0","NA","NA","NA","NA","NA","NA","NA","KYSE140","4","0","3","6","7","30","34","14"
"UPPER:AERODIGESTIVE:TRACT_KYSE150","0","NA","NA","NA","NA","NA","NA","NA","KYSE150","3","0","3","9","6","28","37","12"
"UPPER:AERODIGESTIVE:TRACT_KYSE180","0","NA","NA","NA","NA","NA","NA","NA","KYSE180","3","0","6","4","11","28","35","11"
"UPPER:AERODIGESTIVE:TRACT_KYSE270","0","NA","NA","NA","NA","NA","NA","NA","KYSE270","5","0","4","4","12","29","36","8"
"UPPER:AERODIGESTIVE:TRACT_KYSE410","0","NA","NA","NA","NA","NA","NA","NA","KYSE410","3","0","4","6","4","29","38","14"
"UPPER:AERODIGESTIVE:TRACT_KYSE450","0","NA","NA","NA","NA","NA","NA","NA","KYSE450","4","0","5","4","9","26","39","10"
"UPPER:AERODIGESTIVE:TRACT_KYSE510","0","NA","NA","NA","NA","NA","NA","NA","KYSE510","7","0","4","4","9","30","37","7"
"UPPER:AERODIGESTIVE:TRACT_KYSE520","0.01","98","94","93","85","80","77","74","KYSE520","0","0","4","5","10","23","46","10"
"UPPER:AERODIGESTIVE:TRACT_KYSE70","0","NA","NA","NA","NA","NA","NA","NA","KYSE70","1","0","3","5","6","28","45","10"
"UPPER:AERODIGESTIVE:TRACT_LB771HNC","0","NA","NA","NA","NA","NA","NA","NA","LB771HNC","1","0","4","9","10","35","62","17"
"UPPER:AERODIGESTIVE:TRACT_OE19","0","NA","NA","NA","NA","NA","NA","NA","OE19","1","0","3","2","5","30","43","14"
"UPPER:AERODIGESTIVE:TRACT_OE33","0.01","98","95","92","88","82","78","73","OE33","0","0","3","5","9","30","37","14"
"UPPER:AERODIGESTIVE:TRACT_RPMI2650","0","NA","NA","NA","NA","NA","NA","NA","RPMI2650","4","0","5","4","8","29","39","9"
"UPPER:AERODIGESTIVE:TRACT_SAS","0","NA","NA","NA","NA","NA","NA","NA","SAS","2","0","2","6","6","27","46","9"
"UPPER:AERODIGESTIVE:TRACT_SCC15","0","NA","NA","NA","NA","NA","NA","NA","SCC15","1","0","5","4","8","38","63","15"
"UPPER:AERODIGESTIVE:TRACT_SCC25","0","NA","NA","NA","NA","NA","NA","NA","SCC25","2","0","4","4","11","47","31","18"
"UPPER:AERODIGESTIVE:TRACT_SCC4","0","NA","NA","NA","NA","NA","NA","NA","SCC4","4","0","2","2","10","34","40","6"
"UPPER:AERODIGESTIVE:TRACT_SCC9","0","NA","NA","NA","NA","NA","NA","NA","SCC9","2","0","3","5","7","46","37","19"
"UPPER:AERODIGESTIVE:TRACT_TE1","0","NA","NA","NA","NA","NA","NA","NA","TE1","3","0","6","7","9","42","56","15"
"UPPER:AERODIGESTIVE:TRACT_TE10","0","NA","NA","NA","NA","NA","NA","NA","TE10","7","0","4","8","5","45","46","23"
"UPPER:AERODIGESTIVE:TRACT_TE11","0","NA","NA","NA","NA","NA","NA","NA","TE11","4","0","7","9","14","29","49","11"
"UPPER:AERODIGESTIVE:TRACT_TE12","0","NA","NA","NA","NA","NA","NA","NA","TE12","1","0","4","7","20","49","42","6"
"UPPER:AERODIGESTIVE:TRACT_TE15","0","NA","NA","NA","NA","NA","NA","NA","TE15","7","0","4","6","10","25","18","7"
"UPPER:AERODIGESTIVE:TRACT_TE5","0","NA","NA","NA","NA","NA","NA","NA","TE5","4","0","6","5","8","36","61","18"
"UPPER:AERODIGESTIVE:TRACT_TE6","0","NA","NA","NA","NA","NA","NA","NA","TE6","1","0","6","3","10","37","61","20"
"UPPER:AERODIGESTIVE:TRACT_TE8","0","NA","NA","NA","NA","NA","NA","NA","TE8","7","0","8","8","13","43","43","16"
"UPPER:AERODIGESTIVE:TRACT_TE9","0","NA","NA","NA","NA","NA","NA","NA","TE9","6","0","4","4","12","37","62","13"
"URINARY:TRACT_5637","0.00292017","24","23","23","20","20","19","19","5637","0","1","0","3","1","19","0","0"
"URINARY:TRACT_639V","0.0437173","24","21","20","20","19","15","0","639V","0","0","0","3","1","20","0","0"
"URINARY:TRACT_HT1197","0.0637245","24","23","23","22","20","17","0","HT1197","0","0","0","1","0","23","0","0"
"URINARY:TRACT_HT1376","0.00254261","24","23","23","23","22","22","21","HT1376","0","1","0","1","1","21","0","0"
"URINARY:TRACT_J82","0.0965824","22","19","19","18","18","0","0","J82","0","0","0","1","3","18","0","0"
"URINARY:TRACT_JMSU1","0.0114451","24","23","21","18","16","16","13","JMSU1","0","0","1","3","4","16","0","0"
"URINARY:TRACT_KMBC2","0.0260953","24","21","21","21","18","18","16","KMBC2","0","0","0","3","0","21","0","0"
"URINARY:TRACT_RT112","0.00379453","24","23","23","20","20","19","16","RT112","0","1","0","3","3","17","0","0"
"URINARY:TRACT_RT4","0.00495042","24","23","23","21","20","17","16","RT4","0","1","0","2","4","17","0","0"
"URINARY:TRACT_SCABER","0.00254261","24","23","23","22","21","20","20","SCABER","0","1","0","2","1","20","0","0"
"URINARY:TRACT_SW780","0.0107817","24","23","23","21","19","19","16","SW780","0","0","1","2","2","19","0","0"
"URINARY:TRACT_T24","0.0182192","24","23","21","18","18","18","14","T24","0","0","1","2","3","18","0","0"
"URINARY:TRACT_TCCSUP","0.00254261","24","23","23","21","21","21","21","TCCSUP","0","1","0","2","0","21","0","0"
"URINARY:TRACT_UMUC3","0.00823879","24","23","23","22","21","19","19","UMUC3","0","0","1","0","2","21","0","0"
"UTERUS_AN3CA","0","NA","NA","NA","NA","NA","NA","NA","AN3CA","2","0","8","6","8","34","32","7"
"UTERUS_BOKU","0.05","62","55","54","47","42","36","32","BOKU","0","0","0","4","9","19","28","2"
"UTERUS_C33A","0","NA","NA","NA","NA","NA","NA","NA","C33A","4","0","6","2","7","25","40","13"
"UTERUS_C4II","0.01","37","34","34","31","26","25","24","C4II","0","0","3","2","7","8","13","4"
"UTERUS_CAL39","0","NA","NA","NA","NA","NA","NA","NA","CAL39","5","0","4","8","12","23","29","17"
"UTERUS_CaSki","0","NA","NA","NA","NA","NA","NA","NA","CaSki","3","0","3","5","6","26","34","12"
"UTERUS_COLO684","0","NA","NA","NA","NA","NA","NA","NA","COLO684","1","0","6","11","10","30","58","13"
"UTERUS_DoTc24510","0","NA","NA","NA","NA","NA","NA","NA","DoTc24510","4","0","3","3","10","29","43","6"
"UTERUS_EFE184","0.04","37","36","35","30","29","26","20","EFE184","0","0","0","2","4","13","14","4"
"UTERUS_ESS1","0","NA","NA","NA","NA","NA","NA","NA","ESS1","4","0","5","3","8","30","34","14"
"UTERUS_HEC1","0","NA","NA","NA","NA","NA","NA","NA","HEC1","1","0","5","7","3","33","38","11"
"UTERUS_HT3","0","NA","NA","NA","NA","NA","NA","NA","HT3","3","0","2","3","12","22","39","16"
"UTERUS_KLE","0.02","123","121","118","105","102","96","83","KLE","0","0","1","6","13","33","57","13"
"UTERUS_ME180","0","NA","NA","NA","NA","NA","NA","NA","ME180","3","0","4","5","5","30","34","8"
"UTERUS_MFE280","0.01","98","96","94","89","84","80","78","MFE280","0","0","2","4","8","20","48","16"
"UTERUS_MFE296","0","NA","NA","NA","NA","NA","NA","NA","MFE296","2","0","2","3","6","12","11","1"
"UTERUS_OMC1","0","NA","NA","NA","NA","NA","NA","NA","OMC1","1","0","2","9","10","28","54","30"
"UTERUS_RL952","0","NA","NA","NA","NA","NA","NA","NA","RL952","4","0","4","1","5","20","16","3"
"UTERUS_SiHa","0","NA","NA","NA","NA","NA","NA","NA","SiHa","1","0","0","6","4","15","45","25"
"UTERUS_SKGIIIa","0","NA","NA","NA","NA","NA","NA","NA","SKGIIIa","2","0","1","4","8","29","36","17"
"UTERUS_SNGM","0","NA","NA","NA","NA","NA","NA","NA","SNGM","4","0","3","0","4","15","8","3"
"UTERUS_SW756","0","NA","NA","NA","NA","NA","NA","NA","SW756","3","0","2","8","8","21","43","11"
"UTERUS_SW954","0","NA","NA","NA","NA","NA","NA","NA","SW954","4","0","11","5","15","48","49","6"
"UTERUS_SW962","0","NA","NA","NA","NA","NA","NA","NA","SW962","2","0","7","13","6","42","55","13"
"UTERUS_TCYIK","0.78","7","6","6","5","4","3","3","TCYIK","0","0","0","0","0","2","5","0"
