"tissue_cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times","cell_line","0-0.001_uM","0.001-0.005_uM","0.005-0.025_uM","0.025-0.125_uM","0.125-0.625_uM","0.625-15_uM","15-390_uM",">390_uM"
"LUNG_NCIH2029","0.2","61","58","58","53","50","42","35","NCIH2029","0","0","0","0","3","13","29","16"
"LUNG_NCIH2030","0","NA","NA","NA","NA","NA","NA","NA","NCIH2030","3","0","4","9","11","51","32","9"
"LUNG_NCIH2052","0.01","98","95","94","87","84","80","73","NCIH2052","0","0","3","5","8","23","40","19"
"LUNG_NCIH2081","0.01","77","76","75","72","70","67","58","NCIH2081","0","0","1","2","5","18","37","14"
"LUNG_NCIH2085","0.00705973","23","22","22","21","21","21","19","NCIH2085","0","0","1","1","0","21","0","0"
"LUNG_NCIH2087","0","NA","NA","NA","NA","NA","NA","NA","NCIH2087","3","0","4","8","9","50","32","15"
"LUNG_NCIH209","0","NA","NA","NA","NA","NA","NA","NA","NCIH209","2","0","5","8","16","27","54","13"
"LUNG_NCIH2107","0.14","31","29","29","24","23","20","17","NCIH2107","0","0","0","0","2","9","17","3"
"LUNG_NCIH211","0.00847538","24","22","22","19","19","19","18","NCIH211","0","0","2","0","3","19","0","0"
"LUNG_NCIH2122","0","NA","NA","NA","NA","NA","NA","NA","NCIH2122","6","1","4","10","13","39","35","14"
"LUNG_NCIH2126","0","NA","NA","NA","NA","NA","NA","NA","NCIH2126","1","0","3","8","9","36","64","14"
"LUNG_NCIH2141","0","NA","NA","NA","NA","NA","NA","NA","NCIH2141","1","0","1","4","5","16","43","7"
"LUNG_NCIH2170","0","NA","NA","NA","NA","NA","NA","NA","NCIH2170","1","1","7","7","8","44","43","11"
"LUNG_NCIH2171","0.01","77","75","75","73","69","64","59","NCIH2171","0","0","2","1","5","20","31","18"
"LUNG_NCIH2172","0.00254261","23","20","20","18","18","18","18","NCIH2172","0","2","2","1","0","18","0","0"
"LUNG_NCIH2196","0.01","77","76","76","71","68","62","60","NCIH2196","0","0","1","2","6","17","42","9"
"LUNG_NCIH2227","0.04","52","51","51","49","46","44","39","NCIH2227","0","0","0","1","0","12","21","18"
"LUNG_NCIH2228","0","NA","NA","NA","NA","NA","NA","NA","NCIH2228","3","1","5","7","6","46","46","8"
"LUNG_NCIH226","0","NA","NA","NA","NA","NA","NA","NA","NCIH226","2","0","2","4","6","53","68","26"
"LUNG_NCIH2286","0.00438198","24","23","23","19","18","18","17","NCIH2286","0","1","0","4","1","18","0","0"
"LUNG_NCIH2291","0.02","61","59","59","56","53","48","45","NCIH2291","0","0","1","1","4","16","27","12"
"LUNG_NCIH23","0","NA","NA","NA","NA","NA","NA","NA","NCIH23","1","1","4","6","10","54","60","25"
"LUNG_NCIH2342","0","NA","NA","NA","NA","NA","NA","NA","NCIH2342","3","0","4","6","8","26","32","15"
"LUNG_NCIH2347","0.01","98","96","93","87","85","78","75","NCIH2347","0","0","2","4","7","30","42","13"
"LUNG_NCIH2405","0","NA","NA","NA","NA","NA","NA","NA","NCIH2405","1","0","2","6","6","31","42","10"
"LUNG_NCIH2444","0.0363659","24","22","22","19","18","17","0","NCIH2444","0","0","0","2","3","19","0","0"
"LUNG_NCIH2452","0","NA","NA","NA","NA","NA","NA","NA","NCIH2452","1","0","2","2","5","23","45","20"
"LUNG_NCIH250","130.53","1","0","0","0","0","0","0","NCIH250","0","0","0","0","0","0","1","0"
"LUNG_NCIH28","0","NA","NA","NA","NA","NA","NA","NA","NCIH28","1","0","2","5","9","33","38","10"
"LUNG_NCIH292","0","NA","NA","NA","NA","NA","NA","NA","NCIH292","5","0","5","7","9","33","31","8"
"LUNG_NCIH322","0.0132268","24","21","21","19","17","15","11","NCIH322","0","0","3","1","2","18","0","0"
"LUNG_NCIH322M","0.07","77","76","76","74","73","70","62","NCIH322M","0","0","0","1","0","13","39","24"
"LUNG_NCIH3255","0.0526452","24","19","19","16","15","12","0","NCIH3255","0","0","0","5","3","16","0","0"
"LUNG_NCIH345","0.01","77","76","75","71","70","67","64","NCIH345","0","0","1","2","4","13","33","24"
"LUNG_NCIH358","0","NA","NA","NA","NA","NA","NA","NA","NCIH358","2","0","5","9","9","49","35","8"
"LUNG_NCIH378","442.06","2","0","0","0","0","0","0","NCIH378","0","0","0","0","0","0","0","2"
"LUNG_NCIH441","0","NA","NA","NA","NA","NA","NA","NA","NCIH441","1","0","5","5","7","47","41","15"
"LUNG_NCIH446","0","NA","NA","NA","NA","NA","NA","NA","NCIH446","2","0","5","5","5","28","52","32"
"LUNG_NCIH460","0","NA","NA","NA","NA","NA","NA","NA","NCIH460","1","0","8","7","6","45","32","16"
"LUNG_NCIH510A","0","NA","NA","NA","NA","NA","NA","NA","NCIH510A","3","0","5","4","8","20","51","13"
"LUNG_NCIH520","0","NA","NA","NA","NA","NA","NA","NA","NCIH520","4","0","2","5","13","42","36","20"
"LUNG_NCIH522","0","NA","NA","NA","NA","NA","NA","NA","NCIH522","3","0","3","4","7","37","37","4"
"LUNG_NCIH524","0.02","77","75","72","69","64","61","60","NCIH524","0","0","1","5","5","11","38","17"
"LUNG_NCIH526","0","NA","NA","NA","NA","NA","NA","NA","NCIH526","3","0","3","12","3","45","50","13"
"LUNG_NCIH596","0.01","98","96","95","88","88","83","77","NCIH596","0","0","2","3","5","24","46","18"
"LUNG_NCIH64","0","NA","NA","NA","NA","NA","NA","NA","NCIH64","1","0","3","3","6","18","36","10"
"LUNG_NCIH647","0.00989863","23","22","22","21","20","20","20","NCIH647","0","0","1","0","2","20","0","0"
"LUNG_NCIH650","0","NA","NA","NA","NA","NA","NA","NA","NCIH650","3","1","2","6","11","46","38","14"
"LUNG_NCIH661","0.00262309","122","121","117","112","109","107","101","NCIH661","0","1","6","6","7","54","40","8"
"LUNG_NCIH69","0","NA","NA","NA","NA","NA","NA","NA","NCIH69","1","0","3","3","12","30","55","17"
"LUNG_NCIH719","0.03","77","73","73","68","63","59","55","NCIH719","0","0","0","4","4","19","38","12"
"LUNG_NCIH720","0","NA","NA","NA","NA","NA","NA","NA","NCIH720","2","0","3","10","7","33","38","28"
"LUNG_NCIH727","0","NA","NA","NA","NA","NA","NA","NA","NCIH727","2","0","5","4","8","45","49","9"
"LUNG_NCIH748","0","NA","NA","NA","NA","NA","NA","NA","NCIH748","1","0","0","6","5","14","41","10"
"LUNG_NCIH810","0","NA","NA","NA","NA","NA","NA","NA","NCIH810","2","0","7","3","10","47","34","19"
"LUNG_NCIH82","0.01","129","126","121","118","117","112","107","NCIH82","0","0","3","6","5","26","71","18"
"LUNG_NCIH838","0.01","37","35","34","31","30","28","24","NCIH838","0","0","2","1","6","7","17","4"
"LUNG_NCIH889","0.04","76","72","72","69","67","64","62","NCIH889","0","0","0","4","3","9","32","28"
"LUNG_PC14","0","NA","NA","NA","NA","NA","NA","NA","PC14","4","1","3","8","17","27","45","13"
"LUNG_RERFLCAI","0.00310838","24","23","23","22","21","20","19","RERFLCAI","0","1","0","2","2","19","0","0"
"LUNG_RERFLCMS","0","NA","NA","NA","NA","NA","NA","NA","RERFLCMS","2","0","7","1","8","41","41","18"
"LUNG_SBC1","0","NA","NA","NA","NA","NA","NA","NA","SBC1","3","0","2","8","12","31","50","18"
"LUNG_SBC5","0","NA","NA","NA","NA","NA","NA","NA","SBC5","5","0","6","5","13","37","42","14"
"LUNG_SCLC21H","0","NA","NA","NA","NA","NA","NA","NA","SCLC21H","1","0","1","2","4","20","30","18"
"LUNG_SHP77","0.01","162","161","160","153","148","143","136","SHP77","0","0","1","4","10","52","64","31"
"LUNG_SKLU1","0","NA","NA","NA","NA","NA","NA","NA","SKLU1","5","0","6","7","10","52","36","6"
"LUNG_SKMES1","0","NA","NA","NA","NA","NA","NA","NA","SKMES1","4","0","5","9","8","51","33","7"
"LUNG_SQ1","0.0229588","20","18","18","15","15","15","12","SQ1","0","0","1","2","2","15","0","0"
"LUNG_SW1271","0.0101012","24","23","23","20","19","18","17","SW1271","0","0","1","1","3","19","0","0"
"LUNG_SW1573","0","NA","NA","NA","NA","NA","NA","NA","SW1573","1","0","4","9","6","45","43","10"
"LUNG_SW900","0.01","81","79","77","75","73","73","67","SW900","0","0","2","3","3","34","29","10"
"LUNG_T3M10","0.0409687","24","21","21","20","19","16","0","T3M10","0","0","0","3","0","21","0","0"
"LUNG_UMC11","0.01","98","96","96","91","88","86","79","UMC11","0","0","2","4","6","20","51","15"
"LUNG_VMRCLCD","0.00254261","23","21","20","20","20","19","17","VMRCLCD","0","2","1","0","3","17","0","0"
"OESOPHAGUS_KYSE140","0.0253895","19","18","17","16","13","8","7","KYSE140","0","0","0","2","1","16","0","0"
"OESOPHAGUS_KYSE150","0.0161051","21","20","20","18","18","18","17","KYSE150","0","0","1","1","1","18","0","0"
"OESOPHAGUS_KYSE180","0.00803466","19","18","18","16","16","15","13","KYSE180","0","0","1","2","1","15","0","0"
"OESOPHAGUS_KYSE30","0.0071775","24","23","23","21","21","19","17","KYSE30","0","0","1","1","2","20","0","0"
"OESOPHAGUS_KYSE410","0.0134513","24","22","22","20","20","20","19","KYSE410","0","0","2","0","2","20","0","0"
"OESOPHAGUS_KYSE450","0.0136827","20","19","19","18","18","17","14","KYSE450","0","0","1","0","1","18","0","0"
"OESOPHAGUS_KYSE510","0.00254261","20","19","19","19","18","16","16","KYSE510","0","1","0","1","2","16","0","0"
"OESOPHAGUS_KYSE520","0.0060546","24","23","23","21","21","21","21","KYSE520","0","0","1","1","1","21","0","0"
"OESOPHAGUS_KYSE70","0.00747216","19","18","18","16","16","15","13","KYSE70","0","0","1","2","0","16","0","0"
"OESOPHAGUS_OE21","0.0551798","24","22","21","14","10","7","0","OE21","0","0","0","2","5","17","0","0"
"OESOPHAGUS_OE33","0.00254261","24","23","23","21","20","19","19","OE33","0","1","0","3","1","19","0","0"
"OESOPHAGUS_TE1","0.0178099","20","18","17","17","17","16","16","TE1","0","0","1","2","0","17","0","0"
"OESOPHAGUS_TE11","0.00254261","17","15","15","14","13","11","11","TE11","0","1","1","2","2","11","0","0"
"OESOPHAGUS_TE15","0.00552548","20","19","19","16","15","14","10","TE15","0","0","1","2","3","14","0","0"
"OESOPHAGUS_TE5","0.012177","20","19","19","17","16","16","16","TE5","0","0","1","0","3","16","0","0"
"OESOPHAGUS_TE9","0.00338949","24","23","23","23","21","19","19","TE9","0","1","0","2","2","19","0","0"
"OTHER_A253","0","NA","NA","NA","NA","NA","NA","NA","A253","3","0","5","7","6","31","51","8"
"OTHER_A388","0","NA","NA","NA","NA","NA","NA","NA","A388","5","0","7","8","7","47","52","12"
"OTHER_BPH1","0","NA","NA","NA","NA","NA","NA","NA","BPH1","8","0","4","5","7","33","32","9"
"OTHER_HuH7","0","NA","NA","NA","NA","NA","NA","NA","HuH7","1","0","6","5","5","34","33","14"
"OTHER_JAR","0","NA","NA","NA","NA","NA","NA","NA","JAR","3","0","4","6","7","25","66","26"
"OTHER_JEG3","0","NA","NA","NA","NA","NA","NA","NA","JEG3","1","0","6","4","4","23","47","13"
"OTHER_LNCaPCloneFGC","0","NA","NA","NA","NA","NA","NA","NA","LNCaPCloneFGC","2","0","3","4","9","28","60","32"
"OTHER_NCCIT","0","NA","NA","NA","NA","NA","NA","NA","NCCIT","2","0","4","3","9","30","25","4"
"OTHER_NEC8","0","NA","NA","NA","NA","NA","NA","NA","NEC8","4","0","4","11","14","37","55","11"
"OTHER_NTERASclD1","0","NA","NA","NA","NA","NA","NA","NA","NTERASclD1","12","0","6","9","16","36","50","9"
"OTHER_PC3","0.01","98","91","90","88","87","82","77","PC3","0","0","7","2","3","33","44","9"
"OTHER_PLCPRF5","0.06","37","34","33","29","28","26","25","PLCPRF5","0","0","0","3","1","8","19","6"
"OTHER_SNU475","0.04","37","36","35","33","32","31","29","SNU475","0","0","0","2","0","8","13","14"
"OTHER_SW13","0","NA","NA","NA","NA","NA","NA","NA","SW13","3","0","4","4","8","26","37","12"
"OVARY_A2780","0","NA","NA","NA","NA","NA","NA","NA","A2780","7","1","4","11","8","51","33","7"
"OVARY_Caov3","0.01","37","36","35","32","31","30","27","Caov3","0","0","1","3","2","4","18","9"
"OVARY_Caov4","1.22","13","10","10","9","8","5","4","Caov4","0","0","0","0","0","4","5","4"
"OVARY_COV318","0.15806","24","23","23","21","19","0","0","COV318","0","0","0","0","1","23","0","0"
"OVARY_COV504","0.0191896","23","22","22","20","20","19","17","COV504","0","0","1","1","1","20","0","0"
"OVARY_DOV13","0.00465489","24","23","23","21","20","19","19","DOV13","0","1","0","2","2","19","0","0"
"OVARY_EFO21","0.01","122","117","115","110","105","100","92","EFO21","0","0","5","4","10","48","44","11"
"OVARY_EFO27","0","NA","NA","NA","NA","NA","NA","NA","EFO27","2","0","8","7","13","44","37","9"
"OVARY_ES2","0.0243879","22","20","19","18","15","15","15","ES2","0","0","1","2","1","18","0","0"
"OVARY_FUOV1","0.00867361","24","23","22","22","20","20","19","FUOV1","0","0","1","1","2","20","0","0"
"OVARY_HEYA8","0.0118589","22","21","21","17","16","15","15","HEYA8","0","0","1","3","2","16","0","0"
"OVARY_IGROV1","0","NA","NA","NA","NA","NA","NA","NA","IGROV1","4","0","3","10","19","52","18","11"
"OVARY_JHOS2","0.0242099","23","22","22","19","19","19","17","JHOS2","0","0","1","0","3","19","0","0"
"OVARY_JHOS4","0.00878127","23","22","22","21","20","20","17","JHOS4","0","0","1","0","2","20","0","0"
"OVARY_KGN","0","NA","NA","NA","NA","NA","NA","NA","KGN","6","0","8","7","14","40","52","11"
"OVARY_KURAMOCHI","0","NA","NA","NA","NA","NA","NA","NA","KURAMOCHI","2","0","5","9","11","60","57","18"
"OVARY_MCAS","0.00657595","24","23","23","21","21","20","18","MCAS","0","0","1","2","1","20","0","0"
"OVARY_NIHOVCAR3","0.00432114","24","23","23","22","22","20","20","NIHOVCAR3","0","1","0","1","2","20","0","0"
"OVARY_OAW28","0.01","98","94","93","88","84","82","74","OAW28","0","0","4","4","6","26","51","7"
"OVARY_OAW42","0","NA","NA","NA","NA","NA","NA","NA","OAW42","1","0","1","8","10","30","38","9"
"OVARY_OC314","0","NA","NA","NA","NA","NA","NA","NA","OC314","3","0","2","3","6","37","27","6"
"OVARY_OC315","0.00782241","24","23","23","21","19","19","19","OC315","0","0","1","2","2","19","0","0"
"OVARY_OC316","0.00991278","24","23","23","21","19","19","19","OC316","0","0","1","1","3","19","0","0"
"OVARY_ONCODG1","0.0102357","24","23","23","21","21","19","17","ONCODG1","0","0","1","1","3","19","0","0"
"OVARY_OV90","0.0110531","24","20","20","17","17","17","15","OV90","0","0","3","1","3","17","0","0"
"OVARY_OVCAR3","0","NA","NA","NA","NA","NA","NA","NA","OVCAR3","3","0","2","1","10","26","46","10"
"OVARY_OVCAR4","0","NA","NA","NA","NA","NA","NA","NA","OVCAR4","4","0","4","8","14","72","49","10"
"OVARY_OVCAR5","0","NA","NA","NA","NA","NA","NA","NA","OVCAR5","4","0","3","6","13","21","32","18"
"OVARY_OVCAR8","0","NA","NA","NA","NA","NA","NA","NA","OVCAR8","4","0","5","9","9","43","42","10"
"OVARY_OVMANA","0.166737","24","22","22","18","0","0","0","OVMANA","0","0","0","0","2","22","0","0"
"OVARY_OVSAHO","0.20275","24","23","23","20","0","0","0","OVSAHO","0","0","0","0","1","23","0","0"
"OVARY_OVTOKO","0.148052","22","19","19","16","16","0","0","OVTOKO","0","0","0","0","3","19","0","0"
"OVARY_PA1","0","NA","NA","NA","NA","NA","NA","NA","PA1","6","0","5","4","10","35","29","9"
"OVARY_RKN","0.0194765","24","23","23","19","17","17","17","RKN","0","0","1","0","5","18","0","0"
"OVARY_RMGI","0","NA","NA","NA","NA","NA","NA","NA","RMGI","1","0","1","5","7","20","51","12"
"OVARY_SKOV3","0","NA","NA","NA","NA","NA","NA","NA","SKOV3","3","0","3","4","13","56","26","14"
"OVARY_SW626","0","NA","NA","NA","NA","NA","NA","NA","SW626","2","0","5","6","7","23","36","18"
"OVARY_TOV112D","0.00524993","24","23","23","21","20","19","19","TOV112D","0","0","1","2","2","19","0","0"
"OVARY_TOV21G","0.00394157","24","23","22","21","20","18","18","TOV21G","0","1","1","2","2","18","0","0"
"OVARY_TYKnu","0","NA","NA","NA","NA","NA","NA","NA","TYKnu","3","0","5","5","8","25","38","13"
"OVARY_TYKNU","0.00254261","24","23","23","22","19","19","19","TYKNU","0","1","0","4","0","19","0","0"
"PANCREAS_AsPC1","0.01","98","96","94","88","85","80","74","AsPC1","0","0","2","4","8","22","49","13"
"PANCREAS_ASPC1","0.0163373","24","22","21","20","19","15","12","ASPC1","0","0","1","2","1","20","0","0"
"PANCREAS_BxPC3","0","NA","NA","NA","NA","NA","NA","NA","BxPC3","3","0","2","6","8","29","33","17"
"PANCREAS_BXPC3","0.0102838","20","19","19","16","15","15","15","BXPC3","0","0","1","1","3","15","0","0"
"PANCREAS_CAPAN1","0","NA","NA","NA","NA","NA","NA","NA","CAPAN1","1","0","4","5","4","31","45","8"
"PANCREAS_Capan2","0","NA","NA","NA","NA","NA","NA","NA","Capan2","1","0","1","4","5","27","37","23"
"PANCREAS_CAPAN2","0.00254261","24","23","23","21","19","18","16","CAPAN2","0","1","0","4","3","16","0","0"
"PANCREAS_CFPAC1","0.01","61","59","59","57","55","52","47","CFPAC1","0","0","2","1","4","17","31","6"
"PANCREAS_HPAC","0.00608267","24","23","23","20","19","17","15","HPAC","0","0","1","3","3","17","0","0"
"PANCREAS_HPAFII","0.00691323","119","115","115","107","105","99","88","HPAFII","0","0","4","5","11","42","49","8"
"PANCREAS_HS766T","0.0171413","24","23","23","21","20","19","19","HS766T","0","0","1","0","2","21","0","0"
"PANCREAS_HuPT3","0","NA","NA","NA","NA","NA","NA","NA","HuPT3","1","0","4","5","6","20","51","11"
"PANCREAS_HUPT3","0.0236969","24","23","22","20","20","17","16","HUPT3","0","0","1","1","2","20","0","0"
