"cell_line","ref","min","3_times","5_times","25_times","50_times","100_times","250_times"
"T84","6.95","10","7","7","5","2","0","0"
"T98G","0.04","5","3","2","1","1","1","1"
"TE1","0.03","3","2","2","2","2","2","1"
"TE10","61.11","1","0","0","0","0","0","0"
"TE11","0.08","5","2","2","2","2","2","1"
"TE441T","53.12","2","0","0","0","0","0","0"
"TE5","0.05","12","10","10","10","10","10","6"
"TE6","37.70","3","1","0","0","0","0","0"
"TE617T","0.03","1","0","0","0","0","0","0"
"TE8","3.47","3","2","2","1","0","0","0"
"TE9","30.55","1","0","0","0","0","0","0"
"TEN","0.81","10","9","9","0","0","0","0"
"TGBC11TKB","0.41","7","6","6","5","4","1","0"
"THP1","26.94","4","3","3","0","0","0","0"
"TOLEDO","8.00","4","0","0","0","0","0","0"
"TOV21G","0.02","1","0","0","0","0","0","0"
"TT","5.63","1","0","0","0","0","0","0"
"TT2609C02","0.07","2","0","0","0","0","0","0"
"TYKNU","0.09","3","2","2","2","1","0","0"
"U2OS","0.04","3","1","0","0","0","0","0"
"UACC257","0.53","8","5","5","5","5","4","1"
"UACC62","0.25","4","3","3","3","3","3","3"
"UACC812","0.18","3","0","0","0","0","0","0"
"UACC893","0.41","4","3","3","3","1","1","1"
"UMUC3","6.60","1","0","0","0","0","0","0"
"VMCUB1","0.03","8","6","6","5","5","5","5"
"VMRCRCZ","2.76","1","0","0","0","0","0","0"
"WM115","0.16","4","3","3","3","3","2","0"
"WM1799","1.23","1","0","0","0","0","0","0"
"WM2664","1.58","1","0","0","0","0","0","0"
"WM793","2.28","2","1","0","0","0","0","0"
"WM88","0.20","5","4","4","4","0","0","0"
"WM983B","0.05","3","2","2","2","2","2","0"
"YAPC","0.45","3","1","1","1","1","1","1"
"YH13","0.02","3","2","2","1","1","1","0"
"YKG1","0.05","5","4","4","4","4","3","2"
"ZR7530","18.93","1","0","0","0","0","0","0"
